scale,n_basis,n_replicates,mean_reference_bandwidth,selected_regularization_mean,validation_normalized_rmse_mean,validation_normalized_rmse_std,validation_normalized_rmse_sem,selected_normalized_rmse_mean,selected_normalized_rmse_std,selected_normalized_rmse_sem,selected_median_direction_error_deg_mean,selected_median_direction_error_deg_std,selected_median_direction_error_deg_sem,selected_vector_gain_through_origin_mean,selected_vector_gain_through_origin_std,selected_vector_gain_through_origin_sem,selected_mean_component_calibration_slope_mean,selected_mean_component_calibration_slope_std,selected_mean_component_calibration_slope_sem,fixed_normalized_rmse_mean,fixed_normalized_rmse_std,fixed_normalized_rmse_sem,fixed_median_direction_error_deg_mean,fixed_median_direction_error_deg_std,fixed_median_direction_error_deg_sem,fixed_vector_gain_through_origin_mean,fixed_vector_gain_through_origin_std,fixed_vector_gain_through_origin_sem
coarse,256,5,28.45786147461548,0.008020000000000001,0.1406766595193499,0.0025372585930468106,0.0011346965381096286,0.14111597561333544,0.0036844485277510333,0.001647735473530066,5.86771065116456,0.2676023136733583,0.11967539286197011,0.9818004633466855,0.002389329695960789,0.0010685407241654457,0.9803277324749325,0.002630427842766759,0.0011763630932669204,0.1411075108789837,0.0036843728390864297,0.0016477016245302302,5.861435399424272,0.25860122801430413,0.11564998498098139,0.9815204608290375,0.0026476496214009365,0.001184064906810815
coarse,384,5,28.45786147461548,0.01,0.10149445506423685,0.001984989448237772,0.0008877142681758916,0.10167908259593184,0.0038750640736706695,0.001732981337178974,4.136955436200388,0.30563525875619635,0.13668424297991857,0.9908167563858962,0.0017590783730132352,0.0007866837639614651,0.9900616378823062,0.00218410770692662,0.000976762660573822,0.10167908259593184,0.0038750640736706695,0.001732981337178974,4.136955436200388,0.30563525875619635,0.13668424297991857,0.9908167563858962,0.0017590783730132352,0.0007866837639614651
coarse,512,5,28.45786147461548,0.01,0.08438035735683816,0.0018541766204237698,0.0008292129931116748,0.08313621071422748,0.003628588489104674,0.0016227541048022612,3.285370636897677,0.1355807033556109,0.06063353382807596,0.9929144920008766,0.0008902456865241349,0.00039812997434878676,0.9924170165222875,0.0010246633678194614,0.0004582433888996372,0.08313621071422748,0.003628588489104674,0.0016227541048022612,3.285370636897677,0.1355807033556109,0.06063353382807596,0.9929144920008766,0.0008902456865241349,0.00039812997434878676
coarse,640,5,28.45786147461548,0.01,0.07407237347334919,0.0014202690154973246,0.000635163612997744,0.07315673462851546,0.003899838624394316,0.001744060853084992,2.8573339916098264,0.20874855392051592,0.09335519135421076,0.9942755823814272,0.0008225432368122571,0.00036785251838898284,0.9938880794973232,0.0006248431717375659,0.00027943836145635456,0.07315673462851546,0.003899838624394316,0.001744060853084992,2.8573339916098264,0.20874855392051592,0.09335519135421076,0.9942755823814272,0.0008225432368122571,0.00036785251838898284
coarse,768,5,28.45786147461548,0.01,0.06944946643957252,0.0013057806402714007,0.0005839628550700103,0.06717055037431333,0.0035588631333938153,0.0015915719777772944,2.62771342642868,0.1330725261288953,0.05951184287236537,0.9945639478083436,0.0014803162651947747,0.0006620175594348244,0.9941570203702377,0.0009467920596146671,0.00042341828117108577,0.06717055037431333,0.0035588631333938153,0.0015915719777772944,2.62771342642868,0.1330725261288953,0.05951184287236537,0.9945639478083436,0.0014803162651947747,0.0006620175594348244
coarse,896,5,28.45786147461548,0.01,0.0659668942384541,0.001921400985385137,0.0008592766430712492,0.0637121403010786,0.003106373289279878,0.0013892123676638851,2.4752303414089623,0.07306273304462096,0.03267464754193853,0.9950789142391127,0.0013259650019942426,0.0005929895760489541,0.9946743959048285,0.00096980516876843,0.00043371005645937306,0.0637121403010786,0.003106373289279878,0.0013892123676638851,2.4752303414089623,0.07306273304462096,0.03267464754193853,0.9950789142391127,0.0013259650019942426,0.0005929895760489541
coarse,1024,5,28.45786147461548,0.01,0.06353720125536372,0.0019984005366757594,0.0008937118892558118,0.06074506022659996,0.002676106463915338,0.0011967911936682568,2.3275920895537188,0.10731066454234874,0.047990788125473624,0.9956438891448665,0.0019182031131243808,0.0008578465111195668,0.9954720351455733,0.0014843148801466119,0.0006638057944044554,0.06074506022659996,0.002676106463915338,0.0011967911936682568,2.3275920895537188,0.10731066454234874,0.047990788125473624,0.9956438891448665,0.0019182031131243808,0.0008578465111195668
coarse,1280,5,28.45786147461548,0.01,0.06111352751018976,0.0028020008305006793,0.001253092866002077,0.058085147015215166,0.0021950544179506664,0.0009816581785697849,2.232840644554206,0.10208367108520673,0.045653205587850396,0.9966194191104675,0.0011312783663061678,0.0005059230657070997,0.9964403727144063,0.0007774079415547774,0.0003476674007129332,0.058085147015215166,0.0021950544179506664,0.0009816581785697849,2.232840644554206,0.10208367108520673,0.045653205587850396,0.9966194191104675,0.0011312783663061678,0.0005059230657070997
coarse,1536,5,28.45786147461548,0.01,0.061525162113100954,0.0017762692378310444,0.0007943717524263913,0.05698294750380205,0.001545009344719615,0.0006909491841330929,2.113449056218522,0.07842194910462527,0.03507136182519417,0.9964925246916483,0.000259049901980157,0.00011585063807845768,0.9962920014730304,0.00029726982908097956,0.00013294310909696283,0.05698294750380205,0.001545009344719615,0.0006909491841330929,2.113449056218522,0.07842194910462527,0.03507136182519417,0.9964925246916483,0.000259049901980157,0.00011585063807845768
coarse,1792,5,28.45786147461548,0.01,0.06291736486525656,0.001403815590096362,0.0006278054174658892,0.05683410950357889,0.0015346732703180137,0.0006863267511365977,2.0547624101282755,0.06195383627514139,0.0277065978756217,0.9960185676786999,0.0012133126767634125,0.000542609924641044,0.9956942439138535,0.0014044580669505817,0.0006280927418498902,0.05683410950357889,0.0015346732703180137,0.0006863267511365977,2.0547624101282755,0.06195383627514139,0.0277065978756217,0.9960185676786999,0.0012133126767634125,0.000542609924641044
