previous_basis,n_basis,adjacent_validation_relative_reduction,adjacent_validation_reduction_percent
512,1024,0.36969989053081226,36.96998905308123
1024,1536,0.20976718905985592,20.976718905985592
1536,2048,0.15725524591424508,15.725524591424508
2048,2560,0.08335152178239119,8.335152178239118
2560,3072,-0.011410304926569248,-1.1410304926569248
3072,3584,-0.04365219900681496,-4.365219900681496
3584,4096,-0.06967246940505198,-6.9672469405051975
