n_basis,n_seeds,validation_nrmse_mean,validation_nrmse_std,validation_nrmse_sem,parent_test_nrmse_mean,parent_test_nrmse_std,unweighted_test_nrmse_mean,unweighted_test_nrmse_std,query_region_nrmse_mean,query_region_nrmse_std,observed_octant_std_mean,observed_octant_std_std,query_octant_std_mean,query_octant_std_std,query_worst_octant_mean,query_worst_octant_std
512,10,0.0911650580947143,0.004079685232532755,0.001290109747135717,0.09170358050506852,0.0055794966047509695,0.06690295619462436,0.003821486515583295,0.0680522349231991,0.00046653259448631003,0.02959514124713138,0.0070489331906673286,0.018226909753602714,0.0005031113129058512,0.093623525687241,0.000987360538213446
1024,10,0.057461346096863285,0.0025411022871834246,0.0008035670994962917,0.05728891781392168,0.004594356535124898,0.04205871398555363,0.003060444739610992,0.049152911984034,0.0003621702183394264,0.01959107505140015,0.003938682577187098,0.01362588887826895,0.0006394493151120758,0.06371747417318406,0.0019947564009943253
1536,10,0.04540784104652875,0.001914227564096678,0.0006053319062421459,0.045364200075223536,0.004584170252841089,0.03324888449218352,0.003130093833473557,0.03568899357260255,0.0003700292717782871,0.018365521938543718,0.0035127152190780483,0.008953249050462181,0.000208279053187399,0.046470872748290856,0.0009600561353159206
2048,10,0.03826721983632192,0.0036633016414118957,0.0011584376943094992,0.03758483010881094,0.004482378278388878,0.02746674302610111,0.0030433046698372175,0.03291439182836829,0.00044326746759295135,0.01529771515559863,0.00388186588336768,0.007113854205376649,0.00038133129810752304,0.04470728518516409,0.0010737629190196187
2560,10,0.03507758882858318,0.0035931829069189626,0.0011362642035448712,0.032328703981208295,0.0037861271469988456,0.02370750285784991,0.002603715044371396,0.031011822749535928,0.00040910299675880933,0.012298471247494659,0.00381585786020511,0.00597764630059946,0.0003130204992571359,0.0391209038015785,0.0009510373383261855
3072,10,0.035477834813206134,0.0037140734685656754,0.001174493155786932,0.03317587648220562,0.004946873716654605,0.024090937139664148,0.0033891686770436817,0.030879601663739285,0.00038995974285124254,0.0125137005411009,0.004175194870889769,0.00589465179034635,0.00029878966285998905,0.0398893417225068,0.0013600635079699028
3584,10,0.037026520318803116,0.003406106216710706,0.0010771053597264902,0.033781850368445866,0.005398378316440358,0.02454834791627117,0.0037159901739128383,0.03129968248900366,0.00047261191580761703,0.013050854733040069,0.004508553605407605,0.00567286449706751,0.0004457783391400871,0.04052806495239689,0.0017740663546317998
4096,10,0.03960624942289046,0.0033405567334186203,0.0010563767930614758,0.035552522415743706,0.0057852995999157835,0.02582200145621837,0.003911278911128237,0.033718274065869996,0.0007702385377888385,0.01355546069898988,0.004388455995552364,0.007606782359178501,0.0005799528785983124,0.04474917909206581,0.0014157283908442916
