replicate,label_seed,n_basis,regularization_strength,n_train,n_validation,n_test,validation_parent_nrmse,validation_unweighted_nrmse,parent_test_nrmse,unweighted_test_nrmse,test_median_direction_error_deg,test_vector_gain,observed_octant_nrmse_std,observed_worst_octant_nrmse,observed_octant_nrmse_range,query_region_nrmse,query_region_median_direction_error_deg,query_region_vector_gain,query_octant_nrmse_std,query_worst_octant_nrmse,query_octant_nrmse_range,query_common_nrmse,query_near_boundary_nrmse,query_far_boundary_nrmse
1,20261203,512,0.01,7009,1501,1503,0.0939148498077405,0.0683675711640935,0.0951389758800734,0.0691667573718983,1.2840196393726824,0.9959386301154334,0.018476711863174,0.1206264968583231,0.0626797216025317,0.0672382660073768,2.147938370869001,0.9939513388931194,0.018321171635524,0.0916487621154953,0.0588575820185894,0.0333648164462887,0.0599657543995904,0.0743291320104068
1,20261203,1024,0.01,7009,1501,1503,0.0573754707546688,0.0421340782067847,0.0566222358125403,0.0416085870048239,0.7584032862451523,0.9990003881844206,0.0144831128722582,0.0767285878011892,0.0522632072740017,0.0489077149764225,1.6487338162176297,0.9990266043324152,0.0145223054461369,0.0636834576372986,0.0406183738813456,0.0266644535274229,0.0428133819964567,0.0569231049809818
1,20261203,1536,0.01,7009,1501,1503,0.044784259677539,0.0328389599197163,0.0453157062305354,0.0331883158122443,0.5782280691201694,0.9988282514363408,0.0162857261022769,0.0713976876769277,0.047095115111619,0.035419234117891,1.168986933715188,0.9978210774722336,0.0087246534169119,0.045642926639445,0.0274455227844433,0.0201970916043139,0.0347251459823901,0.037704540217594
1,20261203,2048,0.01,7009,1501,1503,0.0455234526758991,0.0325546623517543,0.0356011525739644,0.0262107520647217,0.4382611330714935,0.9987612545169756,0.0140494420644226,0.0568536649016074,0.0434787630637878,0.032414546541554,1.113437662878208,0.9994235487959654,0.0065539148742265,0.0421345689389746,0.0207256605422487,0.0200937758856974,0.0332415755438372,0.0325912736635185
1,20261203,2560,0.01,7009,1501,1503,0.0394544532997655,0.028375989295704,0.0332153231616227,0.0243330912294986,0.3844252625978959,0.9991559895773124,0.0122984369292636,0.0531153679536231,0.0407079180194048,0.0307202705160616,1.085995803107431,0.9998634602288428,0.0061009250158816,0.0392845532574766,0.0198565634963012,0.0217876649940918,0.0316178037903232,0.0311241395590033
1,20261203,3072,0.01,7009,1501,1503,0.0382792622549071,0.0273913543199331,0.0328625295030714,0.0239243599198353,0.3424157264054688,0.9988958788768928,0.0117406136480628,0.0530465350751574,0.0377824371389168,0.0310099188873147,0.9579939694618612,0.9995812780529244,0.0061020035189661,0.0405297328918761,0.0175253211986798,0.0232522021815533,0.0344333936936906,0.0300641058021736
1,20261203,3584,0.01,7009,1501,1503,0.0390992119351925,0.0280114890455122,0.0347827955231473,0.025239561195216,0.3296503476931702,0.9985810446319192,0.0135785912685253,0.0558648736923212,0.045755744158231,0.0308889049576845,0.9146436376116952,0.9997389187321236,0.0057532989869083,0.0399440114403536,0.0185668517387308,0.0234065313380657,0.0335894378391392,0.0307562389218371
1,20261203,4096,0.01,7009,1501,1503,0.041001837024456,0.0294131235136164,0.0367419694940798,0.0265626048810452,0.3654339976144608,0.9980965161909836,0.0136662458307941,0.0559820000186616,0.0457802623624928,0.0331886460319348,1.091653961310382,0.9990867306385468,0.0082324837289716,0.0445398878337462,0.0241200066533708,0.0255359986793684,0.0342689594578124,0.0350824173662641
2,20261213,512,0.01,7009,1501,1503,0.0868475498152917,0.063820606235392,0.0894009908093344,0.0659687497022241,1.3221327890019436,0.9960892067501192,0.0409702546677256,0.171561625904467,0.1416369184198484,0.0686294869565069,2.2108585477516725,0.9928958158738528,0.0172825557208912,0.0938758434005352,0.0561718436668128,0.0362942004381974,0.0630969665706495,0.0739166302491904
2,20261213,1024,0.01,7009,1501,1503,0.0562036013044068,0.0413864405778341,0.0544557669256715,0.0405865454922888,0.7961657572558869,0.9980951265766108,0.0221807970891018,0.0862876761495375,0.0688341626261269,0.0491652621526077,1.7221867260661945,0.998347810228682,0.0130095359765001,0.0625373306309201,0.0369590670746349,0.0288898679268292,0.0438656949798874,0.0565416037387533
