run_id,replicate,reference_seed,label_seed,scale,delta_nrmse_radial_potential_minus_unconstrained,delta_nrmse_tangential_potential_minus_unconstrained,delta_nrmse_3d_potential_minus_unconstrained,delta_direction_error_potential_minus_unconstrained_deg,nrmse_3d_ratio_potential_over_unconstrained,mse_reduction_fraction_vs_unconstrained,mse_reduction_fraction_vs_zero_baseline,delta_nrmse_3d_operational_minus_hidden3d,delta_nrmse_3d_operational_minus_potential_oracle,delta_nrmse_3d_operational_minus_cartesian_oracle,operational_nrmse_tangential_below_one,operational_nrmse_3d_below_one,operational_beats_unconstrained_3d,operational_beats_unconstrained_direction,operational_hidden3d_same_candidate
ref20260805_label20260804_coarse,1,20260805,20260804,coarse,0.132696546557109,-1.3624080541909185,-0.9705094892243764,-38.741577755088244,0.3189109849806882,0.8982957836586473,0.7934949016137188,0.0,0.19469472127551962,0.37205841605925055,True,True,True,True,True
ref20260805_label20260804_fiducial,1,20260805,20260804,fiducial,0.16767428213747565,-1.5361754896209447,-1.1190242990773105,-31.895047673076476,0.3483688380646505,0.8786391526654853,0.6421063896149397,0.055911320660900876,0.27284522637541053,0.46363996016753606,True,True,True,True,False
ref20260805_label20260804_fine,1,20260805,20260804,fine,0.17677164249116664,-4.035606692449459,-3.0411856109264606,-34.38331741773446,0.19402815455733075,0.9623530752390765,0.4639866358846435,0.08599309052301285,0.3099763775947941,0.4760545139181959,True,True,True,True,False
ref20260815_label20260814_coarse,2,20260815,20260814,coarse,0.12433189057460181,-1.35741149797639,-1.0029687546793213,-32.87466013945362,0.33741196872434315,0.8861531633615629,0.7391393321455866,0.038053560157338406,0.2391279403838057,0.4222302716431183,True,True,True,True,False
ref20260815_label20260814_fiducial,2,20260815,20260814,fiducial,0.1576072398046645,-1.795818886694295,-1.337948679126756,-26.51983120338465,0.3181101123879087,0.898805956396552,0.6104121890758678,0.05996538049815592,0.2862505206994794,0.48835028879906933,True,True,True,True,False
ref20260815_label20260814_fine,2,20260815,20260814,fine,0.16261110371833415,-4.585726038715991,-3.4578092122671364,-33.13660604432776,0.1625486729606027,0.9735779289187471,0.5495467129497916,0.0,0.24642162715414717,0.41524339098627416,True,True,True,True,True
ref20260825_label20260824_coarse,3,20260825,20260824,coarse,0.1161011406730929,-1.1755372788297647,-0.8847377224061084,-30.236015507187837,0.3487554173093597,0.8783696588973744,0.7755173572422511,0.026777579298920717,0.22329379431370838,0.3953201041107428,True,True,True,True,False
ref20260825_label20260824_fiducial,3,20260825,20260824,fiducial,0.1465191522780749,-1.932811097261959,-1.465206626958956,-27.49413777762694,0.2626889168297944,0.9309945329747894,0.7274917068190359,0.0,0.2082034477964428,0.3933660029943173,True,True,True,True,True
ref20260825_label20260824_fine,3,20260825,20260824,fine,0.13346846025403356,-4.702263639740433,-3.597903631745008,-35.410676896384786,0.14886489250403362,0.9778392437797625,0.6040078099320169,0.0,0.2077869116636773,0.3811816589863647,True,True,True,True,True
ref20260905_label20260904_coarse,4,20260905,20260904,coarse,0.125296828013287,-1.2901699148786632,-0.9354250240898945,-34.236058245562134,0.3386890577061487,0.885289722190121,0.770486158734071,0.030870136401358217,0.21830894838069442,0.39676113295013365,True,True,True,True,False
ref20260905_label20260904_fiducial,4,20260905,20260904,fiducial,0.16062967969407554,-1.6743162817729973,-1.2240600010619158,-28.03108732325635,0.30617418218680126,0.9062573701622434,0.7082293293148585,0.0,0.2083400470361244,0.4067117067699484,True,True,True,True,True
ref20260905_label20260904_fine,4,20260905,20260904,fine,0.17129348741857084,-4.066859646055937,-3.057398126398015,-38.87355676758801,0.17645324165254667,0.968864253510308,0.5708721027002864,0.0,0.21907772229538963,0.40703906273662693,True,True,True,True,True
ref20260915_label20260914_coarse,5,20260915,20260914,coarse,0.12006619961236664,-1.321432416110838,-0.9723258620811932,-32.776545763458344,0.311463608695559,0.9029904204583397,0.8065429776546547,0.0,0.18854234241261253,0.3558320672593383,True,True,True,True,True
ref20260915_label20260914_fiducial,5,20260915,20260914,fiducial,0.14606258824100218,-1.6933924211361684,-1.2606989278419478,-32.37069225111392,0.28981771814849877,0.9160056902471974,0.7353127837259317,0.0,0.20447621467656057,0.3865736460756364,True,True,True,True,True
ref20260915_label20260914_fine,5,20260915,20260914,fine,0.15672300694313132,-3.6085862081479236,-2.7301397246891845,-33.517141176562404,0.1870520860446639,0.9650115171063397,0.6053887901717899,0.0,0.2193408568105249,0.37984520047100645,True,True,True,True,True
