replicate,reference_seed,label_seed,run_id,scale,selector,fit_type,n_basis,n_affine_modes,n_diffusion_modes,regularization_strength,penalty_power,validation_nrmse_radial,validation_nrmse_3d,test_rmse_radial,test_reference_rms_radial,test_nrmse_radial,test_rmse_tangential,test_reference_rms_tangential,test_nrmse_tangential,test_rmse_3d,test_reference_rms_3d,test_nrmse_3d,test_predicted_rms_3d,test_predicted_to_reference_rms_3d,test_predicted_rms_tangential,test_predicted_to_reference_rms_tangential,test_direction_error_median_deg,test_direction_error_p90_deg,test_radial_correlation,test_radial_mean_bias
1,20260805,20260804,ref20260805_label20260804_fine,fine,potential_radial_validation_selected,radial,514,3,511,1e-06,1.0,0.34697916848243293,0.7192387065416533,100.43693080172314,290.31131142881793,0.3459628572769184,312.40881974561927,341.5005582960908,0.9148120322390567,328.1567426150512,448.22236541705706,0.7321293356472998,456.1648190253653,1.017719895795289,360.2505913675316,1.0549048387065418,33.65125788057371,84.28349927930708,0.9093201301997091,7.294541193251348
1,20260805,20260804,ref20260805_label20260804_fine,fine,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.34796676595144377,0.6381541342391516,99.4298360135996,290.31131142881793,0.34249384057492716,272.009619459365,341.5005582960908,0.7965129568646997,289.6127161713033,448.22236541705706,0.6461362451242869,402.7582480929199,0.8985679412007159,296.7114337812307,0.8688461162747891,31.472738786421978,76.83483523484253,0.9101227050716925,9.518806242777218
1,20260805,20260804,ref20260805_label20260804_fine,fine,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,1.0,0.42502613299792014,0.4233843592094561,117.4511569017584,290.31131142881793,0.4045696887375899,148.35372481653684,341.5005582960908,0.4344172248406982,189.21839742610177,448.22236541705706,0.4221529580525057,403.07324180185924,0.8992707033412133,307.8582245863032,0.9014867387694907,18.459951158082927,45.65364571544161,0.8724825739999753,14.477413468921048
1,20260805,20260804,ref20260805_label20260804_fiducial,fiducial,potential_radial_validation_selected,radial,514,3,511,1e-06,1.0,0.2414235317001396,0.5766659098460737,65.5846740658131,272.352380911143,0.24080815393058966,234.1969912547059,301.82045425606793,0.7759480444490037,243.2068670598668,406.53586065107163,0.598242100144298,406.6595718949414,1.000304305857967,307.007127660473,1.0171846318937834,26.529987336660625,67.99997311098124,0.9542490020829277,5.952886886538865
1,20260805,20260804,ref20260805_label20260804_fiducial,fiducial,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.2423690522324129,0.5267213389297308,65.8496627438599,272.352380911143,0.24178111652104062,210.4136161126166,301.82045425606793,0.6971482984188317,220.47691019484938,406.53586065107163,0.5423307794833971,370.62977784266616,0.911677944595339,263.03855582233837,0.8715067256481347,25.21864710012504,63.48143775047389,0.9536723840902489,8.193786639427223
1,20260805,20260804,ref20260805_label20260804_fiducial,fiducial,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.3184676163244327,0.31753100095249776,83.73442475179363,272.352380911143,0.3074488442937924,102.41093265467725,301.82045425606793,0.33931077635908213,132.28549813080278,406.53586065107163,0.3253968737688875,384.0489629900347,0.9446865582164783,289.73329801141267,0.9599524946894409,14.42560072516602,35.84333033853056,0.9240007230038304,11.031555893301578
1,20260805,20260804,ref20260805_label20260804_coarse,coarse,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.1824037660758079,0.43706200193645556,45.71843420508452,255.78705439148004,0.17873630983338518,162.34174438428872,268.9197821717727,0.6036809306969944,168.65650653294813,371.13995532357285,0.4544283204051891,344.76916013664203,0.9289464936106385,238.2904414726407,0.8861023147803703,21.75398430079312,52.072372604522606,0.9732598324773292,5.138758060142399
1,20260805,20260804,ref20260805_label20260804_coarse,coarse,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.1824037660758079,0.43706200193645556,45.71843420508452,255.78705439148004,0.17873630983338518,162.34174438428872,268.9197821717727,0.6036809306969944,168.65650653294813,371.13995532357285,0.4544283204051891,344.76916013664203,0.9289464936106385,238.2904414726407,0.8861023147803703,21.75398430079312,52.072372604522606,0.9732598324773292,5.138758060142399
1,20260805,20260804,ref20260805_label20260804_coarse,coarse,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.25177330913856966,0.2504426982340138,61.58714851839397,255.78705439148004,0.24077508013417806,74.15864279388083,268.9197821717727,0.27576492214511744,96.39751637701632,371.13995532357285,0.2597335991296695,357.7849289500507,0.9640161987898103,264.9640826612466,0.9852904108482455,11.47381308910932,28.390647835791807,0.9512440172988578,7.567066996068306
2,20260815,20260814,ref20260815_label20260814_fine,fine,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.3317754326999383,0.6780290088530659,95.70457236043751,278.66898857350014,0.3434345990572791,272.4687967961151,327.852625419896,0.8310709619822373,288.7881756551277,430.28333593958314,0.6711581684299226,401.0609171890139,0.9320856368124085,305.3147757872446,0.9312561563178391,32.930255430100075,78.03839063269345,0.9173290985113974,1.7116974327899361
2,20260815,20260814,ref20260815_label20260814_fine,fine,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.3317754326999383,0.6780290088530659,95.70457236043751,278.66898857350014,0.3434345990572791,272.4687967961151,327.852625419896,0.8310709619822373,288.7881756551277,430.28333593958314,0.6711581684299226,401.0609171890139,0.9320856368124085,305.3147757872446,0.9312561563178391,32.930255430100075,78.03839063269345,0.9173290985113974,1.7116974327899361
2,20260815,20260814,ref20260815_label20260814_fine,fine,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.389384721455679,0.40945298913971484,118.85451903468014,278.66898857350014,0.42650787819302594,138.82991312157887,327.852625419896,0.4234521927154708,182.7570558755811,430.28333593958314,0.4247365412757754,406.73959157174306,0.9452831601846048,321.68029555754,0.9811734621479671,20.104354982234213,49.42647885723676,0.869257940663814,1.850063112379653
2,20260815,20260814,ref20260815_label20260814_fiducial,fiducial,potential_radial_validation_selected,radial,514,3,511,1e-06,1.0,0.23657818790784435,0.6198605838592595,63.57770640251128,258.86991734853746,0.24559712095442704,238.64462284446387,299.24089973268013,0.7975000177370523,246.9683800893959,395.67505630360694,0.6241696972171368,405.367597790375,1.0244962156000323,316.7240753185628,1.0584250869500154,27.868973550350933,69.59922571316216,0.9564319362838494,2.0429536025924357
2,20260815,20260814,ref20260815_label20260814_fiducial,fiducial,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.23744828339766358,0.5652685929890643,65.12859775991079,258.86991734853746,0.2515881274540792,213.53001303353247,299.24089973268013,0.7135722864898633,223.24157478452082,395.67505630360694,0.5642043167189809,371.6924381685294,0.9393880969927118,276.7021899802932,0.9246803836891235,27.018459095668227,64.18018669791626,0.9541097831439909,2.7779546109749185
