replicate,reference_seed,label_seed,scale,n_basis,selected_regularization,validation_normalized_rmse,validation_median_direction_error_deg,median_reference_bandwidth,n_train,n_validation,n_test,selected_coefficient_frobenius_norm,fixed_coefficient_frobenius_norm,selected_rmse_3d,selected_normalized_rmse,selected_rmse_x,selected_rmse_y,selected_rmse_z,selected_corr_x,selected_corr_y,selected_corr_z,selected_median_direction_error_deg,selected_p90_direction_error_deg,selected_median_abs_relative_speed_error,selected_calibration_slope_x,selected_calibration_intercept_x,selected_calibration_slope_y,selected_calibration_intercept_y,selected_calibration_slope_z,selected_calibration_intercept_z,selected_vector_gain_through_origin,selected_mean_component_calibration_slope,fixed_rmse_3d,fixed_normalized_rmse,fixed_rmse_x,fixed_rmse_y,fixed_rmse_z,fixed_corr_x,fixed_corr_y,fixed_corr_z,fixed_median_direction_error_deg,fixed_p90_direction_error_deg,fixed_median_abs_relative_speed_error,fixed_calibration_slope_x,fixed_calibration_intercept_x,fixed_calibration_slope_y,fixed_calibration_intercept_y,fixed_calibration_slope_z,fixed_calibration_intercept_z,fixed_vector_gain_through_origin,fixed_mean_component_calibration_slope,selected_basis,local_normalized_rmse,local_median_direction_error_deg,diffusion_minus_local_nrmse
1,20260805,20260804,fine,1536,0.01,0.1487547150205152,5.756302564842594,16.838535167146546,3500,750,750,458.8189655776229,458.8189655776229,61.70018232129366,0.137655295857188,35.253277425413195,35.83204517368136,35.77965159024035,0.9918893612241012,0.9896896243870388,0.9885263132566116,4.979095467052254,13.452822617300235,0.0503576660193906,0.9800618775094448,-2.9035790763086067,0.9930964132350516,0.9193173196171074,0.9731385269233912,-0.9677277209225892,0.9827042450821304,0.9820989392226293,61.70018232129366,0.137655295857188,35.253277425413195,35.83204517368136,35.77965159024035,0.9918893612241012,0.9896896243870388,0.9885263132566116,4.979095467052254,13.452822617300235,0.0503576660193906,0.9800618775094448,-2.9035790763086067,0.9930964132350516,0.9193173196171074,0.9731385269233912,-0.9677277209225892,0.9827042450821304,0.9820989392226293,1536,0.2166928515416653,7.4328099688226414,-0.07903755568447729
2,20260815,20260814,fine,1536,0.01,0.1662292874323451,5.844801843365019,16.905232797367496,3500,750,750,457.1818778388472,457.1818778388472,65.71410767941093,0.1527228739544725,37.44497540138752,35.26287888367078,40.89923151021625,0.9895942549651467,0.990143529615952,0.9823334236234254,5.3214102586812775,16.749536929801103,0.0586493234827362,0.9890180076013732,1.4288849542387614,0.9813669072861418,1.194707594942571,0.9723157653499148,1.6035255723172952,0.98251356956476,0.98090022674581,65.71410767941093,0.1527228739544725,37.44497540138752,35.26287888367078,40.89923151021625,0.9895942549651467,0.990143529615952,0.9823334236234254,5.3214102586812775,16.749536929801103,0.0586493234827362,0.9890180076013732,1.4288849542387614,0.9813669072861418,1.194707594942571,0.9723157653499148,1.6035255723172952,0.98251356956476,0.98090022674581,1536,0.2254056642787575,8.042908140776152,-0.07268279032428498
3,20260825,20260824,fine,1536,0.01,0.1620912616373561,5.475790211410053,16.740591978946846,3500,750,750,449.7788964314894,449.7788964314894,71.968164349398,0.1550220727906168,39.14571509248368,42.06302200346824,43.33280339022392,0.990376240565532,0.987101714906754,0.9839969782293396,5.273466040413195,14.247080351480491,0.0520017327182237,0.9914120490112608,3.1561352811692984,0.9821092319004864,2.5711059002583028,0.9660798149892178,-0.0512790185759612,0.982096136933042,0.9798670319669884,71.968164349398,0.1550220727906168,39.14571509248368,42.06302200346824,43.33280339022392,0.990376240565532,0.987101714906754,0.9839969782293396,5.273466040413195,14.247080351480491,0.0520017327182237,0.9914120490112608,3.1561352811692984,0.9821092319004864,2.5711059002583028,0.9660798149892178,-0.0512790185759612,0.982096136933042,0.9798670319669884,1536,0.2278770109014294,7.463091774662912,-0.07285493811081259
4,20260905,20260904,fine,1536,0.01,0.1526716989645382,5.642135841631254,16.86315903700449,3500,750,750,443.694252091617,443.694252091617,63.42735939793661,0.1460828651933677,34.10976113270163,37.47483402888733,38.14696488807998,0.9915922944799748,0.9892401759821428,0.9853085776571754,5.397816689458133,15.27515505554987,0.0525134985481837,0.9907600831048574,-1.306799204779148,0.9787692951825506,-0.0208436260104676,0.9806680914226258,-0.2916158014856655,0.983717608716224,0.9833991565700112,63.42735939793661,0.1460828651933677,34.10976113270163,37.47483402888733,38.14696488807998,0.9915922944799748,0.9892401759821428,0.9853085776571754,5.397816689458133,15.27515505554987,0.0525134985481837,0.9907600831048574,-1.306799204779148,0.9787692951825506,-0.0208436260104676,0.9806680914226258,-0.2916158014856655,0.983717608716224,0.9833991565700112,1536,0.2242742825280616,8.153097186307388,-0.07819141733469392
5,20260915,20260914,fine,1536,0.01,0.1647752901307486,5.718732594321995,16.839903603211532,3500,750,750,450.1526024294836,450.1526024294836,62.85454155431269,0.1405390817576002,32.30319918603112,40.01497870944527,36.138597029119175,0.9932803928327932,0.9878115544919068,0.9867061490173252,5.026775239185773,14.973501113165582,0.05326032769424,0.9926937258496488,1.192499959405879,0.9735414635656632,1.987110198416417,0.974523684081844,3.179715240688978,0.9821630286874112,0.9802529578323854,62.85454155431269,0.1405390817576002,32.30319918603112,40.01497870944527,36.138597029119175,0.9932803928327932,0.9878115544919068,0.9867061490173252,5.026775239185773,14.973501113165582,0.05326032769424,0.9926937258496488,1.192499959405879,0.9735414635656632,1.987110198416417,0.974523684081844,3.179715240688978,0.9821630286874112,0.9802529578323854,1536,0.2042442053833491,7.615388690695696,-0.0637051236257489
1,20260805,20260804,fiducial,1280,0.01,0.0723510732317526,2.7633618105696574,22.06847534394663,3500,750,750,415.3435317083977,415.3435317083977,28.25152949298949,0.0694933269791854,15.56756149110579,16.124346467649865,17.19899412480518,0.9980910167925936,0.9975557396498204,0.996558849597204,2.7384929514994134,7.364200805158369,0.0286384751454957,0.9990885560371854,0.2660974934067091,0.9890621872013416,2.0165577264781263,0.9920921126078394,-0.6222595659787586,0.9944953223586498,0.993414285282122,28.25152949298949,0.0694933269791854,15.56756149110579,16.124346467649865,17.19899412480518,0.9980910167925936,0.9975557396498204,0.996558849597204,2.7384929514994134,7.364200805158369,0.0286384751454957,0.9990885560371854,0.2660974934067091,0.9890621872013416,2.0165577264781263,0.9920921126078394,-0.6222595659787586,0.9944953223586498,0.993414285282122,1280,0.1525152599408807,5.390388078339479,-0.0830219329616953
2,20260815,20260814,fiducial,1280,0.01,0.0759487880587976,2.9831825020430784,22.05623425234724,3500,750,750,416.25164516043503,416.25164516043503,30.054072166329664,0.0759564488272133,17.05209541451246,17.199754310419124,17.794430235737632,0.9974940126597605,0.9972542560372089,0.995858445824678,2.823168210760957,7.677503492171713,0.0311523395181546,0.9899409747362802,0.6434538237820764,0.9953819135292072,0.2248338865632888,0.9955565720164378,1.1676889524163627,0.99382312887446,0.9936264867606418,30.054072166329664,0.0759564488272133,17.05209541451246,17.199754310419124,17.794430235737632,0.9974940126597605,0.9972542560372089,0.995858445824678,2.823168210760957,7.677503492171713,0.0311523395181546,0.9899409747362802,0.6434538237820764,0.9953819135292072,0.2248338865632888,0.9955565720164378,1.1676889524163627,0.99382312887446,0.9936264867606418,1280,0.1591823433030997,5.712115395478637,-0.0832258944758864
3,20260825,20260824,fiducial,1280,0.01,0.0814682942948351,2.7065341984899955,21.946568136468407,3500,750,750,409.1774891979938,409.1774891979938,30.11497864022901,0.0713545787119802,15.716677008450713,18.85703993364927,17.444484723093513,0.9981775105155828,0.996817309905058,0.9967439829250746,2.641452365132388,7.4568188563588995,0.0280554460228917,0.9938673299521396,-0.4372023085514298,1.001266846284261,0.7455688821236919,0.986417203651435,0.6733541375099605,0.9949201315132424,0.993850459962612,30.11497864022901,0.0713545787119802,15.716677008450713,18.85703993364927,17.444484723093513,0.9981775105155828,0.996817309905058,0.9967439829250746,2.641452365132388,7.4568188563588995,0.0280554460228917,0.9938673299521396,-0.4372023085514298,1.001266846284261,0.7455688821236919,0.986417203651435,0.6733541375099605,0.9949201315132424,0.993850459962612,1280,0.1585269837533651,5.312278052346706,-0.0871724050413849
4,20260905,20260904,fiducial,1280,0.01,0.0736277830767134,2.7003155506849605,22.109387550496216,3500,750,750,404.57875966398416,404.57875966398416,28.888969090099984,0.0733459544479151,16.369787549128322,16.39656233039552,17.25558849853027,0.997740769904011,0.9974796577801688,0.9961143690983996,2.984263509305725,8.114831347042857,0.0292417946212975,0.9946631749225876,1.3506969789295926,0.9976864160245512,0.4383887484517359,0.9862560095813792,0.4205675622049654,0.9937987972747722,0.992868533509506,28.888969090099984,0.0733459544479151,16.369787549128322,16.39656233039552,17.25558849853027,0.997740769904011,0.9974796577801688,0.9961143690983996,2.984263509305725,8.114831347042857,0.0292417946212975,0.9946631749225876,1.3506969789295926,0.9976864160245512,0.4383887484517359,0.9862560095813792,0.4205675622049654,0.9937987972747722,0.992868533509506,1280,0.164069832691033,6.026934462411923,-0.09072387824311791
5,20260915,20260914,fiducial,1280,0.01,0.0750580229076371,3.186371025470588,21.978229667859928,3500,750,750,410.337994719431,410.337994719431,27.86387658228285,0.0683186831651731,15.038368165498149,16.679604305662288,16.493450255121104,0.998250794410563,0.997482472487319,0.9965273728150362,2.4996314924096747,6.870771706623772,0.027236418208843,0.9950036622547206,-0.9681795608481388,0.9925220760205686,-0.3311748163730783,0.9938841952653548,0.7935758935831636,0.9938839460162204,0.9938033111802146,27.86387658228285,0.0683186831651731,15.038368165498149,16.679604305662288,16.493450255121104,0.998250794410563,0.997482472487319,0.9965273728150362,2.4996314924096747,6.870771706623772,0.027236418208843,0.9950036622547206,-0.9681795608481388,0.9925220760205686,-0.3311748163730783,0.9938841952653548,0.7935758935831636,0.9938839460162204,0.9938033111802146,1280,0.1479569002566527,5.424889150739546,-0.0796382170914796
