model,n_basis,n_replicates,validation_nrmse_mean,validation_nrmse_std,validation_nrmse_sem,parent_test_nrmse_mean,parent_test_nrmse_std,unweighted_test_nrmse_mean,unweighted_test_nrmse_std,query_primary_nrmse_mean,query_primary_nrmse_std
loss_weighted,512,10,0.08913964348826552,0.0054622667449568795,0.001727320410145779,0.0854257896494702,0.004044096753600053,0.05968441009301645,0.002270791062496573,0.06317286598063879,0.0007549101052898569
loss_weighted,768,10,0.06935712584446385,0.0031352942137491276,0.000991467085019405,0.06587611561707613,0.0033481304670154306,0.046012228273484126,0.0017501221295389557,0.051399922546776014,0.0007577819315290732
loss_weighted,1024,10,0.058085756062053996,0.0035277644771088347,0.0011155770796296852,0.05441873419230249,0.0028721859356851368,0.0385062107888348,0.0015379049701663183,0.046996358186705486,0.0005414770620048797
loss_weighted,1280,10,0.049478570809203995,0.0031832194806692034,0.001006622385113301,0.0464263141374641,0.0025349721860516887,0.0333255440835277,0.0015160118572989814,0.04268302455438676,0.0005031003815265078
loss_weighted,1536,10,0.044122136371216425,0.004219018939126719,0.0013341709339027717,0.04053955245970506,0.00238623083743039,0.029164148523976953,0.0014550949869052486,0.03937443767817501,0.0003491074408299485
loss_weighted,1792,10,0.04056096053795773,0.005055371382907568,0.0015986487988023127,0.03636681151491324,0.002419225059910275,0.02585235219717789,0.0014818734614817303,0.03723673464000547,0.0002461109464523239
loss_weighted,2048,10,0.03867990863081859,0.004912872230767545,0.0015535866102617797,0.03430982449623893,0.002500506926088452,0.02448914726101134,0.0014784657961817932,0.035983028487684705,0.00041710611084309776
loss_weighted,2560,10,0.036939863308441886,0.004597445494405751,0.0014538399180801076,0.03120639749955722,0.002184927726219502,0.02183529212683719,0.0013383720198182107,0.03411866843371868,0.00038004763618926555
loss_weighted,3072,10,0.03736076079271616,0.004790614385244858,0.0015149252848941088,0.031035988805019937,0.002461106138488084,0.02135885040282862,0.0015263088364735342,0.033657251529240484,0.0005252297086116159
loss_weighted,3584,10,0.03940703003768038,0.005656700296737337,0.001788805697864032,0.032487228294489474,0.002675148244900876,0.02214972729561638,0.0016466180663937415,0.0352994733302639,0.0006431368647705887
loss_weighted,4096,10,0.042158832202392096,0.005509223393074072,0.0017421694060795175,0.03461759307216677,0.003319829868135605,0.023450170423790922,0.002100762636429887,0.03630948681598181,0.0009829368665071943
naive,512,10,0.08994056371393892,0.005660683650550449,0.0017900653449416074,0.08626335079226842,0.004190338026767628,0.0576773921367519,0.0026837200782923913,0.06271539971737597,0.000549841241494576
naive,768,10,0.06978694986386932,0.003135717794387199,0.0009916010329783101,0.06655945408376987,0.0037607072353554325,0.04459881968035194,0.0022737460584054767,0.051244531372663195,0.0006951251754832266
naive,1024,10,0.058475073021148224,0.0035711077173779947,0.0011292834156719327,0.05477963335989494,0.003073981677975576,0.03693370904792694,0.0018671715935937986,0.04585214257497389,0.0004914250721838647
naive,1280,10,0.04991961273078244,0.003356952712350721,0.0010615616568508332,0.04668796719439963,0.0023916188146334274,0.03165339016147373,0.0014968793732175194,0.04184998972616925,0.0005333424074028292
naive,1536,10,0.04433512915200574,0.004254560796450286,0.0013454102560442925,0.04074177235552675,0.002387152334739765,0.027695448538370297,0.001510369303880635,0.03839060155368842,0.00031419821376407335
naive,1792,10,0.040362345278295554,0.004877578875163035,0.0015424258712637279,0.03659988800569529,0.0024911197715305378,0.02477178100694178,0.0016070637988171747,0.03671687470386144,0.000326509479236309
naive,2048,10,0.03856214729530395,0.005045793745429251,0.0015956200838988255,0.034440711290961705,0.002813461577541736,0.02327452298187841,0.001803083343210329,0.035249981715899076,0.00027085803862054547
naive,2560,10,0.03660706446412587,0.004857257337098841,0.0015359996366796616,0.03126466935904397,0.002224180512664677,0.02104722138304816,0.0014198556114662906,0.033905691965714205,0.0003410225917480195
naive,3072,10,0.03685424266862723,0.0047683217697979926,0.001507875740912674,0.03084325087038011,0.0025423115570247863,0.0206178696717886,0.0015412088134874587,0.03334607787012146,0.0004600366878931537
naive,3584,10,0.03886613232121852,0.005621139699579299,0.0017775604496665211,0.0317780570318658,0.0025759492455525415,0.021175224970392162,0.0015851469998808146,0.03476140406874088,0.00046663907546317925
naive,4096,10,0.04122263823945998,0.005538936215987122,0.001751565425691365,0.03359628535706592,0.003176669422839268,0.0223588575553361,0.001960864624555262,0.03571403675934158,0.0007105525010968922
