replicate,label_seed,model,n_basis,selected_regularization,parent_validation_nrmse,parent_n,parent_rmse_3d,parent_normalized_rmse,parent_rmse_x,parent_rmse_y,parent_rmse_z,parent_corr_x,parent_corr_y,parent_corr_z,parent_median_direction_error_deg,parent_p90_direction_error_deg,parent_median_abs_relative_speed_error,parent_mean_residual_x,parent_mean_residual_y,parent_mean_residual_z,parent_mean_residual_magnitude,parent_calibration_slope_x,parent_calibration_intercept_x,parent_calibration_slope_origin_x,parent_calibration_slope_y,parent_calibration_intercept_y,parent_calibration_slope_origin_y,parent_calibration_slope_z,parent_calibration_intercept_z,parent_calibration_slope_origin_z,parent_vector_gain_through_origin,unweighted_n,unweighted_rmse_3d,unweighted_normalized_rmse,unweighted_rmse_x,unweighted_rmse_y,unweighted_rmse_z,unweighted_corr_x,unweighted_corr_y,unweighted_corr_z,unweighted_median_direction_error_deg,unweighted_p90_direction_error_deg,unweighted_median_abs_relative_speed_error,unweighted_mean_residual_x,unweighted_mean_residual_y,unweighted_mean_residual_z,unweighted_mean_residual_magnitude,unweighted_calibration_slope_x,unweighted_calibration_intercept_x,unweighted_calibration_slope_origin_x,unweighted_calibration_slope_y,unweighted_calibration_intercept_y,unweighted_calibration_slope_origin_y,unweighted_calibration_slope_z,unweighted_calibration_intercept_z,unweighted_calibration_slope_origin_z,unweighted_vector_gain_through_origin,query_primary_n,query_primary_rmse_3d,query_primary_normalized_rmse,query_primary_rmse_x,query_primary_rmse_y,query_primary_rmse_z,query_primary_corr_x,query_primary_corr_y,query_primary_corr_z,query_primary_median_direction_error_deg,query_primary_p90_direction_error_deg,query_primary_median_abs_relative_speed_error,query_primary_mean_residual_x,query_primary_mean_residual_y,query_primary_mean_residual_z,query_primary_mean_residual_magnitude,query_primary_calibration_slope_x,query_primary_calibration_intercept_x,query_primary_calibration_slope_origin_x,query_primary_calibration_slope_y,query_primary_calibration_intercept_y,query_primary_calibration_slope_origin_y,query_primary_calibration_slope_z,query_primary_calibration_intercept_z,query_primary_calibration_slope_origin_z,query_primary_vector_gain_through_origin,unweighted_validation_nrmse,protocol
1,20261202,naive,2560,0.003,0.032860820298698,1489.0,14.497364383691488,0.0341139000789076,7.434807935593294,9.885019778322931,7.561983140455295,0.9989164025007228,0.9991858813673632,0.9991557741766774,0.568979315519329,2.3668638438321405,0.0062968448689668,-0.0532866294655423,-0.2578773055741393,0.5015567805985184,0.5664798087966828,1.0024005554086513,-0.1809590347319769,1.0020580954240703,1.001125132388209,-0.4808246493634271,1.0001625621899146,0.9994727492734956,0.5757639572074709,1.0009870123291575,1.0007018266276764,1489.0,10.408547449837156,0.0228556683745222,5.257199306549744,7.06144902519284,5.552985965345815,0.9989720238895674,0.9994373827931166,0.999400074820688,0.3246425470450985,1.424135206930867,0.0031324996160372,0.0198580846848416,-0.1305936884621022,0.3969039675443268,0.4183082768078047,1.0025076101508912,-0.1623527546696124,1.0018731714734637,1.0006947019723158,-0.3427344546049653,0.9999331571267815,0.9993018250840018,0.5090368202957336,1.0008934642720415,1.000344939358067,266.0,14.386160256455105,0.0342236600895062,7.131771651533611,9.539112530983434,8.068752825314755,0.9984214497367472,0.9990866071899236,0.9989420009530836,0.9811649729205152,3.137453344766396,0.0092956039706295,1.8119024620300976,4.439311599424812,0.1448319575857959,4.797025568478508,0.988331299249562,2.7034155526900463,0.998367639931724,0.9959614388226116,5.434553292103743,1.0093988649701642,1.001336210582196,-0.0700119030570931,1.0011368093615272,1.005474451046429,0.0224083153000625,practical_model_specific
2,20261212,naive,2560,0.03,0.0345603345439515,1489.0,13.979136905338176,0.0333089717801981,7.228174733239332,9.133730441010997,7.729471319236337,0.998822833931639,0.9993021926371474,0.9991133718277482,0.6072307410072393,2.754711552417228,0.0057945227763266,0.0849163051051188,0.4299641486219273,0.2477192559610043,0.5034329923105537,0.9911599052705996,0.6414364125456302,0.9927266493990202,0.99463420236927,1.4508760708291677,0.9975339495846832,0.994718966600574,1.0260435398990635,0.9974603879824352,0.9968074466602048,1489.0,9.917595411778516,0.02189635324273,5.037435926192938,6.485738202317228,5.560408079649723,0.9989293463289378,0.9995304828026218,0.9993888026766756,0.316737048751517,1.6121528349605856,0.0030168752006808,-0.0165796158717453,0.0984502694188277,0.034745454961452,0.1057099136863363,0.9919224720986236,0.6100268839223304,0.9945987673231232,0.9958044160522412,1.3492784308422188,0.9988249208350104,0.9959532997475078,0.7257125868706282,0.9982357283455324,0.9983047406227298,266.0,14.037022255404873,0.0333930854219599,6.819172525457463,9.141959981350569,8.182997468297453,0.9985753880523968,0.999150968538042,0.9989060308129988,0.8924514018775068,2.9960816376282766,0.0103476625488343,1.414213917566585,4.092604408567987,0.1914087322605559,4.334287617643152,0.9840815202032458,2.6304189969263803,0.9938468635903231,0.9939544896261676,5.582428064390797,1.0077575495663966,0.9973308625932644,0.6205684715189648,0.9990983064896038,1.0033708744236438,0.0235093246075626,practical_model_specific
3,20261222,naive,2560,0.01,0.0323665358035092,1489.0,12.150823516810668,0.0286881450488348,6.4873680643058265,7.811137770479997,6.674031350352253,0.9990540382311478,0.9994524252372784,0.9993412601095262,0.5460361235017658,2.127435965383955,0.0054244445859335,-0.0239279020663013,0.0053472620649626,0.0396905550496042,0.0466527369940023,0.9971873177680814,0.1259508655704522,0.9974548714002024,0.9967694354970208,0.6877453552756663,0.998220496877506,1.0004144839239462,-0.0195837327889876,1.0003628054677562,0.998760611373789,1489.0,8.783901439069355,0.0192783626304547,4.584873698913703,5.699812484928495,4.8629204489634885,0.9991208180687472,0.9996019873680508,0.9995420590342,0.3028017890288059,1.3652566133160828,0.0030338987651077,0.0351485847214348,-0.0512426808388544,0.0189876197724568,0.0649751110202666,0.997823884289473,0.1920560319677093,0.9986310087780638,0.9977512404404336,0.6488979611626746,0.9992190086510346,1.0000070286298697,0.0178327085694434,1.0000625236026988,0.9993849494393124,266.0,14.189273031132403,0.033755279273827,6.948250984443017,9.47624223500126,7.953496747518438,0.9985020577429006,0.9990916076641272,0.9989681845791616,0.905881225077923,3.054843993050803,0.0097727539110967,1.5911893653141098,4.299744291373573,0.1517954628461291,4.587235161840846,0.9865643720650104,2.6176993805641047,0.9962824942977112,0.9942483817723132,5.717142718470683,1.0083845359187988,0.9998937089815042,0.1688855630665386,1.000374712724558,1.00441599173289,0.0221212031454912,practical_model_specific
4,20270102,naive,2560,0.003,0.0378455294407986,1489.0,11.807032933281786,0.0285535626596495,6.357226995798379,7.572321195675381,6.4538084354138,0.9989805913117544,0.9994962538553358,0.9993531254033214,0.5985278142482803,2.388679291292985,0.0059395211114902,0.3872989216342619,-0.0356825342034023,-0.2950782959491285,0.4882057954249219,0.998022142336389,0.512012886757482,0.9993823791204554,0.9996231178292004,0.035678017562077,0.9996959483395094,0.9994098365895704,-0.2068090622626357,0.9988422344011212,0.999380330426453,1489.0,8.660134975748843,0.0192712093327118,4.547792895847032,5.58879972135776,4.804251788699584,0.9990287138695856,0.9996394308142618,0.999534916833946,0.3166355787393261,1.422411497401181,0.0032048641077952,0.1876555733103144,-0.1110175101975487,-0.1732637406178267,0.2784956473228391,0.9984265776619636,0.3101066809646227,0.9998725993405146,0.9996517846220464,-0.0070998140660094,0.9996357762701396,0.9992338387780298,-0.0448034165614217,0.9990918304008212,0.999512863389346,266.0,14.377393277102383,0.0342028040642687,7.119548598138133,9.26420593524637,8.378302548402282,0.9984391840828246,0.9991236275761216,0.9988572705801568,1.0000130015593849,3.2298465501740967,0.0098329921061204,1.675329375937181,4.181643210675574,0.2515929249121386,4.511780963115678,0.9855573587177044,2.778777312622779,0.9958734774370754,0.9964688348118786,5.051844914844708,1.0089599797695974,1.00047819401808,0.1747060551705885,1.000975775131263,1.0048849624752958,0.0247974924212971,practical_model_specific
5,20270112,naive,2560,0.01,0.0319295360674876,1489.0,14.204746547613851,0.0337386671987678,7.375811337160995,8.025002935577776,9.108872569342656,0.9986858462687372,0.9994294994806876,0.9988015028313258,0.6049451534476121,2.5607419372023057,0.0059728012731384,-0.0960547482970165,-0.524011031440493,0.1569043588305805,0.555367494152987,0.9925584972486604,0.3975569754221055,0.9936164153114246,0.9970566989145836,0.0515355837801507,0.9971635705060728,0.9943291810790292,1.0274628696784305,0.9970469278464252,0.9966265630104714,1489.0,10.27252115087753,0.0226033052339974,5.198612464603976,5.954591378479672,6.560637221598673,0.9988039606782896,0.9995892566603772,0.9991753500152968,0.3088256382286967,1.5012461083981976,0.0032531396032847,-0.0634278354784657,-0.2718766300366706,0.0317895908331482,0.2809814413069286,0.993337382981812,0.4567253736447867,0.995397016413842,0.99866400349233,0.1316414288860983,0.9989600763806832,0.9963316542770518,0.6553600246668907,0.998359432715514,0.9985016600460526,266.0,14.33535068046649,0.0341027876936113,6.951719670747061,9.429409316767789,8.26208888164199,0.9985311341164084,0.9990968941093216,0.9988846421190534,0.9314910642970916,3.175071523739787,0.0094093996325157,1.682234434223468,4.249108071297301,0.0422757301876096,4.570188106699101,0.98481525718733,2.842380476643129,0.9953675005461176,0.9943955679451484,5.630234715113943,1.0083168341672786,0.99883945845888,0.2288744807535181,0.9994913169122196,1.0039890029003165,0.0216058201002423,practical_model_specific
6,20270122,naive,2560,0.01,0.0474180207273093,1489.0,13.666536355502515,0.0324048971578994,6.46187873839217,9.618803884333817,7.24547796638094,0.9990544735167524,0.9991919177947952,0.99919622434182,0.5301985755864514,2.3906849090188245,0.0054204967269889,0.2442787752634435,0.5404098425915563,0.1384329606244575,0.6089980316891765,0.9961126496780136,0.4876325887547779,0.9972898237362938,0.996165752659495,1.3003085427342853,0.998844751693176,0.9978275512039728,0.4685421534167631,0.9991048247960368,0.9986995546977424,1489.0,9.975786325023568,0.0220643987600675,4.655625179926395,6.982196991156906,5.393550979015762,0.9991013297479908,0.9994408855145543,0.9994312903488792,0.3164436503607841,1.4145987951544283,0.0030079962612218,0.1220143586054574,0.0950584522311144,0.0774115750007748,0.172962900619112,0.997048565254314,0.3461455665311774,0.9985241232652158,0.9970209633862024,0.9887018761367016,0.9992433904957184,0.9985209900727724,0.3229976172590341,0.9995301348276068,0.99925525986997,266.0,14.00954936455542,0.0333277293532559,6.8789712521232165,9.131301798076848,8.097317789417437,0.9985518342292948,0.9991525145363098,0.9989326228036004,0.898760319035211,3.1293884357723183,0.0090860415848134,1.5526348090091082,4.140029628136531,0.205951694900019,4.426390885656987,0.9847942920357484,2.714382632765208,0.9948713476393783,0.995662493656834,5.2089417890189225,1.0085420748909613,1.0006181629276207,0.1065597939182794,1.0009216563630754,1.0045152397028794,0.0303650892536351,practical_model_specific
7,20270202,naive,2560,0.01,0.0393252161826383,1489.0,12.76648001257133,0.0303332530572076,6.043197648540345,7.948318056423188,7.955313580619993,0.9991368382975748,0.9994767649122984,0.9990527944392344,0.5613683478119232,2.247365491953188,0.0054620706329026,-0.0282802974871857,0.4380584085504251,0.0943949982124477,0.4490048554472689,0.9964806869387344,0.1913478019146524,0.996957983756328,0.998132811261348,0.795304850278427,0.9997052374911636,0.9993477271242552,0.1910429154501685,0.9998591848019692,0.9993653135944716,1489.0,9.272834377456888,0.0205143953867339,4.3554224351137245,5.791763261360013,5.785432665567434,0.999187002343644,0.9996325254407706,0.9993457900847592,0.3077130059156643,1.5492493299941958,0.0030261895208446,-0.0036206552178109,0.1721578407291004,0.0181643814437769,0.1731513096166113,0.9972306194831512,0.2080822159259412,0.99813928332622,0.9980443900884536,0.7504801180642744,0.9997134453255446,0.9991573390079104,0.1598137312740277,0.9996562851165096,0.9995635117068375,266.0,14.36591645380333,0.0341755015115033,7.0320267340527804,9.546854249211805,8.110963537923881,0.9985135583146828,0.9990653130158538,0.9989292011134432,0.9350675734196788,3.2137844853481496,0.0087383225501164,1.8285658277984265,4.254521674234532,0.3143735408243491,4.641490965874434,0.9845295358246182,3.010541578648059,0.9957060717038548,0.9954117757574188,5.385219430441339,1.0087272194554433,1.0003340790901525,0.2606583237435131,1.0010764612517902,1.0047663461647824,0.026107367422776,practical_model_specific
8,20270212,naive,2560,0.01,0.0348501837200923,1489.0,12.22895147991291,0.0293597452009098,6.093116077582881,7.344043582689682,7.6476280387267614,0.9990660044873196,0.9995244877840076,0.9990633846070408,0.5721026191835332,2.327479349540008,0.005157498906851,0.2110846746472801,-0.2290895298085629,0.1179083535315211,0.3330782676359577,0.9970361939923847,0.4118767851648215,0.998178050191615,0.9976758635995508,0.2176131130252088,0.9981231963266404,0.9954600754446978,0.8276731598202218,0.9977893494231592,0.9980240229126884,1489.0,9.01385421748853,0.0200541127151289,4.403628948878881,5.462883626702042,5.658137716231591,0.9991142576781684,0.9996587253116936,0.9993417954392902,0.3308416125345863,1.508334650248602,0.0029962736479236,0.1292324816217351,-0.1619567153178355,0.0734962070020734,0.2198470022227871,0.9972749070735384,0.3459281729373913,0.9988686607528456,0.998898896245495,0.1641309877976482,0.9992688576218874,0.9971230320576882,0.5643347026373817,0.9989265146477928,0.9991442041112112,266.0,14.223430026463376,0.0338365363554282,6.837178684952628,9.433234654575228,8.159229945249145,0.9985606748114108,0.9990692928488992,0.998913155626488,0.9801993285398858,3.074347262258729,0.0105547603300733,1.5932249276544197,4.037439962818618,0.0931669291627496,4.341424558846307,0.9860883620154322,2.656103104155676,0.9959490567997502,0.9956502536475282,5.109368486966275,1.0082836308570218,0.9994653013012004,0.179138956522479,0.999975507780958,1.0041927007551714,0.0234969934102975,practical_model_specific
9,20270222,naive,2560,0.01,0.033998866550508,1489.0,12.340439225856525,0.0293055402972423,6.702480228497409,6.835037516118148,7.787519581157864,0.9989430334428456,0.999610294062528,0.9990769123960952,0.5914122258380655,2.272336786713318,0.005740533374492,0.0279919267431007,0.5190874275948979,0.3407491413089062,0.6215667966941578,0.9962324778415008,0.2748052341227378,0.9969377478645928,0.9969406618086708,1.1147607105575048,0.9991755165912772,0.9988943795127748,0.5043023822410362,1.0002588293295795,0.9991874079074377,1489.0,8.954005429715314,0.019716143843429,4.735032423928035,5.105034685041643,5.629591640984565,0.999006049878976,0.99970297879509,0.9993754520645288,0.3189636514301872,1.4339069118060417,0.0031560558743079,-0.0006327120970405,0.320149488767203,0.1550189674474026,0.3557063054697767,0.9967140608310084,0.2573426985674842,0.9978726515618768,0.9977049726344456,1.0142716666243246,0.9999778460198724,0.9989267768219804,0.336146562091443,0.9999804118207636,0.9998005232039732,266.0,14.39226255061658,0.0342381770167075,6.931396260059628,9.264351083946238,8.559483991765862,0.9985223969790352,0.9991295127875068,0.9988034163141266,0.9417450597572352,3.096926199798515,0.0095966092347379,1.6231790563320565,4.224519395246314,0.1136254267452347,4.527050376053965,0.98578811179658,2.7089969761950954,0.9958451733286064,0.9958652947838152,5.243454317199166,1.008830211375544,0.999019019071642,0.2713533572628819,0.9997918618070644,1.0044302242170982,0.0227434349829997,practical_model_specific
10,20270302,naive,2560,0.01,0.0409156013062659,1489.0,14.012304789057133,0.0328400111108228,9.428094237582489,7.838515185167367,6.783318084875421,0.9979473133292808,0.9994655948756724,0.9993333078394736,0.5161755011554854,2.096367021873556,0.0055175055929167,-0.3046337958992032,-0.0039257272525643,-0.3342491024559894,0.4522605702811748,0.9955612042161642,0.008129402486233,0.995582725681658,0.9970496442525464,0.5982831171181999,0.9982834782850748,0.9990539262543998,-0.1938070566109786,0.998544442221724,0.9979695918253592,1489.0,10.099988959011585,0.0222182643107062,6.605005115635026,5.765490767763195,5.014259726163817,0.998148520362432,0.999610900888633,0.9995366944589674,0.3103327752431903,1.4202682390838313,0.0033047925062541,-0.1097474979815263,-0.0720682552582672,-0.1831479634911915,0.2253475610255117,0.9963362128870183,0.1779651186469806,0.9971145325062132,0.9981728937066056,0.4846336473079304,0.9992627179176596,0.9990094033210472,-0.0231405984307002,0.9989391368343824,0.9989927586414884,266.0,14.208642921878486,0.033801358877074,6.937916609667048,9.370381587505031,8.120763246351927,0.998524664722956,0.9991052103182488,0.9989261000998216,0.9323455613715176,3.2034629821768927,0.0097134140444771,1.7126561628914718,4.226976674644716,0.2574929287979496,4.568022060877288,0.9862252587886456,2.765075140206875,0.9964905086468407,0.9954945432697362,5.337277642134097,1.0086914465459202,1.000341059273816,0.2026553963977733,1.000918243033324,1.004786981398471,0.0276384841418654,practical_model_specific
