noise_fraction,n_basis,seed_pair_index,validation_observed_nrmse_seed_mean,test_hidden_nrmse_3d_seed_mean,test_latent_nrmse_radial_seed_mean,test_hidden_nrmse_tangential_seed_mean,effective_degrees_of_freedom_seed_mean,selector_agreement_seed_mean
0.0,3,0,0.9733829830173516,1.0686897960761024,0.9745364569365588,1.1396241135999223,2.9999999968579707,1.0
0.0,3,1,0.960730994339575,1.101303287238279,0.9728400707500632,1.1883918583153603,2.999999996771194,1.0
0.0,3,2,0.9671933554022518,1.087946374302344,0.9597918128076774,1.168677675648904,2.999999996826042,1.0
0.0,3,3,0.9707082016571243,1.0749392835194564,0.9494715488785342,1.1659817836559423,2.9999999968366207,1.0
0.0,3,4,0.9671074229842422,1.0741830652418398,0.9456083125209342,1.1612989696521057,2.9999999968181816,1.0
0.0,6,0,0.9363236896626264,0.9619528681097748,0.9484343352147,0.9728217681035012,5.999999604985445,1.0
0.0,6,1,0.9318331608973632,0.9803640660494884,0.9362418995180978,1.012126563540231,5.327695309385146,0.0
0.0,6,2,0.9281694568042133,0.9441584852365598,0.9413848128575624,0.9460792222970164,5.99999960266019,1.0
0.0,6,3,0.9499154834145732,0.9613950701935228,0.9251939133653246,0.9895142523203956,5.3133868038902765,0.0
0.0,6,4,0.9398902838100812,0.9653131274871476,0.9181381494676178,0.9992296278335968,5.980479117565105,0.0
0.0,11,0,0.9303808355542884,0.9659423300832044,0.9330189465945696,0.9919438150698204,10.999999489035,1.0
0.0,11,1,0.9113936055154016,0.9701088145844152,0.9201031988463498,1.0059069300088426,10.984700454035886,0.0
0.0,11,2,0.9192239743480374,0.9485637401807284,0.9276573436821576,0.9628103056252784,10.999999484915756,1.0
0.0,11,3,0.9355939143433892,0.9480837452308326,0.9047639836409308,0.9814957955916404,10.943784235677576,0.0
0.0,11,4,0.9306834695552074,0.984623503944648,0.9145146745890465,1.0340844265403066,9.742511784903124,0.0
0.0,19,0,0.6705745674412962,0.834507443501425,0.6699860646382985,0.9476023920567952,18.84862354120177,1.0
0.0,19,1,0.6736083841743278,0.8528844655863181,0.6999675913307243,0.9513778544852702,16.89893429260097,0.0
0.0,19,2,0.6869957410918303,0.8277931215073379,0.6847565371754729,0.9140209870703636,18.99999938265345,0.0
0.0,19,3,0.6620801934918823,0.8387060091253228,0.6851733347077091,0.9441163805072073,18.97527379982745,0.0
0.0,19,4,0.6815841546771356,0.8820966702288232,0.6499187456850567,1.0221721821659144,16.90913814708046,0.0
0.0,35,0,0.5960030043440879,0.7577216149089276,0.5733799678603514,0.87974085712468,34.5196658703552,0.0
0.0,35,1,0.598456939556048,0.7339621632933374,0.6233334924957703,0.8068914616672404,30.965014625731,1.0
0.0,35,2,0.5838316140626316,0.7108382844985718,0.5941634827644011,0.7816600865001951,34.99999920457989,0.0
0.0,35,3,0.5603064926385538,0.7489541575670133,0.5970372904161783,0.8515725920855348,34.95270886100285,0.0
0.0,35,4,0.5740462344334454,0.6859398686954169,0.5256238321678568,0.7849649209872196,34.95201175434487,0.0
0.0,67,0,0.5318137151526563,0.6873626282908735,0.5078642278028427,0.8044629010461305,58.55019190822796,1.0
0.0,67,1,0.5362883582331298,0.6972353494988275,0.5506843066372583,0.7893057203943625,65.27956455955767,0.0
0.0,67,2,0.5174139421203087,0.6958498431064264,0.5338079817638174,0.7890076777284559,66.99999874020318,0.0
0.0,67,3,0.5120804752114637,0.7252128502116294,0.5292392574292603,0.8505288805332751,65.33305368017199,0.0
0.0,67,4,0.5185941325442236,0.6567624026698151,0.4786037345681639,0.7635602051474629,65.29067847767284,1.0
0.0,131,0,0.4339405267052869,0.7217761742407434,0.433797252325567,0.8899056838336485,124.84259030368368,1.0
0.0,131,1,0.4416165305430555,0.731213383968728,0.4755413110620659,0.8749701780924718,130.75765475720408,0.0
0.0,131,2,0.438346263717983,0.6714973183973407,0.4650600294451368,0.7834477019515432,124.80379203919252,1.0
0.0,131,3,0.4510524506817598,0.6877883917233033,0.4709075865175135,0.8215252579879667,124.87689617200286,1.0
0.0,131,4,0.428059910975921,0.6715375001975773,0.4191099370046047,0.8108135717229314,124.75789373140968,1.0
0.0,259,0,0.3170409922537087,0.6037319139413924,0.3277288750666681,0.7575143563177311,235.01161687840997,1.0
0.0,259,1,0.299326323411674,0.6322999550397467,0.3325824692787287,0.7850021598102309,258.39531740756274,0.0
0.0,259,2,0.3000495576057367,0.5698260907627469,0.3175489464436825,0.6929006794875391,234.8243703538455,1.0
0.0,259,3,0.3160639634138881,0.5992592651941224,0.3107459444624449,0.7549825494169347,235.01057549482292,1.0
0.0,259,4,0.3198613689206312,0.5815747258930207,0.3047271715321871,0.722657463374975,234.73468007501535,1.0
0.0,387,0,0.2795548700527377,0.6164731520645153,0.2769932502570463,0.7918437985934327,385.8857285955384,0.0
0.0,387,1,0.2557029966741198,0.5853250220868741,0.2801986654331955,0.7350154444644884,332.02645277906163,1.0
0.0,387,2,0.2502369564970466,0.557516256009929,0.2686106424964661,0.6902999617283742,332.0736215593509,1.0
0.0,387,3,0.2670767678168917,0.5655863046075689,0.2768173926125346,0.7178312087827792,332.61592553234976,1.0
0.0,387,4,0.2751245510020862,0.5491483397348201,0.2556235974238988,0.6918864684252038,332.3171898943304,1.0
0.0,514,0,0.2414235317040772,0.5982421001393506,0.2408081539289351,0.7759480444425013,512.2214368634961,0.0
0.0,514,1,0.2365781879155621,0.6241696972147341,0.2455971209519791,0.7975000177343285,512.1687224896232,0.0
0.0,514,2,0.2169881915988437,0.5220232687981703,0.2255640259469962,0.652967160758909,419.0072079494647,1.0
0.0,514,3,0.2292600922214301,0.5401580052744209,0.2361400525610793,0.6937866106438566,420.0558559784616,1.0
0.0,514,4,0.2409763523784752,0.5144776149251605,0.2171585617907493,0.6540746496859344,419.7313249979267,1.0
0.0,643,0,0.2062942901417095,0.5904821188341273,0.2034094341798878,0.7738780474452462,640.3306764918902,0.0
0.0,643,1,0.2043093260875275,0.5996841339269092,0.2209521206041561,0.7695570107116233,640.3507293903244,0.0
0.0,643,2,0.1905895987150946,0.4862278322068046,0.2002387571265014,0.6104971152193903,498.9597902364689,1.0
0.0,643,3,0.2013065722781339,0.5029579836501578,0.2064668730854088,0.6495511506870552,500.0836800000116,1.0
0.0,643,4,0.2201651319884575,0.4916842351537016,0.1899286460350293,0.6292807650160533,499.8250485701463,1.0
0.0,771,0,0.1856680986688942,0.567239704876951,0.1777411495598309,0.7470173406317216,767.1503790058218,0.0
0.0,771,1,0.1820208346353273,0.5775073518429279,0.1940314069980968,0.7449395219781766,766.6958196675571,0.0
