noise_fraction,seed_pair_index,reference_seed,label_seed,n_noise_runs,practical_n_basis,practical_same_hidden_fraction,raw_same_hidden_fraction,test_observed_nrmse_radial_seed_mean,test_observed_nrmse_radial_within_seed_std,test_latent_nrmse_radial_seed_mean,test_latent_nrmse_radial_within_seed_std,test_hidden_nrmse_tangential_seed_mean,test_hidden_nrmse_tangential_within_seed_std,test_hidden_nrmse_3d_seed_mean,test_hidden_nrmse_3d_within_seed_std,test_hidden_direction_error_median_deg_seed_mean,test_hidden_direction_error_median_deg_within_seed_std,test_hidden_predicted_to_reference_rms_3d_seed_mean,test_hidden_predicted_to_reference_rms_3d_within_seed_std,test_raw_argmin_hidden_nrmse_3d_seed_mean,test_raw_argmin_hidden_nrmse_3d_within_seed_std,test_hidden_selector_nrmse_3d_seed_mean,test_hidden_selector_nrmse_3d_within_seed_std,delta_test_nrmse_3d_practical_minus_hidden_seed_mean,delta_test_nrmse_3d_practical_minus_hidden_within_seed_std,delta_test_nrmse_3d_raw_minus_hidden_seed_mean,delta_test_nrmse_3d_raw_minus_hidden_within_seed_std,delta_test_nrmse_3d_practical_minus_raw_seed_mean,delta_test_nrmse_3d_practical_minus_raw_within_seed_std,standardized_residual_mean_seed_mean,standardized_residual_mean_within_seed_std,standardized_residual_rms_seed_mean,standardized_residual_rms_within_seed_std,coverage_observed_radial_68_seed_mean,coverage_observed_radial_68_within_seed_std,coverage_observed_radial_95_seed_mean,coverage_observed_radial_95_within_seed_std,coverage_latent_radial_95_seed_mean,coverage_latent_radial_95_within_seed_std,coverage_latent_component_95_seed_mean,coverage_latent_component_95_within_seed_std,effective_degrees_of_freedom_seed_mean,effective_degrees_of_freedom_within_seed_std,effective_degrees_of_freedom_fraction_seed_mean,effective_degrees_of_freedom_fraction_within_seed_std
0.0,0,20260805,20260804,1,1539,0.0,0.0,0.1156492058458603,0.0,0.1156492058458603,0.0,0.672823021933062,0.0,0.5054902698630048,0.0,22.077947115757453,0.0,0.999365275072268,0.0,0.5054902698630048,0.0,0.4584689383463324,0.0,0.0470213315166724,0.0,0.0470213315166724,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1499.8329915494755,0.0,0.9745503518839996,0.0
0.0,1,20260815,20260814,1,1539,0.0,0.0,0.1494002679480434,0.0,0.1494002679480434,0.0,0.7162169385108239,0.0,0.5504087265058554,0.0,22.983391390607864,0.0,1.0336462045545314,0.0,0.5487765178765841,0.0,0.4710278891984142,0.0,0.0793808373074411,0.0,0.0777486286781699,0.0,0.0016322086292712,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1499.109040102478,0.0,0.974079948084781,0.0
0.0,2,20260825,20260824,1,1539,0.0,0.0,0.1388293481720921,0.0,0.1388293481720921,0.0,0.6596126202033107,0.0,0.514496137645386,0.0,22.914069210855825,0.0,0.9778186582241388,0.0,0.514496137645386,0.0,0.4461826100473154,0.0,0.0683135275980705,0.0,0.0683135275980705,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1499.0012449088322,0.0,0.9740099057237376,0.0
0.0,3,20260905,20260904,1,1539,0.0,0.0,0.1266861573990174,0.0,0.1266861573990174,0.0,0.672744810446119,0.0,0.5080699329615763,0.0,22.65305410424689,0.0,1.0320587693134429,0.0,0.5035144037625493,0.0,0.4496276541028871,0.0,0.0584422788586891,0.0,0.0538867496596621,0.0,0.004555529199027,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1499.5811340277562,0.0,0.9743867017724211,0.0
0.0,4,20260915,20260914,1,1539,0.0,0.0,0.1216269798644675,0.0,0.1216269798644675,0.0,0.646220117094646,0.0,0.4949557443889099,0.0,20.567755188179262,0.0,1.0044543049411403,0.0,0.4836186048137924,0.0,0.4303009164942164,0.0,0.0646548278946935,0.0,0.053317688319576,0.0,0.0113371395751175,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1499.3006313380404,0.0,0.9742044388161406,0.0
0.05,0,20260805,20260804,12,1539,0.0,0.0,0.13100593692560322,0.0029466806837940753,0.12179459110926456,0.002377493629844723,0.6828087944280662,0.005113665809745123,0.5134577026383292,0.003835368605941914,22.60619601669312,0.536542921732689,1.0037082908616786,0.00461820750160714,0.5081030744019511,0.01697928102112079,0.45901500143887203,0.0017107631713833746,0.05444270119945713,0.003996434705154159,0.04908807296307897,0.01696183211577901,0.005354628236378158,0.015200998534802806,-0.08913492740307129,0.037567637034523156,2.044397237051159,0.04505069631811409,0.40511111111111103,0.011109494831938826,0.6904444444444445,0.013282732265274962,0.48055555555555557,0.018036625663351378,0.326037037037037,0.0052122908645685665,1499.8329915494758,2.374840586831367e-13,0.9745503518839996,0.0
0.05,1,20260815,20260814,12,1539,0.0,1.0,0.16413598522537773,0.0025474565886288254,0.15635883989066432,0.002072876751488638,0.6437555964679114,0.0519601618000998,0.4975370841008304,0.03866840784015169,22.111949496018976,0.8423337886683401,0.9353013801555358,0.06374857245459906,0.4716829021103038,0.002345216419237113,0.4716829021103038,0.002345216419237113,0.025854181990526512,0.03905610216143744,0.0,0.0,0.025854181990526512,0.03905610216143744,-0.025251798616461846,0.04679117161374946,2.671354772980646,0.28347066670894844,0.34333333333333327,0.03002759673461341,0.603,0.044658524811997974,0.31977777777777777,0.08819415374166674,0.17677777777777773,0.07994771018382181,1011.9509779310762,293.7673646943944,0.6575379973561248,0.19088197835893075
0.05,2,20260825,20260824,12,1539,0.0,0.5,0.14869410685803935,0.0063184114599498555,0.14129038482621,0.0065970668665261524,0.6506541984153554,0.04358525449832352,0.5080073517280094,0.03357304248150849,22.82206024633182,1.2193088894417194,0.9538244580961032,0.056297325914309936,0.4611105750403048,0.03157338909406131,0.4470503662525848,0.001795164874751377,0.060956985475424504,0.03315893328310666,0.014060208787719892,0.03180328298304978,0.046896776687704596,0.0384570673890679,-0.11792063386112678,0.03563340992375283,2.2652835989408,0.20298530155436664,0.38999999999999996,0.030619199100161865,0.6717777777777778,0.043865113109943635,0.44333333333333336,0.09899454122283306,0.25799999999999995,0.08468387110123957,1337.0351953926045,293.0076081935186,0.8687688079224203,0.19038830941749096
0.05,3,20260905,20260904,12,1539,0.0,0.16666666666666666,0.14171964411973706,0.0032913008462068798,0.1324500007326221,0.0021186408950054614,0.6857684936312248,0.007958383583440474,0.5182809523081956,0.005816274911924577,23.15454096823845,0.48786620311209616,1.0364335628966472,0.004644384066919039,0.5088846538720613,0.027876849211656802,0.4505050108134325,0.001910404654409364,0.06777594149476297,0.004991573394462074,0.05837964305862869,0.02773275022402841,0.009396298436134296,0.02460436939381098,-0.05796313455974537,0.04142512632276413,2.094528936636518,0.0417402417560546,0.38888888888888884,0.017106519126724666,0.6829999999999999,0.012790463619273504,0.48666666666666664,0.011313708498984755,0.3088888888888889,0.009035160151732361,1499.5811340277562,0.0,0.974386701772421,1.1595901302887535e-16
0.05,4,20260915,20260914,12,1539,0.0,0.75,0.13509446201384248,0.0023849860406765545,0.1260726301643794,0.0020238131167261758,0.620399982840098,0.05052178892272204,0.47623279769794413,0.03772980767445788,20.738776980426962,1.009166270745403,0.950920058948455,0.07329219560404159,0.44638384704276196,0.03097284561367824,0.42943559220863214,0.0013153379993305998,0.04679720548931199,0.03706424706268928,0.016948254834129792,0.030706634119425858,0.029848950655182203,0.046851413142782725,0.04805209306271944,0.07720873086205979,2.252567926829616,0.20646909757414703,0.37466666666666654,0.02899529742436303,0.6482222222222221,0.04179733047715888,0.3983333333333334,0.10242020791767115,0.24459259259259256,0.08844948634597712,1229.7242600734908,333.15023297741004,0.7990411046611375,0.21647188627512026
