seed_pair_index,seed_run_index,run_key,reference_seed,label_seed,scale,noise_fraction,noise_sigma,noise_realization,noise_seed,train_radial_rms,selection_policy,practical_n_basis,practical_regularization_strength,practical_penalty_power,practical_validation_selection_score,practical_validation_observed_nrmse,practical_validation_hidden_nrmse_3d,raw_argmin_n_basis,raw_argmin_regularization_strength,raw_argmin_penalty_power,hidden_selector_n_basis,hidden_selector_regularization_strength,hidden_selector_penalty_power,practical_same_hidden_candidate,raw_same_hidden_candidate,test_observed_nrmse_radial,test_latent_nrmse_radial,test_hidden_rmse_radial,test_hidden_reference_rms_radial,test_hidden_nrmse_radial,test_hidden_rmse_tangential,test_hidden_reference_rms_tangential,test_hidden_nrmse_tangential,test_hidden_rmse_3d,test_hidden_reference_rms_3d,test_hidden_nrmse_3d,test_hidden_predicted_rms_3d,test_hidden_predicted_to_reference_rms_3d,test_hidden_predicted_rms_tangential,test_hidden_predicted_to_reference_rms_tangential,test_hidden_direction_error_median_deg,test_hidden_direction_error_p90_deg,test_hidden_radial_correlation,test_hidden_radial_mean_bias,test_raw_argmin_hidden_nrmse_3d,test_hidden_selector_nrmse_3d,delta_test_nrmse_3d_practical_minus_hidden,delta_test_nrmse_3d_raw_minus_hidden,delta_test_nrmse_3d_practical_minus_raw,standardized_residual_mean,standardized_residual_rms,standardized_residual_fraction_abs_gt_1p96,standardized_residual_fraction_abs_gt_3,coverage_latent_radial_68,coverage_observed_radial_68,coverage_latent_component_68,coverage_latent_radial_95,coverage_observed_radial_95,coverage_latent_component_95,coefficient_norm,coefficient_standard_error_median,radial_prediction_standard_error_median,component_prediction_standard_error_median,n_parameters,n_observations_fit,numerical_rank,nullity,design_condition_number,normal_condition_number,normal_min_eigenvalue,normal_max_eigenvalue,effective_degrees_of_freedom,effective_degrees_of_freedom_fraction
0,0,seedpair00_ref20260805_label20260804_noise00000_rep000_seed2026082700,20260805,20260804,fiducial,0.0,0.0,0,2026082700,267.2868279644088,combined_practical_basis,1539,1e-06,2.0,0.1312499265476117,0.1312499265476117,0.4889574735625833,1539,1e-06,2.0,1283,0.0001,2.0,False,False,0.1156492058458603,0.1156492058458603,31.497336562602943,272.352380911143,0.1156492058458603,203.07175011377717,301.82045425606793,0.672823021933062,205.49992190949916,406.5358606510716,0.5054902698630048,406.27782220629945,0.999365275072268,302.6829349980324,1.0028575954008496,22.077947115757453,61.594346081427936,0.989469787769026,1.4589093184935615,0.5054902698630048,0.4584689383463324,0.0470213315166724,0.0470213315166724,0.0,,,,,,,,,,,15432.995375354649,0.0,0.0,0.0,1539,4250,1539,0,2250.3751596898683,3053163.439483409,1.7694940352933448e-08,0.054025544949416,1499.8329915494755,0.9745503518839996
1,0,seedpair01_ref20260815_label20260814_noise00000_rep000_seed2026083700,20260815,20260814,fiducial,0.0,0.0,0,2026083700,273.27124989347226,combined_practical_basis,1539,1e-06,2.0,0.1342030262095739,0.1342030262095739,0.5801126726854027,2050,1e-06,2.0,2050,0.0001,2.0,False,False,0.1494002679480434,0.1494002679480434,38.67523501555936,258.86991734853746,0.1494002679480434,214.32140108376456,299.24089973268013,0.7162169385108239,217.7830038502009,395.6750563036069,0.5504087265058554,408.9880201851238,1.0336462045545314,317.8116165597019,1.062059420499041,22.983391390607864,62.651942836080806,0.984101150455304,1.0125202989612048,0.5487765178765841,0.4710278891984142,0.0793808373074411,0.0777486286781699,0.0016322086292712,,,,,,,,,,,17236.320762798474,0.0,0.0,0.0,1539,4250,1539,0,2125.338724255508,2704372.0592883853,1.7452457006144648e-08,0.0471979370933494,1499.109040102478,0.974079948084781
2,0,seedpair02_ref20260825_label20260824_noise00000_rep000_seed2026084700,20260825,20260824,fiducial,0.0,0.0,0,2026084700,264.593090487359,combined_practical_basis,1539,1e-06,2.0,0.1181564955685771,0.1181564955685771,0.5209761153903775,1539,1e-06,2.0,2050,0.0001,2.0,False,False,0.1388293481720921,0.1388293481720921,37.50631024895975,270.1612500727663,0.1388293481720922,213.8777860425945,324.2475651491802,0.6596126202033107,217.14149919113356,422.04689851490633,0.514496137645386,412.685332013505,0.9778186582241388,312.6667524272849,0.9642840410642184,22.914069210855825,57.41197249616009,0.9854495851476788,2.3876091998769984,0.514496137645386,0.4461826100473154,0.0683135275980705,0.0683135275980705,0.0,,,,,,,,,,,18665.215027173115,0.0,0.0,0.0,1539,4250,1539,0,1907.365108157172,2142803.057319269,1.7307777016643056e-08,0.0370871575066629,1499.0012449088322,0.9740099057237376
3,0,seedpair03_ref20260905_label20260904_noise00000_rep000_seed2026085700,20260905,20260904,fiducial,0.0,0.0,0,2026085700,264.2763094307063,combined_practical_basis,1539,1e-06,2.0,0.1326017607963488,0.1326017607963488,0.5139082555515081,2050,1e-06,2.0,2050,0.0001,2.0,False,False,0.1266861573990174,0.1266861573990174,33.302701961244416,262.87561833888816,0.1266861573990174,197.3243362851124,293.312312813324,0.672744810446119,200.11487612938623,393.8726996949065,0.5080699329615763,406.4997737132885,1.0320587693134429,311.1768636468292,1.0609062424354307,22.65305410424689,58.66735728779343,0.9880149899188196,1.2871258357379336,0.5035144037625493,0.4496276541028871,0.0584422788586891,0.0538867496596621,0.004555529199027,,,,,,,,,,,18436.61559116361,0.0,0.0,0.0,1539,4250,1539,0,2533.1999216626846,3799131.149794612,1.698158289391391e-08,0.0645152605450876,1499.5811340277562,0.9743867017724211
4,0,seedpair04_ref20260915_label20260914_noise00000_rep000_seed2026086700,20260915,20260914,fiducial,0.0,0.0,0,2026086700,265.0776852122761,combined_practical_basis,1539,1e-06,2.0,0.1343481939145365,0.1343481939145365,0.5428059769197381,2050,1e-06,2.0,2050,0.0001,2.0,False,False,0.1216269798644675,0.1216269798644675,32.473411199504085,266.9918404262783,0.1216269798644675,199.23941212629717,308.3150877785446,0.646220117094646,201.8684368081463,407.8514879292497,0.4949557443889099,409.6681828271844,1.0044543049411403,308.04238317209087,0.9991155002876486,20.567755188179262,60.43019898174637,0.9882884261801368,-1.9734848801645613,0.4836186048137924,0.4303009164942164,0.0646548278946935,0.053317688319576,0.0113371395751175,,,,,,,,,,,20367.473032881146,0.0,0.0,0.0,1539,4250,1539,0,2584.7631382153063,3966999.945656159,1.7004788157320866e-08,0.0674579936959863,1499.3006313380404,0.9742044388161406
0,1,seedpair00_ref20260805_label20260804_noise00500_rep000_seed2026082700,20260805,20260804,fiducial,0.05,13.36434139822044,0,2026082700,267.2868279644088,combined_practical_basis,1539,1e-06,2.0,8.647222539658294,0.1488263204037599,0.5055049806560299,1539,1e-06,2.0,1283,0.0001,2.0,False,False,0.1285615140163941,0.1193988690639425,32.51856626766256,272.352380911143,0.1193988690639425,206.7392523256136,301.82045425606793,0.6849742931942366,209.28109232383628,406.5358606510716,0.5147912215878577,409.4302303137693,1.0071195924956344,306.5666698653208,1.0157252947649007,23.289869146081465,61.97343029439685,0.9888159670299056,1.745236471543369,0.5147912215878577,0.4561407041332219,0.0586505174546357,0.0586505174546357,0.0,-0.1087318505095183,2.004015847048386,0.3013333333333333,0.124,0.2533333333333333,0.404,0.1653333333333333,0.4786666666666667,0.6986666666666667,0.3186666666666666,15942.46797866956,16.285713208840136,9.277172369052078,23.027091709961944,1539,4250,1539,0,2250.3751596898683,3053163.439483409,1.7694940352933448e-08,0.054025544949416,1499.8329915494755,0.9745503518839996
0,2,seedpair00_ref20260805_label20260804_noise00500_rep001_seed2026082701,20260805,20260804,fiducial,0.05,13.36434139822044,1,2026082701,267.2868279644088,combined_practical_basis,1539,1e-06,2.0,8.294426213166515,0.146356005241099,0.4988567775678416,1539,1e-06,2.0,1283,0.0001,2.0,False,False,0.1280934585956872,0.1183435672560541,32.23115230770429,272.352380911143,0.118343567256054,206.2424732182772,301.82045425606793,0.6833283507130989,208.7457902288672,406.5358606510716,0.5134744814259645,404.760414070278,0.9956327430058686,301.20516460210007,0.9979614050496198,22.49524783689483,62.03738945599274,0.9889479481639246,1.4480676893462547,0.5134744814259645,0.4604300419829883,0.0530444394429761,0.0530444394429761,0.0,-0.1069526350720087,2.010833597753398,0.2986666666666667,0.1213333333333333,0.2826666666666667,0.4146666666666667,0.1737777777777777,0.4826666666666667,0.7013333333333334,0.328,15004.647655018873,16.285713208840136,9.277172369052078,23.027091709961944,1539,4250,1539,0,2250.3751596898683,3053163.439483409,1.7694940352933448e-08,0.054025544949416,1499.8329915494755,0.9745503518839996
0,3,seedpair00_ref20260805_label20260804_noise00500_rep002_seed2026082702,20260805,20260804,fiducial,0.05,13.36434139822044,2,2026082702,267.2868279644088,combined_practical_basis,1539,1e-06,2.0,7.863106268780739,0.1435179568841781,0.5049392326873853,1539,1e-06,2.0,1283,0.0001,2.0,False,False,0.1292879738505738,0.1218953024721269,33.198475850167696,272.352380911143,0.1218953024721269,206.27123872531772,301.82045425606793,0.6834236573983646,208.92573494917085,406.5358606510716,0.5139171108166792,408.5886233294457,1.0050494012387654,306.4555415205094,1.015357101213919,23.204622517186237,60.526392587724,0.9882671014346586,1.4311583811180633,0.5139171108166792,0.4571256486731043,0.0567914621435749,0.0567914621435749,0.0,-0.105516918301559,2.012580479931993,0.2946666666666667,0.1226666666666666,0.2506666666666666,0.416,0.1635555555555555,0.472,0.7053333333333334,0.3191111111111111,15656.947388875882,16.285713208840136,9.277172369052078,23.027091709961944,1539,4250,1539,0,2250.3751596898683,3053163.439483409,1.7694940352933448e-08,0.054025544949416,1499.8329915494755,0.9745503518839996
0,4,seedpair00_ref20260805_label20260804_noise00500_rep003_seed2026082703,20260805,20260804,fiducial,0.05,13.36434139822044,3,2026082703,267.2868279644088,combined_practical_basis,1539,1e-06,2.0,7.7586967509608,0.1413434522479148,0.509869577719169,1539,1e-06,2.0,1283,0.0001,2.0,False,False,0.1361092578206279,0.1271585218014538,34.63192616576741,272.352380911143,0.1271585218014537,208.6171167985925,301.82045425606793,0.6911960864706648,211.4721535600107,406.5358606510716,0.5201808106702708,407.6503430042864,1.0027414121633205,304.3257660762488,1.008300669437252,23.0323045851052,62.355024942172605,0.9872897721670576,1.6240569230055335,0.5201808106702708,0.4607723891355061,0.0594084215347646,0.0594084215347646,0.0,-0.1189366712643054,2.129803403396481,0.3346666666666666,0.136,0.2306666666666666,0.4,0.1622222222222222,0.4733333333333333,0.6653333333333333,0.3191111111111111,16290.140247466452,16.285713208840136,9.277172369052078,23.027091709961944,1539,4250,1539,0,2250.3751596898683,3053163.439483409,1.7694940352933448e-08,0.054025544949416,1499.8329915494755,0.9745503518839996
0,5,seedpair00_ref20260805_label20260804_noise00500_rep004_seed2026082704,20260805,20260804,fiducial,0.05,13.36434139822044,4,2026082704,267.2868279644088,combined_practical_basis,1539,1e-06,2.0,7.748981917769913,0.1408916751620436,0.4945546680599006,1539,1e-06,2.0,1539,0.0001,2.0,False,False,0.12731694620311,0.1202640713187205,32.754206161721044,272.352380911143,0.1202640713187205,204.1117442573465,301.82045425606793,0.6762687597182389,206.7231050585806,406.5358606510716,0.5084990650702038,410.3454273919279,1.0093708012246576,307.5693176394798,1.0190472955107757,21.80271826501729,62.570628287846425,0.9886583788960424,1.5917599497520625,0.5084990650702038,0.4568643906533762,0.0516346744168276,0.0516346744168276,0.0,-0.0674314373763847,1.9821760893845428,0.3013333333333333,0.12,0.2906666666666667,0.3986666666666666,0.1688888888888889,0.496,0.6986666666666667,0.3293333333333333,15278.898004918825,16.285713208840136,9.277172369052078,23.027091709961944,1539,4250,1539,0,2250.3751596898683,3053163.439483409,1.7694940352933448e-08,0.054025544949416,1499.8329915494755,0.9745503518839996
