run_key,seed_pair_index,seed_run_index,reference_seed,label_seed,scale,noise_fraction,noise_sigma,noise_realization,noise_seed,train_radial_rms,n_basis,n_affine_modes,n_diffusion_modes,regularization_strength,penalty_power,validation_selection_score,validation_observed_nrmse,validation_reduced_chi2,validation_latent_nrmse_radial,validation_hidden_nrmse_tangential,validation_hidden_nrmse_3d
seedpair00_ref20260805_label20260804_noise00000_rep000_seed2026082700,0,0,20260805,20260804,fiducial,0.0,0.0,0,2026082700,267.2868279644088,1283,3,1280,0.0001,2.0,0.1552728603059971,0.1552728603059971,,0.1552728603059972,0.5509113709039759,0.4378030398239676
seedpair00_ref20260805_label20260804_noise00500_rep000_seed2026082700,0,1,20260805,20260804,fiducial,0.05,13.36434139822044,0,2026082700,267.2868279644088,1283,3,1280,0.0001,2.0,10.880535412614035,0.1669423642853161,10.880535412614035,0.1573799863631443,0.5512627649213604,0.4383691047130204
seedpair00_ref20260805_label20260804_noise00500_rep001_seed2026082701,0,2,20260805,20260804,fiducial,0.05,13.36434139822044,1,2026082701,267.2868279644088,1283,3,1280,0.0001,2.0,10.416621007834811,0.1640139562890793,10.416621007834811,0.157792602052857,0.5516955745813984,0.4387548520482366
seedpair00_ref20260805_label20260804_noise00500_rep002_seed2026082702,0,3,20260805,20260804,fiducial,0.05,13.36434139822044,2,2026082702,267.2868279644088,1283,3,1280,0.0001,2.0,10.147088865904427,0.1630346451291125,10.147088865904427,0.1563629806432481,0.5489913540684456,0.4365099579435787
seedpair00_ref20260805_label20260804_noise00500_rep003_seed2026082703,0,4,20260805,20260804,fiducial,0.05,13.36434139822044,3,2026082703,267.2868279644088,1283,3,1280,0.0001,2.0,10.030881452156846,0.1607129431994872,10.030881452156846,0.1577139082186678,0.5568138431159481,0.442604294370037
seedpair00_ref20260805_label20260804_noise00500_rep004_seed2026082704,0,5,20260805,20260804,fiducial,0.05,13.36434139822044,4,2026082704,267.2868279644088,1539,3,1536,0.0001,2.0,9.340500214285829,0.154684955398508,9.340500214285829,0.1452741942453681,0.5545454742271323,0.4391787919666941
seedpair00_ref20260805_label20260804_noise00500_rep005_seed2026082705,0,6,20260805,20260804,fiducial,0.05,13.36434139822044,5,2026082705,267.2868279644088,1795,3,1792,0.0001,2.0,8.848281992492668,0.1507583041762872,8.848281992492668,0.1435544173492617,0.5544724493961927,0.438897050389366
seedpair00_ref20260805_label20260804_noise00500_rep006_seed2026082706,0,7,20260805,20260804,fiducial,0.05,13.36434139822044,6,2026082706,267.2868279644088,1283,3,1280,0.0001,2.0,10.571989593471995,0.1653833977382703,10.571989593471995,0.1559097347982598,0.5510516689115506,0.4379994850605137
seedpair00_ref20260805_label20260804_noise00500_rep007_seed2026082707,0,8,20260805,20260804,fiducial,0.05,13.36434139822044,7,2026082707,267.2868279644088,1283,3,1280,0.0001,2.0,10.363080216555554,0.1630844710121574,10.363080216555554,0.1552668263664156,0.5500357382272784,0.4371413880021847
seedpair00_ref20260805_label20260804_noise00500_rep008_seed2026082708,0,9,20260805,20260804,fiducial,0.05,13.36434139822044,8,2026082708,267.2868279644088,1283,3,1280,0.0001,2.0,10.59072562054256,0.1649190657204053,10.59072562054256,0.1574329341166544,0.554203451228202,0.4405947982069812
seedpair00_ref20260805_label20260804_noise00500_rep009_seed2026082709,0,10,20260805,20260804,fiducial,0.05,13.36434139822044,9,2026082709,267.2868279644088,1283,3,1280,0.0001,2.0,10.587423418751426,0.1649720791227064,10.587423418751426,0.1580899230959133,0.5565252862605864,0.4424403014013432
