replicate,label_seed,role,label,alpha,geometry_gamma,geometry_cap,geometry_ess,loss_gamma,loss_cap,loss_ess,elapsed_seconds,n_basis,selected_regularization,parent_validation_nrmse,unweighted_validation_nrmse,parent_n,parent_rmse_3d,parent_normalized_rmse,parent_rmse_x,parent_rmse_y,parent_rmse_z,parent_corr_x,parent_corr_y,parent_corr_z,parent_median_direction_error_deg,parent_p90_direction_error_deg,parent_median_abs_relative_speed_error,parent_mean_residual_x,parent_mean_residual_y,parent_mean_residual_z,parent_mean_residual_magnitude,parent_calibration_slope_x,parent_calibration_intercept_x,parent_calibration_slope_origin_x,parent_calibration_slope_y,parent_calibration_intercept_y,parent_calibration_slope_origin_y,parent_calibration_slope_z,parent_calibration_intercept_z,parent_calibration_slope_origin_z,parent_vector_gain_through_origin,unweighted_n,unweighted_rmse_3d,unweighted_normalized_rmse,unweighted_rmse_x,unweighted_rmse_y,unweighted_rmse_z,unweighted_corr_x,unweighted_corr_y,unweighted_corr_z,unweighted_median_direction_error_deg,unweighted_p90_direction_error_deg,unweighted_median_abs_relative_speed_error,unweighted_mean_residual_x,unweighted_mean_residual_y,unweighted_mean_residual_z,unweighted_mean_residual_magnitude,unweighted_calibration_slope_x,unweighted_calibration_intercept_x,unweighted_calibration_slope_origin_x,unweighted_calibration_slope_y,unweighted_calibration_intercept_y,unweighted_calibration_slope_origin_y,unweighted_calibration_slope_z,unweighted_calibration_intercept_z,unweighted_calibration_slope_origin_z,unweighted_vector_gain_through_origin,query_primary_n,query_primary_rmse_3d,query_primary_normalized_rmse,query_primary_rmse_x,query_primary_rmse_y,query_primary_rmse_z,query_primary_corr_x,query_primary_corr_y,query_primary_corr_z,query_primary_median_direction_error_deg,query_primary_p90_direction_error_deg,query_primary_median_abs_relative_speed_error,query_primary_mean_residual_x,query_primary_mean_residual_y,query_primary_mean_residual_z,query_primary_mean_residual_magnitude,query_primary_calibration_slope_x,query_primary_calibration_intercept_x,query_primary_calibration_slope_origin_x,query_primary_calibration_slope_y,query_primary_calibration_intercept_y,query_primary_calibration_slope_origin_y,query_primary_calibration_slope_z,query_primary_calibration_intercept_z,query_primary_calibration_slope_origin_z,query_primary_vector_gain_through_origin
1,20261202,primary_unweighted,Primary unweighted,0.0,0.0,1.0,9922.0,0.0,1.0,9922.0,5.069021200004499,2560,0.003,0.03286082029869805,0.02240831530006258,1489.0,14.497364383691488,0.034113900078907675,7.434807935593294,9.885019778322933,7.561983140455295,0.9989164025007228,0.9991858813673632,0.9991557741766774,0.568979315519329,2.3668638438321405,0.0062968448689668865,-0.05328662946554239,-0.25787730557413935,0.5015567805985184,0.5664798087966828,1.0024005554086513,-0.18095903473197694,1.0020580954240703,1.001125132388209,-0.48082464936342717,1.0001625621899146,0.9994727492734955,0.5757639572074709,1.0009870123291575,1.0007018266276764,1489.0,10.408547449837155,0.022855668374522232,5.257199306549744,7.06144902519284,5.552985965345815,0.9989720238895674,0.9994373827931166,0.999400074820688,0.32464254704509854,1.424135206930867,0.0031324996160372294,0.01985808468484161,-0.1305936884621022,0.39690396754432683,0.41830827680780475,1.0025076101508912,-0.1623527546696124,1.0018731714734637,1.0006947019723158,-0.3427344546049653,0.9999331571267815,0.9993018250840018,0.5090368202957336,1.0008934642720415,1.000344939358067,266.0,14.386160256455105,0.03422366008950625,7.131771651533611,9.539112530983434,8.068752825314755,0.9984214497367472,0.9990866071899237,0.9989420009530837,0.9811649729205152,3.137453344766396,0.009295603970629578,1.8119024620300976,4.439311599424812,0.14483195758579595,4.7970255684785075,0.9883312992495621,2.7034155526900463,0.998367639931724,0.9959614388226115,5.434553292103743,1.0093988649701642,1.001336210582196,-0.07001190305709315,1.0011368093615272,1.005474451046429
1,20261202,primary_loss_weighted,Primary loss weighted,0.0,0.0,1.0,9922.0,1.0,50.0,6033.731809484177,6.272973500017542,2560,0.01,0.03306644650324834,0.023482526642267236,1489.0,14.54017330054038,0.03421463418982732,7.3605225822699,10.003705548144778,7.560768627041794,0.9989356071828402,0.9991659621491912,0.9991552766646996,0.5864504173870775,2.4323213924572618,0.006648810681342694,-0.08565912112004714,-0.363521767043979,0.4880844954774982,0.6145828136804345,1.0018182857209943,-0.18236378814182785,1.0014731672793111,1.0008231463156032,-0.5266299368352634,0.9997688778137735,0.9987641753738216,0.6620189287224605,1.000505289581066,1.000252295349006,1489.0,10.814462363178688,0.023746998955693013,5.352248131690756,7.415352157675362,5.772225612281669,0.9989317336291276,0.9993794161992067,0.9993520211393839,0.4041381452427514,1.5646498505736905,0.0044196192380213835,-0.004518004942489906,-0.2830589573714404,0.432414480086513,0.5168414343929448,1.001876432911652,-0.14086552120332385,1.0013259615928916,1.0001672118160787,-0.33412033935206864,0.9994248072553382,0.9983126455915803,0.7034180052536385,1.000512069323019,0.9998645488151493,266.0,14.504337766599004,0.03450479604693271,7.257710311884907,9.532795794022062,8.174794151893057,0.9983508461857428,0.9990674842357947,0.9989122227753975,0.9794521093150633,3.1108318097662107,0.010584581475308276,1.78606453864032,4.231681444000966,0.14635858673047986,4.5954951001606235,0.9889090894157165,2.6334332547209556,0.9986856231350018,0.9950021665379376,5.463321133492258,1.008510723783725,1.0007746816901688,0.02180067100758265,1.0008367722807754,1.0049146769752888
2,20261212,primary_unweighted,Primary unweighted,0.0,0.0,1.0,9922.0,0.0,1.0,9922.0,5.284290399984457,2560,0.03,0.03456033454395153,0.02350932460756265,1489.0,13.979136905338176,0.03330897178019817,7.2281747332393325,9.133730441010995,7.729471319236337,0.998822833931639,0.9993021926371474,0.9991133718277482,0.6072307410072393,2.754711552417228,0.005794522776326612,0.0849163051051188,0.4299641486219273,0.24771925596100436,0.5034329923105537,0.9911599052705996,0.6414364125456302,0.9927266493990202,0.9946342023692701,1.4508760708291675,0.9975339495846831,0.9947189666005739,1.0260435398990637,0.9974603879824352,0.9968074466602048,1489.0,9.917595411778517,0.021896353242730072,5.037435926192938,6.485738202317228,5.560408079649723,0.9989293463289378,0.9995304828026218,0.9993888026766756,0.31673704875151704,1.6121528349605856,0.0030168752006808092,-0.01657961587174538,0.0984502694188277,0.03474545496145209,0.10570991368633638,0.9919224720986235,0.6100268839223304,0.9945987673231232,0.9958044160522413,1.3492784308422188,0.9988249208350104,0.9959532997475078,0.7257125868706282,0.9982357283455324,0.9983047406227298,266.0,14.037022255404873,0.03339308542195996,6.819172525457463,9.141959981350567,8.182997468297453,0.9985753880523968,0.999150968538042,0.9989060308129989,0.8924514018775068,2.9960816376282766,0.010347662548834357,1.414213917566585,4.092604408567987,0.19140873226055596,4.3342876176431515,0.9840815202032458,2.6304189969263803,0.9938468635903233,0.9939544896261677,5.582428064390797,1.0077575495663966,0.9973308625932645,0.6205684715189648,0.9990983064896038,1.0033708744236438
2,20261212,primary_loss_weighted,Primary loss weighted,0.0,0.0,1.0,9922.0,1.0,50.0,6033.731809484177,5.556699500011746,2560,0.03,0.03552048282665502,0.0249572790006737,1489.0,13.452743524468405,0.032054701048935874,6.727085925001686,8.468886707535203,8.000036326649047,0.9989668268687243,0.9993940628040291,0.9990437752125647,0.6218569033495841,2.5136613833413732,0.005562474292771216,0.0834958092691995,0.16728346174644115,0.2550632738660718,0.3162476567734065,0.9948971946337029,0.40473827076171887,0.9958857903804682,0.9968653430393353,0.7636922127669834,0.9983916721393377,0.997436595852492,0.632860486390797,0.9991274960937209,0.9982554248582786,1489.0,10.030745760501427,0.022146169846685545,4.876900462570725,6.341120763191748,6.051602255321582,0.9989846914931846,0.9995490486609957,0.999272742962876,0.43298040918676584,1.6290648580139455,0.004380101278922879,-0.04273890533445164,-0.19219496044589143,0.04669011592376756,0.20234990431171407,0.9949208678453401,0.3512699127447263,0.9964619507299904,0.9968106466214459,0.7586459885851582,0.9985089572032876,0.9968426177972327,0.5858077151686416,0.9986850335224581,0.9983791203014089,266.0,14.340199187883748,0.03411432195062164,7.118597156642109,9.311811331017552,8.261782919271218,0.9984217994213415,0.9990947274753555,0.9988851629712995,0.9520936953281778,3.044308978151542,0.009918674156638144,1.5146297897011862,3.94606139537512,0.23292415228022612,4.233173466400303,0.9855608449759603,2.6178113689799716,0.995279382961945,0.9940335044256476,5.4164130612175825,1.0074260772062849,0.9983241205604985,0.5023819859121943,0.9997549569877148,1.0035605441348066
3,20261222,primary_unweighted,Primary unweighted,0.0,0.0,1.0,9922.0,0.0,1.0,9922.0,5.165692000009585,2560,0.01,0.032366535803509275,0.022121203145491288,1489.0,12.150823516810668,0.028688145048834855,6.4873680643058265,7.811137770479997,6.674031350352253,0.9990540382311478,0.9994524252372785,0.9993412601095262,0.5460361235017658,2.127435965383955,0.005424444585933581,-0.023927902066301306,0.005347262064962608,0.039690555049604226,0.04665273699400238,0.9971873177680814,0.1259508655704522,0.9974548714002024,0.9967694354970208,0.6877453552756663,0.998220496877506,1.0004144839239462,-0.019583732788987618,1.0003628054677562,0.998760611373789,1489.0,8.783901439069355,0.019278362630454765,4.584873698913703,5.699812484928495,4.8629204489634885,0.9991208180687472,0.9996019873680508,0.9995420590342,0.3028017890288059,1.3652566133160828,0.0030338987651077737,0.03514858472143483,-0.0512426808388544,0.01898761977245685,0.06497511102026661,0.997823884289473,0.19205603196770937,0.9986310087780638,0.9977512404404336,0.6488979611626746,0.9992190086510346,1.0000070286298697,0.017832708569443412,1.0000625236026988,0.9993849494393123,266.0,14.189273031132405,0.03375527927382705,6.948250984443017,9.476242235001259,7.953496747518438,0.9985020577429006,0.9990916076641272,0.9989681845791615,0.905881225077923,3.054843993050803,0.009772753911096775,1.5911893653141098,4.299744291373573,0.15179546284612913,4.587235161840846,0.9865643720650104,2.6176993805641047,0.9962824942977111,0.9942483817723133,5.717142718470683,1.0083845359187988,0.9998937089815042,0.16888556306653868,1.0003747127245581,1.0044159917328899
3,20261222,primary_loss_weighted,Primary loss weighted,0.0,0.0,1.0,9922.0,1.0,50.0,6033.731809484177,5.809830900048837,2560,0.03,0.03295765995753296,0.02319241216083393,1489.0,12.198240819751454,0.028800097499029512,6.488789228154882,7.827975879536437,6.739101355420281,0.9990566131866135,0.9994529784564206,0.9993268368674146,0.5619757390775969,2.0992115520520374,0.005752883376799772,0.02961408989826457,-0.07134346803960087,0.05406356328090498,0.09428549001330196,0.9955067104922526,0.26904700073832544,0.9960782389365612,0.9956946136792345,0.8380912184111651,0.9974628870540113,0.9986935687622213,0.24089295944219202,0.9993292482001075,0.9978330817353426,1489.0,9.19998319265452,0.02019155308291733,4.695713611784627,5.947901638665915,5.216553509548386,0.9990799801840275,0.9995711723329166,0.9994736124318927,0.3873832866611658,1.4406219043238098,0.004216870909297336,0.04867235598781774,-0.34578504536550686,0.0625428556763753,0.3547504822152979,0.9960416265896828,0.33408836767131334,0.997445648635427,0.996208083237226,0.8348102856963919,0.9980963739586709,0.9975208533587856,0.4699045012606575,0.9989831851985195,0.9982681426112094,266.0,14.19210561637084,0.033762017794227675,7.061535219290389,9.311444846521978,8.052799329619823,0.9984452488870785,0.99910777127708,0.9989407624215043,0.909171145040951,3.1526938128063353,0.009590302947297897,1.5786356107233162,4.011863036782988,0.2093066320790615,4.3163578030072625,0.9866001769076115,2.602410061271584,0.9962615380489342,0.9927668249078316,5.79436851484229,1.0070939268433354,0.9984388657227933,0.46031505812067053,0.9997498911409507,1.0034859677365904
4,20270102,primary_unweighted,Primary unweighted,0.0,0.0,1.0,9922.0,0.0,1.0,9922.0,6.444836299982853,2560,0.003,0.037845529440798685,0.024797492421297137,1489.0,11.807032933281786,0.02855356265964955,6.357226995798379,7.572321195675381,6.4538084354138,0.9989805913117543,0.9994962538553358,0.9993531254033214,0.5985278142482803,2.3886792912929855,0.005939521111490238,0.38729892163426194,-0.03568253420340235,-0.29507829594912854,0.4882057954249219,0.998022142336389,0.512012886757482,0.9993823791204554,0.9996231178292005,0.035678017562077,0.9996959483395094,0.9994098365895703,-0.20680906226263573,0.9988422344011212,0.999380330426453,1489.0,8.660134975748843,0.01927120933271189,4.5477928958470315,5.58879972135776,4.804251788699584,0.9990287138695856,0.9996394308142618,0.9995349168339461,0.31663557873932613,1.422411497401181,0.003204864107795201,0.18765557331031446,-0.11101751019754871,-0.17326374061782673,0.2784956473228391,0.9984265776619636,0.3101066809646227,0.9998725993405146,0.9996517846220465,-0.007099814066009458,0.9996357762701396,0.9992338387780298,-0.04480341656142173,0.9990918304008213,0.9995128633893459,266.0,14.377393277102385,0.03420280406426876,7.119548598138133,9.26420593524637,8.378302548402282,0.9984391840828246,0.9991236275761216,0.9988572705801568,1.0000130015593847,3.2298465501740967,0.009832992106120403,1.675329375937181,4.181643210675574,0.25159292491213864,4.511780963115678,0.9855573587177043,2.778777312622779,0.9958734774370754,0.9964688348118786,5.0518449148447075,1.0089599797695974,1.00047819401808,0.17470605517058857,1.000975775131263,1.0048849624752958
4,20270102,primary_loss_weighted,Primary loss weighted,0.0,0.0,1.0,9922.0,1.0,50.0,6033.731809484177,5.9530840999796055,2560,0.01,0.03813914201733878,0.025727752277613435,1489.0,11.840914407716651,0.028635499993842142,6.433367007718859,7.539286413832223,6.479058830190622,0.9989563369596706,0.9995004451289865,0.9993481890525125,0.6171527025525819,2.2522348824761234,0.006406844365465622,0.40593667348090573,-0.023826720152345292,-0.3315881312380359,0.5246932287040634,0.9976231005844497,0.5558122465649262,0.9990996967451443,0.9991263980678754,0.1415849674516494,0.9994154193234316,0.9989826040484852,-0.1794188177752858,0.9984901763351925,0.9990767051636499,1489.0,9.185194072134447,0.020439611879187972,4.815877175980314,5.959980565714752,5.06495299336017,0.9989104265787099,0.9995903186426408,0.9994831568054545,0.40508025128480474,1.4747210287984602,0.004590630643969583,0.18404653791967335,-0.2252056143271806,-0.18992996885950975,0.34736737025183423,0.9979096883156141,0.3467243993609941,0.9995264577331548,0.9989051940341199,0.10151664117461223,0.9991340893405657,0.9986251608743895,0.0405858475729417,0.9987538012950046,0.9990669014679305,266.0,14.542006681540773,0.03459440773746905,7.2273030742879145,9.286146357533937,8.544210579382057,0.9983749770788037,0.9990990572118573,0.9988104981579852,1.0174635497292133,3.189952096992408,0.009755958018933598,1.6372775759280938,3.985233014014673,0.2836913556185868,4.317781933108962,0.9861010869863688,2.699183538091958,0.9961217164545313,0.9958086536871036,5.018126268772278,1.0082164262327693,0.9999428298837075,0.2928835059138635,1.0007769927337777,1.004430968918697
5,20270112,primary_unweighted,Primary unweighted,0.0,0.0,1.0,9922.0,0.0,1.0,9922.0,5.457429100002628,2560,0.01,0.031929536067487635,0.021605820100242312,1489.0,14.204746547613851,0.033738667198767815,7.375811337160995,8.025002935577776,9.108872569342656,0.9986858462687371,0.9994294994806875,0.9988015028313258,0.6049451534476121,2.5607419372023057,0.00597280127313843,-0.09605474829701657,-0.524011031440493,0.15690435883058054,0.555367494152987,0.9925584972486603,0.39755697542210555,0.9936164153114246,0.9970566989145836,0.05153558378015077,0.9971635705060727,0.9943291810790292,1.0274628696784305,0.9970469278464251,0.9966265630104714,1489.0,10.27252115087753,0.022603305233997433,5.1986124646039755,5.954591378479672,6.560637221598673,0.9988039606782896,0.9995892566603772,0.9991753500152968,0.30882563822869674,1.5012461083981976,0.003253139603284754,-0.06342783547846574,-0.2718766300366706,0.031789590833148224,0.2809814413069286,0.9933373829818121,0.4567253736447867,0.995397016413842,0.99866400349233,0.1316414288860983,0.9989600763806831,0.9963316542770518,0.6553600246668907,0.998359432715514,0.9985016600460526,266.0,14.33535068046649,0.03410278769361131,6.951719670747061,9.429409316767789,8.26208888164199,0.9985311341164084,0.9990968941093216,0.9988846421190534,0.9314910642970915,3.175071523739787,0.009409399632515775,1.6822344342234679,4.249108071297301,0.04227573018760961,4.570188106699101,0.9848152571873299,2.842380476643129,0.9953675005461176,0.9943955679451483,5.630234715113943,1.0083168341672786,0.99883945845888,0.22887448075351813,0.9994913169122197,1.0039890029003165
5,20270112,primary_loss_weighted,Primary loss weighted,0.0,0.0,1.0,9922.0,1.0,50.0,6033.731809484177,6.153921500022989,2560,0.03,0.032404285108440074,0.02283722622909831,1489.0,14.344992285139783,0.03407177446320035,7.589925431439875,7.923383085885133,9.240770318550908,0.9986176847618724,0.9994467245244435,0.9987742637378206,0.6242051627582345,2.5387819218607497,0.006208980065764322,-0.1598464108475569,-0.5513368223784504,0.09359810620213938,0.5816216745065815,0.9907336593932317,0.45481093892659885,0.9919439329821238,0.9960232454058743,0.22629603942866083,0.9964925253888961,0.9923589192905939,1.2666223089410948,0.9957092677919598,0.9955964317298233,1489.0,10.629523723821192,0.02338884152124846,5.4375744623902955,6.048830550440004,6.843333071924976,0.9986999925250178,0.999579542442785,0.999108732205644,0.40723635734866265,1.5067922969648577,0.004602200576191005,-0.13270314860232982,-0.48562419162100695,-0.0626169905543246,0.5073084551262761,0.9914102892090232,0.5378990518799185,0.9938359807388544,0.9973294665783171,0.32097107746790243,0.9980513581195125,0.9941778320224901,0.9270748448899155,0.9970463353039711,0.9974307047074407,266.0,14.518533234328679,0.03453856606295724,7.062023846637524,9.491583705894197,8.415786666725406,0.9984681179407645,0.9990667313674272,0.9988421418564687,0.9456209156367873,3.146697464759782,0.010192066212028944,1.6267407063126893,4.04653126796026,0.02593517430357814,4.361349935675987,0.9850426768424535,2.769511412441503,0.9953243962143572,0.9928892740930985,5.798861015342396,1.0072274841437394,0.9974781774770914,0.4314087530171662,0.9987068747157398,1.0031189213224514
