family,role,n_replicates,parent_validation_nrmse_mean,parent_validation_nrmse_std,unweighted_validation_nrmse_mean,unweighted_validation_nrmse_std,parent_normalized_rmse_mean,parent_normalized_rmse_std,unweighted_normalized_rmse_mean,unweighted_normalized_rmse_std,query_primary_normalized_rmse_mean,query_primary_normalized_rmse_std,parent_median_direction_error_deg_mean,parent_median_direction_error_deg_std,query_primary_median_direction_error_deg_mean,query_primary_median_direction_error_deg_std,parent_vector_gain_through_origin_mean,parent_vector_gain_through_origin_std,query_primary_vector_gain_through_origin_mean,query_primary_vector_gain_through_origin_std
geometry,primary_unweighted,10,0.03660706446412593,0.004857257337098855,0.024479352478622977,0.0027968295640925472,0.031264669359044026,0.0022241805126646686,0.021047221383048226,0.0014198556114662793,0.03390569196571423,0.0003410225917480086,0.5696976417299686,0.031647648469926896,0.939911950785595,0.036811926803452744,0.9985522669036294,0.0012385982875194796,1.0044826774816977,0.0005667335824938732
geometry,primary_loss_weighted,10,0.03693986330844194,0.004597445494405746,0.025451563929400206,0.00255715755660839,0.03120639749955726,0.0021849277262195096,0.021835292126837248,0.0013383720198182063,0.03411866843371872,0.00038004763618924685,0.5944196776246213,0.029691691065344708,0.9517383056555501,0.039452414592089834,0.9979792416543809,0.0012381665009135302,1.0038178348032498,0.0005372982383224976
geometry,legacy_geometry_only,10,0.03703543245268241,0.0042735617241323,0.024606538250239056,0.0025084218734009144,0.0321338721347379,0.0023422695244830847,0.02142707766759841,0.0014218250031609698,0.03507836340828206,0.00046714419693946345,0.5843734424017005,0.03801335384385497,0.9443959397055727,0.017016176027324064,0.9984768662507856,0.0013775922771914705,1.0037871374561906,0.0005383337778109909
geometry,legacy_geometry_plus_loss,10,0.03737391415866044,0.004212386541944959,0.02569881114895119,0.0023563557463092723,0.032198676087640175,0.0020254884912763098,0.022293391797296898,0.0012306714749628672,0.03557337696927039,0.0005728253026983779,0.6083779413173052,0.036791494219820114,0.9840692337248355,0.030482096785906257,0.9983806005947546,0.0014927485171392983,1.00331154253962,0.0006004601662266797
geometry,full_inverse_geometry_only,10,0.036962544608933966,0.004638650611837217,0.025632572533753534,0.002587247854383886,0.03198844945534838,0.002058984299443097,0.022202546508380463,0.001343817656554776,0.03792917099234705,0.00036977229376214003,0.6261377238914443,0.03539240024472526,1.1037983570587384,0.049325753582280876,0.9986585052479257,0.0009659288979530902,1.0054224733945045,0.0004270027482995651
geometry,full_inverse_joint,10,0.03774609875815359,0.004391870833848613,0.029156545210518026,0.002210007974949487,0.032573221517240014,0.002233622069540367,0.02485239931749545,0.00123130964159703,0.03934021119136796,0.0006573099458621163,0.6471284254057265,0.03477715100814287,1.1346325193864308,0.04860302664811828,0.9982286987009283,0.0013496366095580006,1.005359490763164,0.0006359255908688973
local,local_unweighted,10,0.08497064895043076,0.007387917536687311,0.05774232647614249,0.003963622869040645,0.07717865756537272,0.0034619588752682205,0.05248297237536603,0.0021023067524002393,0.05475859775912092,0.0013913462798046477,1.5702834784460946,0.10398425527004912,1.2919447705334446,0.04204457632636439,0.9918616690919866,0.0021867431962501304,0.9951358933409855,0.0010588755258724607
local,local_full_inverse,10,0.0848408907805284,0.007408538923291184,0.05763369700037611,0.003990195096608762,0.07714763605504904,0.003407464920664244,0.05245961145427287,0.0020283558105038298,0.05469935773612596,0.0014151084931964845,1.5680088332753273,0.10624175601827726,1.2979354100999239,0.056035347813412725,0.9913443475473104,0.002287624508857622,0.9942484170328413,0.0012544186086100523
local,local_selection_optimized,10,0.08256054310888453,0.007143353135088491,0.056184756854838966,0.0038499924205940873,0.07449049181128878,0.004045175860236029,0.05078602247767433,0.002536873256564137,0.053946175512736415,0.0009356999126014569,1.55896110565201,0.13442747518369583,1.2930097716167437,0.06261190042900973,0.9910852934374608,0.0015775461858016848,0.9937030548718582,0.0008820027614593616
