role,source_gamma,source_cap,source_ess,n_neighbors,bandwidth_neighbor,bandwidth_multiplier,parent_validation_nrmse,unweighted_validation_nrmse,parent_n,parent_rmse_3d,parent_normalized_rmse,parent_rmse_x,parent_rmse_y,parent_rmse_z,parent_corr_x,parent_corr_y,parent_corr_z,parent_median_direction_error_deg,parent_p90_direction_error_deg,parent_median_abs_relative_speed_error,parent_mean_residual_x,parent_mean_residual_y,parent_mean_residual_z,parent_mean_residual_magnitude,parent_calibration_slope_x,parent_calibration_intercept_x,parent_calibration_slope_origin_x,parent_calibration_slope_y,parent_calibration_intercept_y,parent_calibration_slope_origin_y,parent_calibration_slope_z,parent_calibration_intercept_z,parent_calibration_slope_origin_z,parent_vector_gain_through_origin,unweighted_n,unweighted_rmse_3d,unweighted_normalized_rmse,unweighted_rmse_x,unweighted_rmse_y,unweighted_rmse_z,unweighted_corr_x,unweighted_corr_y,unweighted_corr_z,unweighted_median_direction_error_deg,unweighted_p90_direction_error_deg,unweighted_median_abs_relative_speed_error,unweighted_mean_residual_x,unweighted_mean_residual_y,unweighted_mean_residual_z,unweighted_mean_residual_magnitude,unweighted_calibration_slope_x,unweighted_calibration_intercept_x,unweighted_calibration_slope_origin_x,unweighted_calibration_slope_y,unweighted_calibration_intercept_y,unweighted_calibration_slope_origin_y,unweighted_calibration_slope_z,unweighted_calibration_intercept_z,unweighted_calibration_slope_origin_z,unweighted_vector_gain_through_origin,query_primary_n,query_primary_rmse_3d,query_primary_normalized_rmse,query_primary_rmse_x,query_primary_rmse_y,query_primary_rmse_z,query_primary_corr_x,query_primary_corr_y,query_primary_corr_z,query_primary_median_direction_error_deg,query_primary_p90_direction_error_deg,query_primary_median_abs_relative_speed_error,query_primary_mean_residual_x,query_primary_mean_residual_y,query_primary_mean_residual_z,query_primary_mean_residual_magnitude,query_primary_calibration_slope_x,query_primary_calibration_intercept_x,query_primary_calibration_slope_origin_x,query_primary_calibration_slope_y,query_primary_calibration_intercept_y,query_primary_calibration_slope_origin_y,query_primary_calibration_slope_z,query_primary_calibration_intercept_z,query_primary_calibration_slope_origin_z,query_primary_vector_gain_through_origin,replicate,label_seed,elapsed_seconds
local_unweighted,0.0,1.0,9922.0,16,6,0.5,0.07807998862423514,0.05388254750965045,1489.0,34.89625587332572,0.08211474544502709,19.553149589826504,20.68710872375992,20.18580064663836,0.9928278924671489,0.9964882046702036,0.9940147615488086,1.5210574283477758,7.675855764948049,0.014104244823092091,1.59606295177325,2.995113318186077,0.8717841319073366,3.5040160255689727,0.9588218403237115,3.7861039195303476,0.9659869376167228,0.9907761404343621,4.822840447184291,1.0004310582754794,0.9766571372859487,4.157143163017338,0.9875904515895849,0.9912662836414565,1489.0,25.160547246562103,0.055248931396082446,13.771137137812666,15.048946702145054,14.728819465050083,0.9931907786536186,0.9974800421769382,0.9957891822550311,0.7972053210442133,4.90241326297973,0.006582671867908272,0.8113110081490217,1.714733083689553,0.49010827841239557,1.9592705848890877,0.9616605381060682,3.597176877135368,0.9757175101916196,0.9898995512464369,4.799101665262469,1.0005629995437126,0.9832296031108854,3.1835772098492896,0.9931839051246423,0.996507777090821,266.0,22.858013109293026,0.05437760020940329,9.958661230344724,13.623051713034435,15.418375135786208,0.9966359240135704,0.9976159255569388,0.9961481167551237,1.2743541129246112,4.8121283656135665,0.010744387247967535,0.048605232258440906,0.38627333724985197,-0.6356324097480416,0.7453845450471435,0.990114563351826,0.8038732237189095,0.9930989160646316,0.9948999901753779,1.6430928300322591,0.9989626862923175,0.9841994483177634,1.9048739811839823,0.9896247285984365,0.9952963759561568,1,20261202,2.9766638000146486
local_full_inverse,1.0,50.0,6033.731809484177,16,6,0.5,0.07787157484217974,0.05368845115477822,1489.0,34.866841922986545,0.08204553117019481,19.543842253221555,20.622241197301218,20.210345461274454,0.9927962381461615,0.9964824473265087,0.9939929958926531,1.496545449688701,7.675855764948103,0.014088811802136138,1.5230017813543957,2.369860294250301,0.8185474304768213,2.9335630445267395,0.9600411950799541,3.6481919424850204,0.9669452977583421,0.9908040148351692,4.19206405223477,0.9991961717916901,0.9771091576449192,4.0402874793402646,0.987735140719462,0.9907814821747437,1489.0,25.091151336333436,0.055096547990196226,13.741826406846581,14.966172928155997,14.722151686197622,0.993169771779684,0.9974850523639309,0.995785459886816,0.7854104130025032,4.892169719920754,0.006463710852591352,0.7496666705387293,1.1298754731160812,0.4605167140195354,1.432024561785608,0.9635909263288277,3.3952644606835776,0.9768588693233079,0.9908370448254277,3.927962146724724,0.9995648493577712,0.9840971881042331,3.0146440878049248,0.9935232757207536,0.9960327216626653,266.0,22.919411860443766,0.0545236635057829,10.02187208293998,13.61000086529163,15.479967584869156,0.9965883772510751,0.9976207119811827,0.9961183435721763,1.3113283756645393,4.687017660184952,0.010803700661891211,-0.11488207514233317,-0.4122980982802279,-0.7694356311770605,0.8804651063837468,0.9926697566008281,0.4451638192422678,0.9943224125326334,0.9952991995665871,0.7461423399852265,0.9971441042073571,0.9843429013827619,1.7480055253405453,0.9893214038983158,0.9943162052822002,1,20261202,2.9766638000146486
local_selection_optimized,0.5,50.0,4508.238858911287,16,6,0.5,0.07478722451174158,0.0519376022484573,1489.0,33.887762069395166,0.07974164810492118,18.723544971314162,20.111655521914447,19.83256397813864,0.9932162999651213,0.9966395932915219,0.9942039226373162,1.5122557405830652,7.5483151848082874,0.013758558654285677,0.957784846072337,1.948402011491571,0.37798527482200606,2.20374569261802,0.9689120824235106,2.611181054887666,0.973853670585269,0.9928848452916952,3.3582848479383642,0.9996078469437285,0.9781703086688542,3.4503750857749083,0.9872448182055508,0.9919368379466156,1489.0,24.489684363712488,0.05377581330260374,13.219665453648252,14.659021021166955,14.49476416603139,0.9935541757733033,0.9975821967667894,0.9959111506292332,0.7974269604393094,4.819861313438207,0.00649668307573037,0.5054868253632077,1.086081542593216,0.26251106934081914,1.2263776373140103,0.9712479981634123,2.59469769648031,0.9813875032074106,0.9924802101652627,3.382395703695522,0.9999957837502853,0.9846076776803421,2.7346494584788275,0.9931582875186202,0.9966339204174248,266.0,23.03134030610637,0.05478993337977411,10.116121042747258,13.739705866751216,15.4702040723233,0.9965258635812997,0.9975779100060107,0.9961292967022616,1.274312108903917,4.708683992922756,0.010929079536288468,-0.2580213250927195,-0.5076961638970857,-0.9039169920320135,1.0683615153695039,0.9939522955307496,0.20403591830491052,0.9947097721182717,0.9970165638948131,0.22752607712038753,0.9975791427662706,0.984081583012866,1.6555404815193242,0.9887967354150528,0.9944390754136195,1,20261202,2.9766638000146486
local_unweighted,0.0,1.0,9922.0,16,6,0.5,0.07387536413537202,0.05180381038031825,1489.0,34.054771021049305,0.08114445223639512,18.13799184417735,22.95902711938657,17.4248028651095,0.9925973197496455,0.9956854701983193,0.9954600723972437,1.7476000558907707,7.5547487664501904,0.01517156157789416,1.1818385747698528,3.901298733060467,0.49051682667492774,4.105786280195852,0.9689644704092851,3.1356520565253163,0.9766234750311688,0.9832897167062448,7.080644771076095,0.9974412216976554,0.9873128241240565,2.3603662163631896,0.9936193385778171,0.9931979701950564,1489.0,24.603704950180028,0.054320769531415874,12.686726596133854,16.445954954410805,13.187866817190438,0.9932070430592818,0.9970275250647562,0.996543480876088,0.7845927349749796,4.715375698573047,0.006598423392742386,0.5474159452906777,2.0209999599186723,0.09037153232533376,2.0957748135247236,0.9712881641765928,2.7747091428668114,0.9834613011712829,0.9852720695353273,6.411833372878959,0.99962564766005,0.9888862397406496,1.9880270471859376,0.9951387560511493,0.997045016991281,266.0,23.254275032987437,0.05532027936361654,10.647777835383406,13.646641546786707,15.529176055787877,0.9961856093988622,0.9976141806276406,0.9961109539775619,1.2962765575230002,4.765652704730928,0.011806380014799493,0.2631387419471067,0.6447450787087438,-0.7279918795754621,1.007427610680025,0.983968933139397,1.4879457079613871,0.9894928822883918,0.9927280369582997,2.4368092542476916,0.9987532689561539,0.9822655440461301,2.123459107491044,0.9883133776227776,0.994339307156006,2,20261212,2.4403106999816373
local_full_inverse,1.0,50.0,6033.731809484177,16,6,0.5,0.07366943844724778,0.05159833630872006,1489.0,34.008213938760804,0.08103351773803392,18.12785130941066,22.91473721701911,17.40271359539604,0.9925824125500278,0.9956618924533103,0.9954688888235274,1.763237083554535,7.5715729629815005,0.014788825221452475,1.1061667174596876,3.232798861459782,0.4463182961901667,3.44583709814978,0.970145198019469,2.9856485685492444,0.977437810775483,0.9832768529484333,6.414592394632308,0.9960971735866491,0.9879607460161428,2.2206762726333125,0.993894031670461,0.9926767207394404,1489.0,24.56996248976482,0.05424627195394334,12.673207032367168,16.42889183541405,13.159194250541132,0.9931898383404602,0.9970022284849567,0.9965549555239575,0.8038743994278919,4.69602194115193,0.006811254396037408,0.49225723030057367,1.412994054352009,0.10831358527789414,1.5002003903389278,0.9732987094725116,2.563584299881228,0.9845456046507386,0.9861765052274044,5.5341883305597435,0.998565380598935,0.9898858764314745,1.8352828485968473,0.9956579990801454,0.9965875934354018,266.0,23.239000682223203,0.05528394276098427,10.68375778358709,13.459707383202314,15.644320039189367,0.9961356186273519,0.9976738374449826,0.9960548426717454,1.3524341033437666,4.735451794119993,0.012068089063205063,0.08266916218358128,-0.2543521206772605,-0.8852811267319501,0.9247982834201987,0.9870073363643719,1.075335780467455,0.9909994848262504,0.9933036167926445,1.3958691995863148,0.9967550300501679,0.9822935552354536,1.9616660552190694,0.9878805852814153,0.9932494114881416,2,20261212,2.4403106999816373
local_selection_optimized,0.5,50.0,4508.238858911287,32,12,0.5,0.07285342359325027,0.05106825774706662,1489.0,33.31841441711605,0.07938988888197163,17.816237038632945,22.37218892065056,17.09337883370784,0.9929452732958544,0.9958682264384012,0.995704811863003,1.8521866598498853,7.654386440008527,0.01643403569499274,0.9004598337744799,2.943686550608994,0.38256578349830833,3.1020114440764264,0.9647250179480219,3.121164181685998,0.9723486351294766,0.9822877272378893,6.313673955401413,0.9949063504540944,0.9787820315230804,3.509692402923605,0.9881593585301558,0.9894924004777931,1489.0,24.059083791135574,0.05311833922580575,12.468315381006493,16.030351892088795,12.899939637240363,0.9935152812529643,0.9971592192991545,0.9967356235724624,0.8672631445938418,4.511668381360888,0.0070686376115041425,0.3706865740242282,1.426543102802432,0.06350866034876562,1.475285433485434,0.9674869556093468,2.892854889877981,0.9801784187743325,0.9853003901982791,5.808933285163278,0.9983043116792354,0.9834058598415464,2.8969296493938828,0.9925169531281519,0.9952104583776574,266.0,22.562769614069524,0.05367523676814849,9.920573723837617,13.291045367759144,15.297349531198202,0.9966830682446312,0.99773551825984,0.9963088801545814,1.3903692600564055,4.471612473184642,0.011752679557749203,-0.11589391448841357,-0.5908875093513524,-1.1708985973066288,1.3166559813776426,0.9861918501929978,0.9390775492603609,0.9896781444854046,0.993451922527164,1.0227861287615667,0.9959808540384152,0.9774055697681576,2.4619678720328295,0.9844175117022316,0.9915524366159539,2,20261212,2.4403106999816373
local_unweighted,0.0,1.0,9922.0,16,6,0.5,0.07987531237524774,0.05495088205369077,1489.0,31.465138416110374,0.07428932315691912,17.229070438799283,19.70671371866128,17.46022628062433,0.9938407651146502,0.9965188882356157,0.9955075961742103,1.516094262552359,6.68173765759724,0.014253775018845114,1.391202472669259,1.590610043265317,-0.6672708916169291,2.216017841195509,0.9566635369296131,3.7004628665442922,0.9645243187987022,0.9916009476725623,3.364757344065225,0.9987001878189685,0.9835074697026259,1.6912837628700856,0.9879705072035002,0.9906800017870988,1489.0,22.929979745291416,0.050325298809995034,12.189660866129476,14.469587881797203,12.95481245017364,0.9941780664188755,0.9974343311576698,0.9967564110778349,0.7301553438267189,4.349936864187651,0.006902529256194744,0.606283842815451,0.6487390355704841,-0.263058469603718,0.9260897325649617,0.9605383773849784,3.451639188014326,0.9750440530770307,0.9920674967184433,3.1184863754324965,0.9991213255806131,0.988516616764682,1.623836728060951,0.9935699587599214,0.9957195598633722,266.0,23.269114045967687,0.055355580328380366,10.083063463187218,13.965121574928776,15.64477162118541,0.9965660987762025,0.9974929567982831,0.9960307522606222,1.3524411865733057,4.98477619337767,0.011777549684782208,-0.055547581893626505,0.08126906454162387,-0.6676632550903243,0.6748810390754116,0.9868410789634979,0.9498214488068868,0.9903672596270534,0.9958909176790016,1.0938896154953568,0.9985956590131516,0.9843015488472844,1.8564268072867094,0.9895888465108419,0.9947597426758922,3,20261222,2.0262203000020236
local_full_inverse,1.0,50.0,6033.731809484177,16,6,0.5,0.07978451018059178,0.05485834751872602,1489.0,31.50137789857624,0.07437488472630882,17.214730939022004,19.759848029888136,17.47965257211117,0.993797971573134,0.9964855839113117,0.9954949711004191,1.4839173596788402,6.7501465222455845,0.01413243436942064,1.2954888107905906,0.9677204087521805,-0.708112220754944,1.7652753228835452,0.9581408477632495,3.5260280734090657,0.9656310830524464,0.9914922497870455,2.764828164216965,0.9973257102997164,0.9839361573479148,1.5891369079645585,0.9881296450227643,0.9901157703561605,1489.0,22.971692160455,0.05041684663430678,12.169951135450717,14.553399870703426,12.953357953784066,0.994132098307879,0.9973972193100948,0.9967531513600818,0.7303521320311817,4.372451601465346,0.006885320414804031,0.5298945654456269,0.06281728720629262,-0.28466952702395354,0.6047900476006604,0.9627485537235564,3.215886543350763,0.9762634678612409,0.9928351344289162,2.293564260333312,0.9980230390175765,0.9894297734921923,1.4521800779311604,0.99394892399892,0.995188536323016,266.0,23.320060071186973,0.05547677732736652,10.165621721967906,13.968842607929963,15.66386838952956,0.9964971337891988,0.9974979124657493,0.9960206295102669,1.2976228026555665,4.942706961093243,0.011957067879605805,-0.23962317759521956,-0.6772314592123618,-0.7688034997772446,1.0521979556421286,0.9895179238012073,0.5612293207575334,0.9916014690624366,0.9963247468686024,0.22847851690369225,0.9968896807338488,0.9846322373440013,1.7021165052364324,0.9894800431319348,0.993906480513224,3,20261222,2.0262203000020236
local_selection_optimized,0.5,50.0,4508.238858911287,16,6,0.5,0.07734349275876617,0.05338514055490886,1489.0,30.445546223617214,0.07188206173398465,16.318933904545542,19.45006304340387,16.80234295213324,0.9942798502942467,0.9965870622033862,0.9958557700020871,1.4812053270248413,6.536884405683597,0.013803228686980433,0.8676991044011794,0.2800475547160004,-1.0968198384993173,1.4263036586949809,0.9657023287264782,2.6953114258185877,0.9714278976489978,0.9942227952941081,1.5003771509067008,0.9973884136776311,0.9840127399051827,1.1894774142108702,0.9871515876979726,0.9906658751891328,1489.0,22.29601513072205,0.04893391255420394,11.595277745302226,14.331222317466123,12.541048265836723,0.994573186792899,0.9974744211266918,0.9969624560843358,0.7362931717946112,4.379088369681617,0.007011626516303836,0.3502257623433879,-0.10311613605923313,-0.4605848279883169,0.5877324271280435,0.9690648260692588,2.580786916840495,0.9799107042178133,0.9952492706895396,1.3760009421768586,0.9983617021680814,0.9892982555826251,1.2978751775677324,0.9933372128411011,0.9955589212012633,266.0,23.22651216627785,0.05525423346280344,10.133163575779804,13.940773966054278,15.57063533013749,0.9965194541959782,0.9975156659423977,0.9960764143742488,1.3076071939561222,4.862537800620489,0.011915365528103088,-0.4010852472353533,-0.8333678229963488,-0.9322987390912677,1.3132220843660398,0.9908153952484571,0.3006377246414047,0.9919315028418342,0.9983458247676276,-0.42572161288782695,0.9972931894496688,0.9842967755416885,1.592558803663394,0.9888325495396918,0.9939656486156768,3,20261222,2.0262203000020236
local_unweighted,0.0,1.0,9922.0,8,3,0.5,0.0852487331806717,0.05707589231854953,1489.0,30.401161254255424,0.07352071157120192,16.45805713030272,18.53755291523259,17.598923064150398,0.9932092056433732,0.9970401372779005,0.9951678900851021,1.5908872218895638,5.930233277983729,0.014544389004441749,0.48802866811032564,2.07368109162933,0.04051136453431852,2.130719695627508,0.973857834994247,2.136424867066644,0.9795335587225735,0.9868716880406581,4.559454252988019,0.9961790263588923,0.9907264299164994,1.4275355519748132,0.9946444028260262,0.9933793372516962,1489.0,22.588143713562207,0.0502649031637982,11.732453583289287,14.101575081664127,13.180263637601909,0.9935689646624706,0.9977258132518626,0.996490140138776,0.82971839783482,4.268980252344556,0.006891829280118652,0.2980306603795769,0.6654352717787688,0.11832679347342479,0.7386660987938144,0.9764662003660124,2.1295413506959022,0.9863962120281246,0.9891829319181861,3.893566092902347,0.9979619753704704,0.9921711583100775,1.4309689784792283,0.9967067405952087,0.9966773042939672,266.0,23.632603361494603,0.05622029576036498,11.233663420409322,13.513923039678954,15.801222480438604,0.9957397618685289,0.9976597680488675,0.9959205258065362,1.28440418556148,4.551261772057398,0.0129771517063396,0.03439501869635117,0.7391492301769556,-0.09852988000753359,0.7464802335203574,0.9839471758018051,1.2608642907116092,0.988628092711883,0.9964777877164916,1.6071446278052122,1.0004515986414755,0.9878249267912231,1.859050584207239,0.9931196972458044,0.99673208310496,4,20270102,3.082581199996639
