model_id,model_role,protocol,selector,loss_name,loss_label,subset,region_id,m_lim,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,n_octants,octant_nrmse_3d_mean,octant_nrmse_3d_std,worst_octant_nrmse_3d,n,nrmse_radial,nrmse_tangential,nrmse_3d,direction_error_median_deg,direction_error_p90_deg,vector_gain_through_origin,replicate,label_seed
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_parent_weighted,,,4354,4351,1e-06,2.0,0.0,8.0,0.19933797236486883,0.07487229352795303,0.31230760626976056,1503,0.06047844416157157,0.30944119605550047,0.24979715522875467,9.152879756986747,27.057608198466674,0.9535942241438679,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_global_parent_weighted,,,4354,4351,1e-06,2.0,0.0,8.0,0.19593347273442493,0.06692821200772327,0.29560537966400147,1503,0.06184698990279384,0.304548247472786,0.24997364810610395,8.974666035219848,26.83565880647011,0.953762741830125,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,,,4354,4351,1e-06,2.0,0.0,8.0,0.17436559950497849,0.06074254669446228,0.2686174519068176,1503,0.04856416713297086,0.2487525585048321,0.20423106462697063,6.788763042315473,21.654475910152293,0.9626983803540863,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_support,,,4354,4351,1e-06,2.0,0.0,8.0,0.2082799598323797,0.08649892806291921,0.3556947906001374,283,0.12397132067365291,0.3096473623172773,0.2618762766473725,9.4892960680897,31.208078276238673,0.9388785897912549,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_common_strict_support,,,4354,4351,1e-06,2.0,0.0,7.0,0.14799146266902502,0.07925171934576061,0.2807305803249048,32,0.10675138103173434,0.19334042574714216,0.16382444808144783,3.741111224150379,11.938622568303913,0.9789941759103878,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_near_octant_boundary,,,4354,4351,1e-06,2.0,0.0,8.0,0.19337589706556824,0.07255762523907817,0.2882127085944163,88,0.1084978949604739,0.2624221851391405,0.22145411929141837,8.646905763144488,17.49442518960952,0.9696003425981543,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_far_from_octant_boundary,,,4354,4351,1e-06,2.0,0.0,7.0,0.23023093585399138,0.09703994905595414,0.4026841564305215,118,0.10371175131534877,0.34779052611458494,0.2836089173096619,12.340538077696626,34.55261481131456,0.9202297094172254,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_0,0.0,10.95592439771875,4354,4351,1e-06,2.0,0.0,,,,,66,0.032637447071840756,0.15100374436980263,0.10870510152059468,6.302808337546155,8.852889590257698,0.9995165043145369,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_0,0.0,10.95592439771875,4354,4351,1e-06,2.0,0.0,,,,,8,0.08026413839465936,0.1766078549081742,0.13617233347350052,5.903777334140895,7.815120081956388,1.0028404300813,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_1,1.0,11.25592439771875,4354,4351,1e-06,2.0,0.0,,,,,76,0.06150177349190288,0.12006653323461386,0.09710945855705594,3.4808293116959192,7.576522045432065,0.9903898001062807,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_1,1.0,11.25592439771875,4354,4351,1e-06,2.0,0.0,,,,,7,0.03498472937595321,0.07746441937910341,0.06248620905688418,2.5982636347638755,3.4783979301786037,0.9882613616801588,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_2,2.0,11.55592439771875,4354,4351,1e-06,2.0,0.0,,,,,89,0.11698327717980851,0.19536742842667607,0.18130723590637715,8.239870186394988,13.307279615131616,0.9651350723559378,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_2,2.0,11.55592439771875,4354,4351,1e-06,2.0,0.0,,,,,12,0.15777847796680186,0.23951847522790815,0.22719304160146056,9.09683813423993,16.708300023873193,0.92575901725734,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_3,3.0,11.85592439771875,4354,4351,1e-06,2.0,0.0,,,,,118,0.07438733028146266,0.1691444948394853,0.15707426772952243,5.165158968901104,11.346478868997641,0.9272513128938932,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_3,3.0,11.85592439771875,4354,4351,1e-06,2.0,0.0,,,,,24,0.17400710791786597,0.16842442933856516,0.16926440401540105,5.0836102663068505,12.732889753432005,0.9350354317640197,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_4,4.0,12.15592439771875,4354,4351,1e-06,2.0,0.0,,,,,100,0.11802605766550765,0.2819158559256186,0.25634813705904885,8.652039509765485,15.970507710258971,0.9743081910599316,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_4,4.0,12.15592439771875,4354,4351,1e-06,2.0,0.0,,,,,18,0.12929724145981494,0.23132004769987863,0.2217000409161191,8.2441253883676,10.4470946574136,1.1060079356777481,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_5,5.0,12.45592439771875,4354,4351,1e-06,2.0,0.0,,,,,183,0.04552545544805729,0.24745003289266926,0.19297212584085718,7.479950661171266,18.350544303009283,0.9939996338891497,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_5,5.0,12.45592439771875,4354,4351,1e-06,2.0,0.0,,,,,37,0.07111952600880454,0.23296545649086647,0.1892774642149771,6.590900029900224,15.69524750817397,1.0179480008342845,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_6,6.0,12.75592439771875,4354,4351,1e-06,2.0,0.0,,,,,332,0.056447504980893605,0.3985755189372408,0.31230760626976056,12.487528112032559,30.86729834614759,0.8968253361141899,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_6,6.0,12.75592439771875,4354,4351,1e-06,2.0,0.0,,,,,73,0.20369276435566552,0.4012349820122487,0.3556947906001374,14.328871234755821,36.84209132262537,0.8812527261290406,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_octant_7,7.0,13.05592439771875,4354,4351,1e-06,2.0,0.0,,,,,539,0.054411811255739545,0.3738063938802844,0.2888798460357338,11.960196342959911,32.007887655135704,0.9565741622797275,1,20261203
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_region_primary_octant_7,7.0,13.05592439771875,4354,4351,1e-06,2.0,0.0,,,,,104,0.11615583265566982,0.38794468037663604,0.3044513947805578,14.552512226666275,33.71984218993353,0.8956513991187681,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_octant_parent_weighted,,,3586,3583,1e-06,2.0,0.0,8.0,0.1994588909360206,0.07677233988163834,0.31857305966681293,1503,0.06315621152580356,0.30990152912939817,0.2504004168055267,9.121561360694756,25.640537205661882,0.9526204205946353,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_global_parent_weighted,,,3586,3583,1e-06,2.0,0.0,8.0,0.19596976212600267,0.06891599862677862,0.30352877199278894,1503,0.06468485347942396,0.3055911709712615,0.25105537286687474,9.038656456874456,25.56222767449358,0.9514675024027196,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,,,3586,3583,1e-06,2.0,0.0,8.0,0.16957582965270118,0.0636017515928482,0.2744019989604435,1503,0.05027174441306412,0.24737121776701854,0.20325946424668834,6.56653643824316,21.513107618081733,0.9631550523727335,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_region_primary_support,,,3586,3583,1e-06,2.0,0.0,8.0,0.2113035992799478,0.08489520359647998,0.34483838831090546,283,0.1206555132464344,0.3033753895213118,0.2564431263981359,9.394951585324428,29.114915214154927,0.940164442046848,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_common_strict_support,,,3586,3583,1e-06,2.0,0.0,7.0,0.154820109723582,0.0744545292215051,0.2844508397139088,32,0.10271946198775986,0.1958977933330872,0.16458244920089096,3.7506544467406293,13.336793275546281,0.9762980851977778,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_region_primary_near_octant_boundary,,,3586,3583,1e-06,2.0,0.0,8.0,0.20105965715248045,0.07298340479918206,0.3065211082124338,88,0.10260818310529275,0.27169818767456283,0.2276938095461812,8.825187263208822,19.257680347710757,0.9658034024824059,1,20261203
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_region_primary_far_from_octant_boundary,,,3586,3583,1e-06,2.0,0.0,7.0,0.21429207690333898,0.08840939903724067,0.3578784439402158,118,0.10318924792101396,0.3220877062698748,0.26364356605067873,12.236837229871924,31.908790854823078,0.9256444579001019,1,20261203
