protocol,subset,comparison,n_seeds,delta_nrmse_radial_mean,delta_nrmse_radial_std,delta_nrmse_radial_median,delta_nrmse_radial_sem,delta_nrmse_radial_ci_low,delta_nrmse_radial_ci_high,delta_nrmse_radial_probability_mean_below_zero,delta_nrmse_radial_wins,delta_nrmse_radial_ties,delta_nrmse_radial_losses,delta_nrmse_radial_sign_test_pvalue_two_sided,delta_nrmse_tangential_mean,delta_nrmse_tangential_std,delta_nrmse_tangential_median,delta_nrmse_tangential_sem,delta_nrmse_tangential_ci_low,delta_nrmse_tangential_ci_high,delta_nrmse_tangential_probability_mean_below_zero,delta_nrmse_tangential_wins,delta_nrmse_tangential_ties,delta_nrmse_tangential_losses,delta_nrmse_tangential_sign_test_pvalue_two_sided,delta_nrmse_3d_mean,delta_nrmse_3d_std,delta_nrmse_3d_median,delta_nrmse_3d_sem,delta_nrmse_3d_ci_low,delta_nrmse_3d_ci_high,delta_nrmse_3d_probability_mean_below_zero,delta_nrmse_3d_wins,delta_nrmse_3d_ties,delta_nrmse_3d_losses,delta_nrmse_3d_sign_test_pvalue_two_sided,delta_direction_error_median_deg_mean,delta_direction_error_median_deg_std,delta_direction_error_median_deg_median,delta_direction_error_median_deg_sem,delta_direction_error_median_deg_ci_low,delta_direction_error_median_deg_ci_high,delta_direction_error_median_deg_probability_mean_below_zero,delta_direction_error_median_deg_wins,delta_direction_error_median_deg_ties,delta_direction_error_median_deg_losses,delta_direction_error_median_deg_sign_test_pvalue_two_sided,delta_octant_nrmse_3d_mean_mean,delta_octant_nrmse_3d_mean_std,delta_octant_nrmse_3d_mean_median,delta_octant_nrmse_3d_mean_sem,delta_octant_nrmse_3d_mean_ci_low,delta_octant_nrmse_3d_mean_ci_high,delta_octant_nrmse_3d_mean_probability_mean_below_zero,delta_octant_nrmse_3d_mean_wins,delta_octant_nrmse_3d_mean_ties,delta_octant_nrmse_3d_mean_losses,delta_octant_nrmse_3d_mean_sign_test_pvalue_two_sided,delta_octant_nrmse_3d_std_mean,delta_octant_nrmse_3d_std_std,delta_octant_nrmse_3d_std_median,delta_octant_nrmse_3d_std_sem,delta_octant_nrmse_3d_std_ci_low,delta_octant_nrmse_3d_std_ci_high,delta_octant_nrmse_3d_std_probability_mean_below_zero,delta_octant_nrmse_3d_std_wins,delta_octant_nrmse_3d_std_ties,delta_octant_nrmse_3d_std_losses,delta_octant_nrmse_3d_std_sign_test_pvalue_two_sided,delta_worst_octant_nrmse_3d_mean,delta_worst_octant_nrmse_3d_std,delta_worst_octant_nrmse_3d_median,delta_worst_octant_nrmse_3d_sem,delta_worst_octant_nrmse_3d_ci_low,delta_worst_octant_nrmse_3d_ci_high,delta_worst_octant_nrmse_3d_probability_mean_below_zero,delta_worst_octant_nrmse_3d_wins,delta_worst_octant_nrmse_3d_ties,delta_worst_octant_nrmse_3d_losses,delta_worst_octant_nrmse_3d_sign_test_pvalue_two_sided
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,10,0.0014062736133806833,0.00087544346095768,0.0014317246818668188,0.000276839529932696,0.0009095120720900166,0.001930625307676847,0.0,0,0,10,0.001953125,0.02178508607900966,0.007773908252339734,0.018452883759394217,0.0024583256398572548,0.018189146885364257,0.026932713781119434,0.0,0,0,10,0.001953125,0.017209691891740618,0.006146517127839578,0.014550835198812229,0.0019436993801209407,0.014402774470587066,0.021297108037435657,0.0,0,0,10,0.001953125,0.9595274948311723,0.32422099905072715,0.9698773991714358,0.10252768222555877,0.7818949334053032,1.1617122804266218,0.0,0,0,10,0.001953125,0.019941814143814792,0.006728872426329,0.018520733244826823,0.0021278562951903197,0.016585812881285723,0.024346726304171715,0.0,0,0,10,0.001953125,-0.005908525122159278,0.0034422109496005395,-0.005148361742945903,0.0010885226787508769,-0.00815072433807989,-0.004135539857501618,1.0,10,0,0,0.001953125,0.01635599768133355,0.006507945322123131,0.013670264932236442,0.0020579930105747283,0.012979557409418046,0.020593011702946622,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,10,0.0006834181183238086,0.0005295002433649407,0.0006731340540680475,0.00016744267906466722,0.0003876065841820465,0.001008614103578219,0.0,1,0,9,0.021484375,0.018271035511772966,0.005841368700449682,0.015953795421447647,0.0018472029746238827,0.015524759080612394,0.022126164632963533,0.0,0,0,10,0.001953125,0.014389588953963986,0.004616083672973365,0.01250568161487245,0.0014597338276511672,0.012234039205877253,0.01747781514236544,0.0,0,0,10,0.001953125,0.7180814783299538,0.24417847594872863,0.7284997192895677,0.07721601395866264,0.5754758169916998,0.8630855890691388,0.0,0,0,10,0.001953125,0.015418462244890083,0.0048683338935438195,0.014071070219138435,0.0015395023513794166,0.013077962779514247,0.018671640314512836,0.0,0,0,10,0.001953125,-0.004887186406886836,0.002491971082983891,-0.003998749808899138,0.0007880304485505561,-0.0064903042396108265,-0.0036180415207054772,1.0,10,0,0,0.001953125,0.010844150981280476,0.004931305408287685,0.008951607519001537,0.0015594156928095656,0.008196490451438943,0.013955973890728586,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,10,-0.0007228554950568747,0.0003768662616159566,-0.0007188469868902175,0.00011917557599793115,-0.000947100206080503,-0.0005019875707068235,1.0,10,0,0,0.001953125,-0.003514050567236693,0.0020352369756241467,-0.0029237545157727307,0.0006435984421164896,-0.004830832279644192,-0.0025207412573801046,1.0,10,0,0,0.001953125,-0.0028201029377766308,0.0016095120944706874,-0.002323263550660787,0.0005089724140115473,-0.0039016070524243917,-0.002040374184253037,1.0,10,0,0,0.001953125,-0.24144601650121836,0.12069313362802989,-0.24237711840856413,0.03816652002076359,-0.3203230743181943,-0.18060748627046708,1.0,10,0,0,0.001953125,-0.00452335189892471,0.0019745618281626926,-0.004327711020855496,0.0006244112757820117,-0.005743239789127674,-0.003431363708450147,1.0,10,0,0,0.001953125,0.001021338715272442,0.001424444837445683,0.000466365184429815,0.0004504490087596662,0.0002460144293555999,0.0018945619642566954,0.0027,4,0,6,0.75390625,-0.0055118467000530745,0.0020240637143074443,-0.004938880425637143,0.0006400651466511864,-0.006772164071727499,-0.004429709461942551,1.0,10,0,0,0.001953125
matched_raw_operational_structure,observed_test_global_parent_weighted,global_minus_unweighted,10,0.0015096797445698633,0.0008945059449990824,0.0014495439685268882,0.00028286761667584034,0.001016986202278064,0.002067474199496264,0.0,0,0,10,0.001953125,0.02622490508039243,0.008765606963697024,0.022915185783577013,0.0027719283079115473,0.02188487199463319,0.031929514247759694,0.0,0,0,10,0.001953125,0.02103255444063365,0.0070026692802679785,0.01839692252620781,0.002214438462653881,0.017529566657291027,0.02559108235173868,0.0,0,0,10,0.001953125,1.2229913208022898,0.470785386731705,1.151836973168404,0.14887541111954017,0.9714524512002823,1.5200023004426175,0.0,0,0,10,0.001953125,0.022717694114129956,0.007112662374122941,0.020914883690952332,0.002249221333000916,0.019189331618062033,0.0274443712105753,0.0,0,0,10,0.001953125,-0.005670361219094787,0.004398182203398472,-0.005405021744285844,0.0013908273327157127,-0.008465333451708105,-0.003323056695600609,1.0,10,0,0,0.001953125,0.019382782084203236,0.006986992203766739,0.016975916100240157,0.0022094809357742187,0.015837846766024018,0.023941875675580437,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_global_parent_weighted,octant_minus_unweighted,10,0.0008857130110037248,0.0005610408998378741,0.0007728913203173017,0.00017741671039980743,0.0005882559216922271,0.0012399198786604692,0.0,0,0,10,0.001953125,0.02272516289052547,0.00666496812116312,0.020267952017692242,0.002107647979528855,0.019323097718504535,0.02700157189203602,0.0,0,0,10,0.001953125,0.018189855194428867,0.005316164463765032,0.016285497268346216,0.0016811188121545174,0.015480712356412341,0.021657477743866144,0.0,0,0,10,0.001953125,0.9192636815018268,0.3668898330829966,0.8763785477920836,0.11602075229012657,0.7151720181687852,1.144737085769877,0.0,0,0,10,0.001953125,0.017871658442893613,0.005091573030068918,0.015943290315155817,0.0016100967648102762,0.015442712035937283,0.02127694572568691,0.0,0,0,10,0.001953125,-0.004915373082609849,0.003101735546058906,-0.004287822828344001,0.0009808549025052246,-0.006890384919978988,-0.003260718063053903,1.0,10,0,0,0.001953125,0.012524324674816446,0.005100353588599667,0.01061343654472846,0.001612873421218835,0.009882638575753782,0.015844617256098394,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_global_parent_weighted,octant_minus_global,10,-0.0006239667335661385,0.0003611668598892958,-0.0005876183341453761,0.00011421098926210831,-0.0008394988105962793,-0.00041500256055303805,1.0,10,0,0,0.001953125,-0.0034997421898669613,0.002454393134872031,-0.003005407526147169,0.000776147257967646,-0.005083836695446522,-0.002213690311445532,1.0,10,0,0,0.001953125,-0.002842699246204783,0.0019667018813608193,-0.002466880530754667,0.0006219257423638441,-0.004118072606860822,-0.001824581937522223,1.0,10,0,0,0.001953125,-0.303727639300463,0.13025617858998179,-0.2861824398492603,0.041190620365400214,-0.3881538447524312,-0.23622719837235023,1.0,10,0,0,0.001953125,-0.004846035671236343,0.002202834654234626,-0.004505642427150486,0.0006965974816130893,-0.006197476165227044,-0.003624626786072246,1.0,10,0,0,0.001953125,0.0007549881364849374,0.001784659576096558,0.00027058694654692045,0.0005643589108495715,-0.00022385794158378964,0.0018622224688252032,0.07376,5,0,5,1.0,-0.006858457409386792,0.002598934517027341,-0.00597029064316601,0.0008218552563436055,-0.008448661921638064,-0.005409560283536781,1.0,10,0,0,0.001953125
matched_raw_operational_structure,observed_test_unweighted,global_minus_unweighted,10,0.006464566842128839,0.006677099644698787,0.004460477514069576,0.0021114843041149197,0.003798626573475833,0.010892454615375347,0.0,0,0,10,0.001953125,0.06125539496221073,0.03339764987243748,0.04646818833536134,0.010561264209373436,0.04506371594291838,0.08385221952320301,0.0,0,0,10,0.001953125,0.04962302785910577,0.02725276280116944,0.037736768632777404,0.008618080298400594,0.03640639868179738,0.0678035225315471,0.0,0,0,10,0.001953125,1.7467183127404795,0.5713648608859082,1.6279352192058747,0.18068143353847213,1.4517195771896803,2.116546376999272,0.0,0,0,10,0.001953125,0.04898799156884926,0.018904565476071354,0.04145885949337236,0.005978148508017084,0.03963170253668114,0.061386130707241436,0.0,0,0,10,0.001953125,0.00925738347445686,0.0300901901919442,-0.001653934471041646,0.009515353623420281,-0.006267881659127084,0.02870467827793203,0.14506,6,0,4,0.75390625,0.07366733816920457,0.10652682000903693,0.02393173709348964,0.03368673831233554,0.022310557359935822,0.14591132999065803,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_unweighted,octant_minus_unweighted,10,0.004875463039429301,0.005147788722241313,0.00327387220615696,0.001627873727561043,0.002861366813907612,0.008276966411711998,0.0,0,0,10,0.001953125,0.05429965559973704,0.026080764302967057,0.042865762358488685,0.008247461831538965,0.04138163775788519,0.07134695469231647,0.0,0,0,10,0.001953125,0.043920324241826555,0.021269051963815736,0.03478510296694369,0.00672586478781349,0.03343589100397988,0.05795392112879502,0.0,0,0,10,0.001953125,1.4526376621445205,0.3587351743926547,1.349129984117047,0.11344202278984995,1.266294722086017,1.6810706776723991,0.0,0,0,10,0.001953125,0.04197615611735582,0.014465889797466719,0.03677100184877399,0.004574516014098668,0.0346665392482433,0.0513200335147407,0.0,0,0,10,0.001953125,0.007138205887876896,0.025080843235590063,-0.0036009180312196257,0.007931259026209166,-0.005707774858752885,0.023790799264507678,0.16232,7,0,3,0.34375,0.059531272783681186,0.09069327329536768,0.016838526181348984,0.028679731206948667,0.015940045233872553,0.12285549128444244,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_unweighted,octant_minus_global,10,-0.0015891038026995367,0.001582631101136557,-0.001139869716366839,0.0005004718975411816,-0.0026491486230103218,-0.0008757085088754505,1.0,10,0,0,0.001953125,-0.006955739362473684,0.007622349771601408,-0.0035257807541588804,0.002410398640072468,-0.012086687425165839,-0.003552363697732913,1.0,10,0,0,0.001953125,-0.005702703617279215,0.0062254261371939125,-0.0029064189800243334,0.0019686525998676638,-0.009883015577636186,-0.002922455262214732,1.0,10,0,0,0.001953125,-0.29408065059595884,0.23190349261718063,-0.25795968445853257,0.0733343234018333,-0.43758909575280724,-0.16796164600146443,1.0,9,0,1,0.021484375,-0.007011835451493445,0.004836201243207908,-0.006617005145897678,0.001529341115147491,-0.010170635493515691,-0.004611746772206015,1.0,10,0,0,0.001953125,-0.002119177586579966,0.005541883648243401,-0.0011663727322934817,0.0017524974856092542,-0.005609886037028424,0.0009145785354073941,0.90614,8,0,2,0.109375,-0.014136065385523389,0.01752694827690533,-0.007093210912140657,0.005542507698698439,-0.02591429538331479,-0.006021087634027891,1.0,10,0,0,0.001953125
matched_raw_operational_structure,query_region_primary_support,global_minus_unweighted,10,0.00771950582880275,0.0023320590126513973,0.007323721343617563,0.0007374618117901841,0.006381736815617703,0.00911507247628761,0.0,0,0,10,0.001953125,0.028595966775506087,0.006742801865131035,0.02599357121092699,0.0021322611705045552,0.025352905394316234,0.03308792028142299,0.0,0,0,10,0.001953125,0.023604585923813547,0.0051833633753051766,0.021642106221574336,0.0016391234206262525,0.02105533207183317,0.02705775088111248,0.0,0,0,10,0.001953125,1.504173716245537,0.3562123710291828,1.4139330168465944,0.11264424231811947,1.3077755679995833,1.7228805457403211,0.0,0,0,10,0.001953125,0.025767614160521025,0.004573893651027089,0.025598595634742094,0.0014463921712628948,0.023086689513283454,0.0284195910931948,0.0,0,0,10,0.001953125,-0.0010086471940050647,0.0030658270347092105,-0.0014258081644523135,0.0009694996341801202,-0.0026746547239590705,0.0008895516099251854,0.8614,8,0,2,0.109375,0.023864055401056676,0.008183820978218207,0.022927569955122157,0.002587951425423677,0.019564748120118852,0.02908122499962075,0.0,0,0,10,0.001953125
