protocol,loss_name,loss_label,octant_subset,n_seeds,n_octants_min,n_octants_max,nrmse_3d_mean_mean_over_seeds,nrmse_3d_mean_std_over_seeds,nrmse_3d_std_mean_over_seeds,nrmse_3d_std_std_over_seeds,nrmse_3d_worst_mean_over_seeds,nrmse_3d_worst_std_over_seeds,nrmse_3d_best_mean_over_seeds,nrmse_3d_best_std_over_seeds,nrmse_3d_range_mean_over_seeds,nrmse_3d_range_std_over_seeds
retuned_practical,unweighted,Unweighted,observed_test_octant,10,8,8,0.19993072958432628,0.003415251751422073,0.08968343179280466,0.007047290051496916,0.35107026076101544,0.01763858710818448,0.08212369209370263,0.007665100976796086,0.2689465686673128,0.02167549809123575
retuned_practical,unweighted,Unweighted,query_region_primary_octant,10,8,8,0.20881360514208464,0.004882538999331926,0.09543470573917016,0.004314892797949381,0.3825571291021282,0.018252553108687404,0.06377828743926023,0.0067607504210305995,0.31877884166286796,0.017797407933406704
retuned_raw,unweighted,Unweighted,observed_test_octant,10,8,8,0.20183420414027106,0.004516469312125034,0.08705877885490682,0.006151368094160689,0.34642666651458914,0.019437751551289385,0.08839498081916433,0.006289728398613713,0.2580316856954248,0.019866935785111825
retuned_raw,unweighted,Unweighted,query_region_primary_octant,10,8,8,0.21360797657264566,0.007710179432861581,0.09354605255246064,0.00857650373530873,0.38201918863110085,0.03739786178179902,0.0663088161140981,0.005210350767539362,0.3157103725170027,0.03430256691738581
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,10,8,8,0.19993072958432628,0.003415251751422073,0.08968343179280466,0.007047290051496916,0.35107026076101544,0.01763858710818448,0.08212369209370263,0.007665100976796086,0.2689465686673128,0.02167549809123575
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,10,8,8,0.20881360514208464,0.004882538999331926,0.09543470573917016,0.004314892797949381,0.3825571291021282,0.018252553108687404,0.06377828743926023,0.0067607504210305995,0.31877884166286796,0.017797407933406704
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,10,8,8,0.20183420414027106,0.004516469312125034,0.08705877885490682,0.006151368094160689,0.34642666651458914,0.019437751551289385,0.08839498081916433,0.006289728398613713,0.2580316856954248,0.019866935785111825
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,10,8,8,0.21360797657264566,0.007710179432861581,0.09354605255246064,0.00857650373530873,0.38201918863110085,0.03739786178179902,0.0663088161140981,0.005210350767539362,0.3157103725170027,0.03430256691738581
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,10,8,8,0.218723381884334,0.008091713684965378,0.08371616349300909,0.008215624243449364,0.36560921917798994,0.018810319373491625,0.11203414674453513,0.016287622859410655,0.25357507243345473,0.025447573649874433
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,10,8,8,0.2319704123890646,0.0069291140938360415,0.0939407428909033,0.005003096324251497,0.39959560592529253,0.016106324555709574,0.08440934448883658,0.008836942749985189,0.3151862614364559,0.017545188706784925
retuned_raw,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,10,8,8,0.22198611984887226,0.008971942051131332,0.08140246996862527,0.0073223132807419935,0.3639187496480776,0.023700313248756297,0.12194375018517767,0.010360037395557995,0.2419749994628999,0.023741832270767333
retuned_raw,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,10,8,8,0.2395503998826304,0.009505587043851106,0.09305539608929295,0.008690090079132845,0.4087407754051557,0.03934376646007568,0.09266174960924245,0.00952012134605782,0.31607902579591335,0.03422274823555707
matched_unweighted_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,10,8,8,0.218723381884334,0.008091713684965378,0.08371616349300909,0.008215624243449364,0.36560921917798994,0.018810319373491625,0.11203414674453513,0.016287622859410655,0.25357507243345473,0.025447573649874433
matched_unweighted_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,10,8,8,0.2319704123890646,0.0069291140938360415,0.0939407428909033,0.005003096324251497,0.39959560592529253,0.016106324555709574,0.08440934448883658,0.008836942749985189,0.3151862614364559,0.017545188706784925
matched_raw_operational_structure,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,10,8,8,0.22177601828408586,0.008964879949189104,0.08115025373274755,0.007455439511597374,0.3627826641959227,0.02306723314542562,0.1223273397468178,0.010844282524401111,0.24045532444910486,0.02376445979503563
matched_raw_operational_structure,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,10,8,8,0.23937559073316667,0.009589698776095517,0.09253740535845556,0.009027610567025425,0.4058832440321575,0.039976953479157966,0.09105119369162692,0.008726514969580153,0.3148320503405306,0.034703391542870526
retuned_practical,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,10,8,8,0.21407713927142735,0.00648056350216983,0.08461156002711887,0.007631528942846586,0.36152060958490717,0.018232709185309254,0.1073209608045361,0.011918019333809074,0.2541996487803711,0.022858344147248712
retuned_practical,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,10,8,8,0.226403633606537,0.00619622961171617,0.09320732670836603,0.004608092147783081,0.39441842236012764,0.016728054862511485,0.08061780226731212,0.010970924664225412,0.31380062009281556,0.018696921796235985
retuned_raw,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,10,8,8,0.2174603305446871,0.007157535109688185,0.08243575232481906,0.006753155286594321,0.35860846087119225,0.02308286115430361,0.11533430767215314,0.008159666374644759,0.24327415319903908,0.023109668447943228
retuned_raw,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,10,8,8,0.2335753050365094,0.008404824436575989,0.09371101620274296,0.009558508231967728,0.40143028975525646,0.038294078373128634,0.08618099761397177,0.009104095807826135,0.3152492921412847,0.03530208206854465
matched_unweighted_practical,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,10,8,8,0.21407713927142735,0.00648056350216983,0.08461156002711887,0.007631528942846586,0.36152060958490717,0.018232709185309254,0.1073209608045361,0.011918019333809074,0.2541996487803711,0.022858344147248712
matched_unweighted_practical,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,10,8,8,0.226403633606537,0.00619622961171617,0.09320732670836603,0.004608092147783081,0.39441842236012764,0.016728054862511485,0.08061780226731212,0.010970924664225412,0.31380062009281556,0.018696921796235985
matched_raw_operational_structure,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,10,8,8,0.21725266638516114,0.007194710249282788,0.08217159244802,0.0068038534821428555,0.3572708174958696,0.022139635577622288,0.11640616369034577,0.0094386891980098,0.24086465380552383,0.022534885904815043
matched_raw_operational_structure,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,10,8,8,0.23329679455110036,0.008596045837793232,0.09319029524587583,0.009916053894973898,0.3983129466665777,0.03863172293202348,0.08420401985014234,0.005960348834428184,0.3141089268164353,0.035819772488421345
