loss_name,n_basis,validation_mean,adjacent_validation_improvement
unweighted,3,1.0614765532205093,
unweighted,35,0.8638677773240472,0.18616405166644429
unweighted,67,0.7113991459004188,0.17649533345938845
unweighted,131,0.59304716159408,0.1663650919295672
unweighted,259,0.4058167435052482,0.31570915470797656
unweighted,387,0.2778128521400288,0.31542289324877004
unweighted,514,0.2190002890293942,0.21169849651516745
unweighted,643,0.18723289421338435,0.14505640589244168
unweighted,771,0.1578919752090266,0.1567081421650124
unweighted,899,0.13257321574614248,0.16035494792794674
unweighted,1027,0.12032062893525639,0.09242128390660696
unweighted,1283,0.10271021499809856,0.14636238268529878
unweighted,1539,0.08994500626190578,0.12428373104300378
unweighted,1795,0.08278751849139793,0.07957626629839094
unweighted,2050,0.07718548763986832,0.0676675778379767
unweighted,2307,0.07064528774918835,0.08473354370960515
unweighted,2562,0.06832065764038225,0.03290566409835036
unweighted,2818,0.06468711897829635,0.05318360196723621
unweighted,3074,0.06458320013115383,0.0016064843941710233
unweighted,3330,0.06332648874176108,0.019458797130533206
unweighted,3586,0.06240411967878996,0.014565296154859414
unweighted,3842,0.060875329881053576,0.024498219117671402
unweighted,4098,0.05993364340733296,0.015469098492946311
unweighted,4354,0.05944919570420034,0.008083067799501535
global_g0p75_cap20,3,0.9591640586888428,
global_g0p75_cap20,35,0.8206697440328833,0.14439064245722297
global_g0p75_cap20,67,0.658246324944382,0.19791569053140726
global_g0p75_cap20,131,0.5468152599508298,0.16928475066376927
global_g0p75_cap20,259,0.37719354633808133,0.3101993050230548
global_g0p75_cap20,387,0.26658038722862354,0.2932530531959696
global_g0p75_cap20,514,0.20973000099963013,0.21325794751823818
global_g0p75_cap20,643,0.18127710275144773,0.13566441669083182
global_g0p75_cap20,771,0.15375393681143207,0.1518292466189355
global_g0p75_cap20,899,0.13055000158105498,0.15091603969032033
global_g0p75_cap20,1027,0.1188121637586804,0.08991066779181063
global_g0p75_cap20,1283,0.10234244882716452,0.13861977099388192
global_g0p75_cap20,1539,0.08961778538536072,0.12433417010856516
global_g0p75_cap20,1795,0.08248135198535946,0.07963188745754277
global_g0p75_cap20,2050,0.07721676792741092,0.06382756745892099
global_g0p75_cap20,2307,0.07115538668727225,0.07849825112903948
global_g0p75_cap20,2562,0.06910918310667395,0.028756833120609147
global_g0p75_cap20,2818,0.06609496537897558,0.0436152996201063
global_g0p75_cap20,3074,0.06622361666571067,-0.0019464612167874853
global_g0p75_cap20,3330,0.06493733810951198,0.019423260476570992
global_g0p75_cap20,3586,0.0642521955608403,0.010550825897979302
global_g0p75_cap20,3842,0.062707219176869,0.02404550335573151
global_g0p75_cap20,4098,0.06166267652581451,0.01665745451266629
global_g0p75_cap20,4354,0.061186825914775644,0.007716995723331192
octant_g1p00_cap20,3,0.9730262166602905,
octant_g1p00_cap20,35,0.8231618191116785,0.15401886915543786
octant_g1p00_cap20,67,0.6614082490307466,0.1965027608490024
octant_g1p00_cap20,131,0.5496991288223156,0.16889586782767502
octant_g1p00_cap20,259,0.37913284323834034,0.3102902599634809
octant_g1p00_cap20,387,0.2671714794115191,0.2953090607252857
octant_g1p00_cap20,514,0.2100088397460643,0.21395487194727203
octant_g1p00_cap20,643,0.18123847909810303,0.13699595065974093
octant_g1p00_cap20,771,0.15310255099597206,0.15524257454677276
octant_g1p00_cap20,899,0.13016515329622816,0.14981721434770448
octant_g1p00_cap20,1027,0.11839427890246239,0.09043030408436402
octant_g1p00_cap20,1283,0.10161598526101998,0.1417154088608031
octant_g1p00_cap20,1539,0.0892620774021369,0.12157445334166384
octant_g1p00_cap20,1795,0.08221996627174334,0.07889253012416418
octant_g1p00_cap20,2050,0.07695550440661798,0.06402899567881
octant_g1p00_cap20,2307,0.07068837718506091,0.08143832296183505
octant_g1p00_cap20,2562,0.06851311101247325,0.03077261438458056
octant_g1p00_cap20,2818,0.06540416604984603,0.045377372544960236
octant_g1p00_cap20,3074,0.06544503049106278,-0.0006247987503670871
octant_g1p00_cap20,3330,0.06423998808980912,0.018413046677672802
octant_g1p00_cap20,3586,0.06347481265318601,0.011911201408589478
octant_g1p00_cap20,3842,0.06201124841506282,0.023057401462841926
octant_g1p00_cap20,4098,0.06104023258525111,0.015658704745183726
octant_g1p00_cap20,4354,0.06060634578418402,0.007108210154034165
