loss_name,loss_label,n_basis,n_diffusion_modes,n_seeds,weighted_validation_nrmse_radial_mean,weighted_validation_nrmse_radial_std,weighted_validation_nrmse_radial_sem,unweighted_validation_nrmse_radial_mean,unweighted_validation_nrmse_radial_std,unweighted_validation_nrmse_radial_sem,weighted_validation_nrmse_tangential_mean,weighted_validation_nrmse_tangential_std,weighted_validation_nrmse_tangential_sem,weighted_validation_nrmse_3d_mean,weighted_validation_nrmse_3d_std,weighted_validation_nrmse_3d_sem
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",3,0,10,0.9591640586888428,0.0043062229814094435,0.0013617472733814756,1.0505081710570379,0.006009992167859935,0.00190052639702104,1.125231237003624,0.0037646943331050677,0.001190500878694065,1.066733160754761,0.004125261092102053,0.0013045220993916134
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",35,32,10,0.8206697440328833,0.008285227703352428,0.002620019047571955,0.8164569442746578,0.027449332374206294,0.008680241055348922,0.9555760783715833,0.011607596139010978,0.0036706441958651147,0.9079864301285248,0.00898904907218556,0.0028425869067129693
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",67,64,10,0.658246324944382,0.011974089103741963,0.0037865394473628818,0.681098658390883,0.02052509114640745,0.0064906037205204065,0.9852000243384286,0.018084452522789066,0.005718806020919155,0.8784910727645874,0.014551562169125617,0.004601607996797726
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",131,128,10,0.5468152599508298,0.01188654921071712,0.003758856902554283,0.5825609529931491,0.02400141922533227,0.007589915182860408,0.9851244177711898,0.015997964972693783,0.0050590007241305785,0.8496815407747673,0.012630773058877085,0.003994201147474363
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",259,256,10,0.37719354633808133,0.009992040752308157,0.003159760725051613,0.3916765578757657,0.012440569926419396,0.003934053635807864,0.771876447893027,0.013006453471750204,0.004113001725173513,0.6542102166983692,0.01027126445983671,0.0032480590143023065
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",387,384,10,0.26658038722862354,0.009890310812302414,0.00312759089338657,0.2661984457526648,0.008725381739082272,0.002759207974994099,0.6680914199965973,0.00871741104499958,0.002756687420210726,0.5544881135342823,0.008632013172203065,0.002729682241673694
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",514,511,10,0.20973000099963013,0.011388040957623068,0.0036012147513373944,0.20825543950639397,0.011640565187590126,0.003681069924444999,0.5607971414658143,0.011874991052940168,0.003755201892141207,0.4630516516903489,0.010319271435865873,0.003263240153085232
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",643,640,10,0.18127710275144773,0.00817371275109711,0.0025847549233427814,0.18087706246473537,0.012953280039191432,0.004096186809384005,0.553590504743906,0.016090444387269802,0.005088245282804498,0.4529312616893094,0.013257186551152654,0.004192290486739472
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",771,768,10,0.15375393681143207,0.007650715723476143,0.002419368741664757,0.1499143738571445,0.008939324573968982,0.0028268626397256326,0.49517440904251425,0.008465571722425517,0.0026770488338379358,0.4038907120288867,0.005785601582109476,0.0018295678633739624
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",899,896,10,0.13055000158105498,0.005995201790925127,0.0018958492691643987,0.12367638701388553,0.008361539998801086,0.002644151114281301,0.45175554152032876,0.009516489338612521,0.003009378163872493,0.36718883813650943,0.008644286663159638,0.0027335634603001184
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",1027,1024,10,0.1188121637586804,0.005946311302631891,0.0018803887392719563,0.11138369354040194,0.008076576505019053,0.0025540377452462557,0.4211081246067245,0.012135955203775658,0.0038377260025703954,0.34191855156871703,0.00997684460836548,0.0031549552824005496
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",1283,1280,10,0.10234244882716452,0.005153474478522832,0.001629671721568064,0.09200695663047323,0.005876918066252177,0.001858444671154921,0.3801433590875686,0.01024408272485883,0.0032394633949737895,0.30799468332093327,0.007399427416596449,0.0023399044017540374
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",1539,1536,10,0.08961778538536072,0.0038883000107127383,0.001229588425990936,0.07881654456264944,0.0037221267497162505,0.001177039826894284,0.36377139440418765,0.0071802732064061405,0.0022706017554523714,0.2937331310406024,0.004383637100311159,0.001386227767259927
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",1795,1792,10,0.08248135198535946,0.0038686399582305796,0.0012233713715147294,0.0718438943359162,0.0041917601061979845,0.001325550934061492,0.3512654108615827,0.008260074333792103,0.002612064853708097,0.28317318053369006,0.0049616116205902115,0.0015689993586224253
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",2050,2047,10,0.07721676792741092,0.00399482531342159,0.0012632746844908238,0.0686413800981853,0.004348088506710074,0.0013749863149204154,0.3511627271248401,0.010418132196453997,0.0032945026705527404,0.28253648287670896,0.006733422456127722,0.002129295140948879
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",2307,2304,10,0.07115538668727225,0.0025611685315166024,0.0008099126031141205,0.06519917305727543,0.005768418035422308,0.0018241339487928335,0.3586404263194429,0.011290279011429285,0.003570299709491076,0.28780138098777075,0.00737220246751353,0.002331295116925624
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",2562,2559,10,0.06910918310667395,0.0028274660305430597,0.0008941232663271281,0.0643535315648206,0.005759745934977788,0.0018213915898425894,0.36134864786466026,0.011598089417191275,0.0036676379064619264,0.2897416978325037,0.007602268175696547,0.002404048281861421
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",2818,2815,10,0.06609496537897558,0.0037622608497425458,0.0011897313436866955,0.06417134382000954,0.00904488689724428,0.0028602443773905273,0.3705793699301479,0.016854401852086986,0.0053298298452355225,0.29672909127064917,0.011842286289196043,0.003744859737764294
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",3074,3071,10,0.06622361666571067,0.003963446551558361,0.0012533518487264407,0.06448384596302856,0.007777948883559269,0.002459603399641106,0.37108243072491365,0.015430512127685668,0.004879556378633763,0.29715631151733557,0.011145260129361872,0.003524440712384639
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",3330,3327,10,0.06493733810951198,0.0037959156592957018,0.0012003739289274122,0.06460854605271091,0.008645066056836197,0.0027338099262213043,0.3657898742555344,0.014995633670044755,0.004742035735485129,0.2928920009890954,0.010886128450245381,0.0034424960803934386
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",3586,3583,10,0.0642521955608403,0.0038789295268059137,0.0012266252187985844,0.06508818928270443,0.008241903026903754,0.0026063185819251884,0.3636943288910981,0.013613816058973865,0.004305066639293458,0.2911778582480171,0.00946044729997622,0.002991656115191506
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",3842,3839,10,0.062707219176869,0.004335790614352605,0.0013710973798934975,0.06518650356000202,0.00902635053803876,0.00285438266592888,0.3605419221998603,0.014146925538766056,0.004473650659130541,0.2885845209833978,0.010130005381628069,0.0032033889715707897
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",4098,4095,10,0.06166267652581451,0.004586698752198837,0.0014504414998000564,0.06467503031253666,0.009127356294780831,0.0028863234907382652,0.3580545090976758,0.012830101606827547,0.0040572343688961175,0.28655845154935033,0.009384208920177297,0.0029675474226629494
global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",4354,4351,10,0.061186825914775644,0.004826460878729977,0.001526260941448445,0.06409648666730619,0.009015196959533206,0.0028508555947149754,0.36501933694744687,0.014559367552437814,0.004604076275725447,0.291998288874812,0.010617819992416044,0.0033576494961706444
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",3,0,10,0.9730262166602905,0.0028005170493854547,0.0008856012502192289,1.0135489724784663,0.0037979811268401328,0.001201027087114768,1.0500819148622427,0.003962562938410029,0.0012530724257145203,1.0222111746144258,0.0028860202948208487,0.000912639750510453
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",35,32,10,0.8231618191116785,0.009707255779150267,0.003069703809194728,0.7787002859522747,0.020798346006633935,0.006577014494523071,0.8672834724696562,0.010228041766047708,0.00323439079840418,0.8512406935261969,0.008116330020770888,0.0025666089107237735
