protocol,loss_name,loss_label,octant_subset,region_id,m_lim,n_seeds,nrmse_3d_mean,nrmse_3d_std
retuned_practical,unweighted,Unweighted,observed_test_octant,0,10.95592439771875,10,0.10790849418452379,0.011788410751163266
retuned_practical,unweighted,Unweighted,query_region_primary_octant,0,10.95592439771875,10,0.12066345865468411,0.00878424938806769
retuned_practical,unweighted,Unweighted,observed_test_octant,1,11.25592439771875,10,0.08437516537647807,0.01247948352322543
retuned_practical,unweighted,Unweighted,query_region_primary_octant,1,11.25592439771875,10,0.06377828743926023,0.0067607504210305995
retuned_practical,unweighted,Unweighted,observed_test_octant,2,11.55592439771875,10,0.18907723584549357,0.018217248008811446
retuned_practical,unweighted,Unweighted,query_region_primary_octant,2,11.55592439771875,10,0.23123211250943904,0.025381398052718475
retuned_practical,unweighted,Unweighted,observed_test_octant,3,11.85592439771875,10,0.13735369850979867,0.0093491655135902
retuned_practical,unweighted,Unweighted,query_region_primary_octant,3,11.85592439771875,10,0.16954457761521882,0.007100677269377928
retuned_practical,unweighted,Unweighted,observed_test_octant,4,12.15592439771875,10,0.26597976945744256,0.012473498889012828
retuned_practical,unweighted,Unweighted,query_region_primary_octant,4,12.15592439771875,10,0.21901949492243564,0.007955012897758316
retuned_practical,unweighted,Unweighted,observed_test_octant,5,12.45592439771875,10,0.1681343413125555,0.01901751858947991
retuned_practical,unweighted,Unweighted,query_region_primary_octant,5,12.45592439771875,10,0.17611129627823754,0.0055826061978411475
retuned_practical,unweighted,Unweighted,observed_test_octant,6,12.75592439771875,10,0.35107026076101544,0.01763858710818448
retuned_practical,unweighted,Unweighted,query_region_primary_octant,6,12.75592439771875,10,0.3825571291021282,0.018252553108687404
retuned_practical,unweighted,Unweighted,observed_test_octant,7,13.05592439771875,10,0.2955468712273025,0.014315309585769197
retuned_practical,unweighted,Unweighted,query_region_primary_octant,7,13.05592439771875,10,0.3076024846152733,0.009271605153825831
retuned_raw,unweighted,Unweighted,observed_test_octant,0,10.95592439771875,10,0.10621999877783017,0.014020066739099429
retuned_raw,unweighted,Unweighted,query_region_primary_octant,0,10.95592439771875,10,0.12959289460686751,0.013406602001828938
retuned_raw,unweighted,Unweighted,observed_test_octant,1,11.25592439771875,10,0.0913262986299466,0.011843868929812594
retuned_raw,unweighted,Unweighted,query_region_primary_octant,1,11.25592439771875,10,0.0663088161140981,0.005210350767539362
retuned_raw,unweighted,Unweighted,observed_test_octant,2,11.55592439771875,10,0.1951541237997591,0.016053556500401297
retuned_raw,unweighted,Unweighted,query_region_primary_octant,2,11.55592439771875,10,0.2503866356217854,0.03676676879021015
retuned_raw,unweighted,Unweighted,observed_test_octant,3,11.85592439771875,10,0.14479927121498865,0.011286547344828429
retuned_raw,unweighted,Unweighted,query_region_primary_octant,3,11.85592439771875,10,0.17643422611713683,0.01187701175455642
retuned_raw,unweighted,Unweighted,observed_test_octant,4,12.15592439771875,10,0.26400996530978815,0.01323632073364909
retuned_raw,unweighted,Unweighted,query_region_primary_octant,4,12.15592439771875,10,0.2128513348878836,0.010692804313424394
retuned_raw,unweighted,Unweighted,observed_test_octant,5,12.45592439771875,10,0.17019951217146528,0.01866537690987348
retuned_raw,unweighted,Unweighted,query_region_primary_octant,5,12.45592439771875,10,0.1908961593859669,0.010411267313100867
retuned_raw,unweighted,Unweighted,observed_test_octant,6,12.75592439771875,10,0.34642666651458914,0.019437751551289385
retuned_raw,unweighted,Unweighted,query_region_primary_octant,6,12.75592439771875,10,0.38201918863110085,0.03739786178179902
retuned_raw,unweighted,Unweighted,observed_test_octant,7,13.05592439771875,10,0.2965377967038014,0.014836947769598331
retuned_raw,unweighted,Unweighted,query_region_primary_octant,7,13.05592439771875,10,0.3003745572163262,0.009324961714337223
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,0,10.95592439771875,10,0.10790849418452379,0.011788410751163266
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,0,10.95592439771875,10,0.12066345865468411,0.00878424938806769
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,1,11.25592439771875,10,0.08437516537647807,0.01247948352322543
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,1,11.25592439771875,10,0.06377828743926023,0.0067607504210305995
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,2,11.55592439771875,10,0.18907723584549357,0.018217248008811446
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,2,11.55592439771875,10,0.23123211250943904,0.025381398052718475
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,3,11.85592439771875,10,0.13735369850979867,0.0093491655135902
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,3,11.85592439771875,10,0.16954457761521882,0.007100677269377928
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,4,12.15592439771875,10,0.26597976945744256,0.012473498889012828
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,4,12.15592439771875,10,0.21901949492243564,0.007955012897758316
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,5,12.45592439771875,10,0.1681343413125555,0.01901751858947991
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,5,12.45592439771875,10,0.17611129627823754,0.0055826061978411475
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,6,12.75592439771875,10,0.35107026076101544,0.01763858710818448
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,6,12.75592439771875,10,0.3825571291021282,0.018252553108687404
matched_unweighted_practical,unweighted,Unweighted,observed_test_octant,7,13.05592439771875,10,0.2955468712273025,0.014315309585769197
matched_unweighted_practical,unweighted,Unweighted,query_region_primary_octant,7,13.05592439771875,10,0.3076024846152733,0.009271605153825831
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,0,10.95592439771875,10,0.10621999877783017,0.014020066739099429
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,0,10.95592439771875,10,0.12959289460686751,0.013406602001828938
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,1,11.25592439771875,10,0.0913262986299466,0.011843868929812594
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,1,11.25592439771875,10,0.0663088161140981,0.005210350767539362
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,2,11.55592439771875,10,0.1951541237997591,0.016053556500401297
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,2,11.55592439771875,10,0.2503866356217854,0.03676676879021015
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,3,11.85592439771875,10,0.14479927121498865,0.011286547344828429
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,3,11.85592439771875,10,0.17643422611713683,0.01187701175455642
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,4,12.15592439771875,10,0.26400996530978815,0.01323632073364909
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,4,12.15592439771875,10,0.2128513348878836,0.010692804313424394
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,5,12.45592439771875,10,0.17019951217146528,0.01866537690987348
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,5,12.45592439771875,10,0.1908961593859669,0.010411267313100867
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,6,12.75592439771875,10,0.34642666651458914,0.019437751551289385
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,6,12.75592439771875,10,0.38201918863110085,0.03739786178179902
matched_raw_operational_structure,unweighted,Unweighted,observed_test_octant,7,13.05592439771875,10,0.2965377967038014,0.014836947769598331
matched_raw_operational_structure,unweighted,Unweighted,query_region_primary_octant,7,13.05592439771875,10,0.3003745572163262,0.009324961714337223
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,0,10.95592439771875,10,0.14213736907310215,0.021030763042677893
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,0,10.95592439771875,10,0.16458643338631493,0.020232091940012544
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,1,11.25592439771875,10,0.11213453354000957,0.01651112737109068
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,1,11.25592439771875,10,0.08440934448883658,0.008836942749985189
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,2,11.55592439771875,10,0.2064860448187781,0.020355667806997078
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,2,11.55592439771875,10,0.26534499778028076,0.031482735767464756
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,3,11.85592439771875,10,0.1713137626459191,0.02698120596617817
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,3,11.85592439771875,10,0.2025869139454862,0.024813614247773973
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,4,12.15592439771875,10,0.2651549225631952,0.01137626468458662
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,4,12.15592439771875,10,0.21593324223570992,0.011429137497317617
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,5,12.45592439771875,10,0.17373146662167166,0.01822842871738259
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,5,12.45592439771875,10,0.18982927099562547,0.006429187180106471
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,6,12.75592439771875,10,0.36560921917798994,0.018810319373491625
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,6,12.75592439771875,10,0.39959560592529253,0.016106324555709574
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,7,13.05592439771875,10,0.3132197366340062,0.0185555901577493
retuned_practical,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,7,13.05592439771875,10,0.33347749035497076,0.011767444811058946
