protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg,delta_octant_nrmse_3d_mean,delta_octant_nrmse_3d_std,delta_worst_octant_nrmse_3d
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20261203,0.0009268102593101291,0.016089321109674815,0.01279699519543015,0.8574699956755882,0.018017226815544768,-0.008126444019850354,0.014227816940980964
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20261213,0.0015984577515448725,0.018114498548923885,0.014279820211846928,0.9790152998389061,0.015177316363681664,-0.005690982751642898,0.011475133745326771
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20261223,0.001949294618585229,0.021087493088125908,0.016846759283233537,1.1360228332562823,0.021854744471893534,-0.006177734443983771,0.021800854973896278
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270103,0.0031314089164599726,0.042158917739956336,0.03338036248914028,1.6711574281746113,0.03663639995240359,-0.002873781972740852,0.030770238451130916
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270113,0.001264991612188765,0.017654596910123443,0.014027256070256178,0.45135617666780803,0.014473037891564428,-0.004413968758942913,0.012132291532902961
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270123,1.803757972781983e-05,0.02670061381225841,0.020964886613875744,0.9984821251589686,0.02046273970509313,-0.002710886000527102,0.022501546433369546
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270203,0.0009261780044864457,0.018754267267627966,0.01482185018577753,0.7281869889845023,0.015765603954546126,-0.004605740734248909,0.014326315780400556
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270213,0.0005283120098511368,0.021688944390817533,0.016930569020500053,0.7079352004490307,0.014078793916706078,-0.0030690653592539696,0.011447504775048578
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270223,0.0018720478896885398,0.017450707671427812,0.01389185831533915,0.9607394985039655,0.023928038692605735,-0.014179361848643893,0.01311271292349192
matched_raw_operational_structure,observed_test_octant_parent_weighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270303,0.0018471974919639228,0.01815150025116047,0.014156561532006617,1.1049094016020593,0.019024239674108878,-0.007237285331758117,0.011765561256787016
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20261203,0.00044223207125373976,0.013302972569460447,0.01055281944628167,0.6235932277532665,0.014208063507345686,-0.006974347295097369,0.00967928882120439
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20261213,0.0008340463016149671,0.015405665793307266,0.012096041843329353,0.7281378309440996,0.012638307947592242,-0.005769091816217403,0.007086463156484479
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20261223,0.0007545590197978597,0.017743219595620086,0.014094935020228738,0.9730482288437248,0.01613931848871203,-0.00418589091173556,0.016471622242398565
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270103,0.0018372581408519564,0.033454882093636173,0.02643668593252757,1.1318104794893475,0.027956014804351142,-0.0027135589643913632,0.021015016005044573
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270113,0.0005917090883382353,0.01610326443907406,0.01274846648294542,0.2987220465938769,0.012229521203627858,-0.0036414613984327715,0.00858715925777448
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270123,-0.00018978232216915192,0.02191245839712691,0.017184862153796776,0.7288616076350358,0.0156421323612759,-0.0028093864436553595,0.014938803047550686
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270203,0.0003899779915986293,0.014993075813327594,0.011820606170064252,0.4600455525757443,0.011930789256652363,-0.004845686686818965,0.007314245056661062
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270213,0.00032747127091833916,0.01862778389948644,0.01452821766832696,0.5694993898857366,0.011518225496132795,-0.003248245715281581,0.005941838416165912
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270223,0.0009834926980305456,0.01536270611286944,0.012170358075339643,0.8404912188272107,0.017988172452279627,-0.010872586131175269,0.009316055780228594
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270303,0.0008632169230029657,0.015804326403821234,0.012262896746799479,0.8266052007514961,0.013934076930931183,-0.0038116087060627163,0.008091018029292019
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261203,-0.0004845781880563893,-0.0027863485402143673,-0.0022441757491484804,-0.2338767679223217,-0.0038091633081990817,0.001152096724752985,-0.004548528119776574
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261213,-0.0007644114499299054,-0.002708832755616619,-0.002183778368517575,-0.25087746889480655,-0.002539008416089422,-7.810906457450528e-05,-0.004388670588842292
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261223,-0.0011947355987873692,-0.0033442734925058226,-0.0027518242630047984,-0.1629746044125575,-0.005715425983181505,0.001991843532248211,-0.005329232731497713
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270103,-0.0012941507756080162,-0.008704035646320163,-0.00694367655661271,-0.5393469486852638,-0.008680385148052444,0.00016022300834948877,-0.009755222446086342
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270113,-0.0006732825238505297,-0.0015513324710493825,-0.001278789587310758,-0.15263413007393112,-0.0022435166879365698,0.0007725073605101412,-0.003545132275128482
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270123,-0.00020781990189697175,-0.004788155415131501,-0.003780024460078968,-0.2696205175239328,-0.004820607343817229,-9.850044312825768e-05,-0.00756274338581886
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270203,-0.0005362000128878164,-0.003761191454300372,-0.003001244015713278,-0.268141436408758,-0.0038348146978937625,-0.0002399459525700559,-0.007012070723739494
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270213,-0.00020084073893279764,-0.003061160491331094,-0.0024023513521730933,-0.13843581056329413,-0.0025605684205732837,-0.00017918035602761118,-0.005505666358882666
matched_raw_operational_structure,observed_test_octant_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270223,-0.0008885551916579942,-0.0020880015585583722,-0.0017215002399995072,-0.12024827967675478,-0.005939866240326108,0.003306775717468624,-0.0037966571432633267
