loss_name,n_basis,validation_mean,adjacent_validation_improvement
unweighted,3,1.0746891224697845,
unweighted,35,0.8343719098356601,0.22361556250038353
unweighted,67,0.6695950668445521,0.19748608629880995
unweighted,131,0.5596704064160741,0.16416587557386705
unweighted,259,0.38789451457444274,0.30692330677553914
unweighted,387,0.30398390783567464,0.21632326208795719
unweighted,514,0.2519646452267731,0.1711250538861476
unweighted,643,0.20133389936804594,0.20094384993243194
unweighted,771,0.18093661200486383,0.10131074512144178
unweighted,899,0.1624756195223181,0.10203016558113445
unweighted,1027,0.1423436601972134,0.12390757077457591
unweighted,1283,0.11890384010776056,0.16467062921508116
unweighted,1539,0.09948348571749524,0.16332823542675307
unweighted,1795,0.08565094703684518,0.13904356668734472
unweighted,2050,0.07717715250371675,0.09893404365375194
unweighted,2307,0.0717491520862715,0.07033170104564096
unweighted,2562,0.06878578366206742,0.041301790168069376
unweighted,2818,0.06711235285587455,0.024328149177076187
unweighted,3074,0.06560162372985558,0.02251044795379628
unweighted,3330,0.06516137179755824,0.006710991394211156
unweighted,3586,0.0649249643922066,0.0036280299022264286
unweighted,3842,0.06463977593949846,0.004392585431165422
unweighted,4098,0.06416234957160669,0.007385953322898847
unweighted,4354,0.06422316044821531,-0.0009477657382350224
optimized_gamma0p75_cap20,3,0.9607547024134815,
optimized_gamma0p75_cap20,35,0.7780022317546145,0.1902176176705462
optimized_gamma0p75_cap20,67,0.6243218341389981,0.19753207811373974
optimized_gamma0p75_cap20,131,0.5191148555736165,0.1685140144273066
optimized_gamma0p75_cap20,259,0.3603932900268904,0.305754235007088
optimized_gamma0p75_cap20,387,0.2847691481095805,0.2098378188774472
optimized_gamma0p75_cap20,514,0.23692355448059751,0.16801536945488127
optimized_gamma0p75_cap20,643,0.19162719042504367,0.19118556681650375
optimized_gamma0p75_cap20,771,0.1735697336637031,0.0942322262372462
optimized_gamma0p75_cap20,899,0.156082726216188,0.10074917486130815
optimized_gamma0p75_cap20,1027,0.13794767268195943,0.11618872872011446
optimized_gamma0p75_cap20,1283,0.11708913380837996,0.1512061672955452
optimized_gamma0p75_cap20,1539,0.09836480281684228,0.15991518924532006
optimized_gamma0p75_cap20,1795,0.08543771442197522,0.1314198577608865
optimized_gamma0p75_cap20,2050,0.07736672343091885,0.09446637290873552
optimized_gamma0p75_cap20,2307,0.07268540317072207,0.06050818817959582
optimized_gamma0p75_cap20,2562,0.07039058071017415,0.031571985026455536
optimized_gamma0p75_cap20,2818,0.06852327139021253,0.02652782944993841
optimized_gamma0p75_cap20,3074,0.06770527761723474,0.011937459440890318
optimized_gamma0p75_cap20,3330,0.06773406350930979,-0.00042516467088105737
optimized_gamma0p75_cap20,3586,0.0677218629505629,0.00018012441768253058
optimized_gamma0p75_cap20,3842,0.0677389709521719,-0.000252621544411666
optimized_gamma0p75_cap20,4098,0.06734546318455749,0.005809178410641338
optimized_gamma0p75_cap20,4354,0.0675128721870463,-0.0024858245020905204
previous_mock2_gamma1p00_cap50,3,0.9561148595598544,
previous_mock2_gamma1p00_cap50,35,0.7755802850985539,0.18882101104924698
previous_mock2_gamma1p00_cap50,67,0.6211695676556617,0.19909056536071065
previous_mock2_gamma1p00_cap50,131,0.5170136810523427,0.16767705957716303
previous_mock2_gamma1p00_cap50,259,0.3588566269023944,0.30590496914517123
previous_mock2_gamma1p00_cap50,387,0.2840777401376425,0.20838095539779752
previous_mock2_gamma1p00_cap50,514,0.23622803998863443,0.16843875245495732
previous_mock2_gamma1p00_cap50,643,0.19137357593978627,0.18987781489024855
previous_mock2_gamma1p00_cap50,771,0.17361202158612524,0.09281090279281566
previous_mock2_gamma1p00_cap50,899,0.15605552561321334,0.10112488647108167
previous_mock2_gamma1p00_cap50,1027,0.13845452042957312,0.11278681170998489
previous_mock2_gamma1p00_cap50,1283,0.11775857028680306,0.1494783274576965
previous_mock2_gamma1p00_cap50,1539,0.09930965921790673,0.15666724743654484
previous_mock2_gamma1p00_cap50,1795,0.0864788902836534,0.12919960691940216
previous_mock2_gamma1p00_cap50,2050,0.07864143818452893,0.09062849989653413
previous_mock2_gamma1p00_cap50,2307,0.07389998339436102,0.060292066112044886
previous_mock2_gamma1p00_cap50,2562,0.07175850801308109,0.028978022496326226
previous_mock2_gamma1p00_cap50,2818,0.06996283674641247,0.02502380994796154
previous_mock2_gamma1p00_cap50,3074,0.06930318430677787,0.009428611964743247
previous_mock2_gamma1p00_cap50,3330,0.0694622185782615,-0.0022947613890243134
previous_mock2_gamma1p00_cap50,3586,0.06935998230529919,0.0014718256205295804
previous_mock2_gamma1p00_cap50,3842,0.06943966323416345,-0.001148802612341125
previous_mock2_gamma1p00_cap50,4098,0.06899857245522653,0.006352144558211349
previous_mock2_gamma1p00_cap50,4354,0.0690825635424215,-0.0012172873177842519
