protocol,subset,loss_name,loss_label,n_seeds,nrmse_radial_mean,nrmse_radial_std,nrmse_radial_sem,nrmse_tangential_mean,nrmse_tangential_std,nrmse_tangential_sem,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_sem,direction_error_median_deg_mean,direction_error_median_deg_std,direction_error_median_deg_sem,direction_error_p90_deg_mean,direction_error_p90_deg_std,direction_error_p90_deg_sem,vector_gain_through_origin_mean,vector_gain_through_origin_std,vector_gain_through_origin_sem
retuned_practical,observed_test_parent_weighted,unweighted,Unweighted,10,0.060780020772245105,0.008291661697178898,0.002622053655066266,0.2607588136253138,0.024159687154880396,0.007639963896653522,0.21754081093419259,0.02053049643788621,0.006492313023769404,7.9541376167828135,0.7608498263957651,0.24060184087543177,20.828076099970815,1.5443180791558955,0.4883562561908831,0.943506819413443,0.03404076243096769,0.010764634257054817
retuned_practical,observed_test_unweighted,unweighted,Unweighted,10,0.04872193197164968,0.02520783280271254,0.007971416653327753,0.22513968788659988,0.06850817260293061,0.02166418637612069,0.18481007754747597,0.05809465733288604,0.018371143705892264,6.025098785412032,1.1074990593755154,0.3502219534120686,16.554238993501567,2.6054848087633307,0.8239266404660363,0.9553295175466762,0.04735543044126797,0.014975101977207932
retuned_practical,query_primary_boundary_safe,unweighted,Unweighted,10,0.11992055302110356,0.006963379057255021,0.00220201380320419,0.24617006903340588,0.01809070666275094,0.005720783753627654,0.21893645906503298,0.01411898547897725,0.00446481523644115,8.04986820983506,0.2803848472148239,0.08866547385971617,18.755839600310267,0.9003993809626282,0.2847312847647557,0.9530648592319068,0.0340999898491369,0.01078336361118941
retuned_raw,observed_test_parent_weighted,unweighted,Unweighted,10,0.05619811596644366,0.005746169218546764,0.0018170982551357624,0.26220770406941574,0.010985849642231559,0.003474030690159764,0.2183019886400191,0.008678425015538848,0.002744358955208492,7.973438812178149,0.30694258381333567,0.09706376757472718,21.505889420833505,1.6465068659611528,0.5206711879542806,0.9529613228358886,0.004195359197022598,0.0013266890665126511
retuned_raw,observed_test_unweighted,unweighted,Unweighted,10,0.039924184230857626,0.0037636023704991617,0.0011901555697986254,0.21321040031969624,0.008824141525414044,0.002790438561598096,0.17435149806354225,0.00756750278567602,0.0023930545002405256,5.717171997586543,0.2257072995882707,0.071374915122492,16.370743970141064,0.904882255306167,0.28614889410374716,0.9689734167262924,0.004089200818101053,0.001293118839502322
retuned_raw,query_primary_boundary_safe,unweighted,Unweighted,10,0.12948605525606088,0.007189752763475479,0.0022735994546072376,0.26746094765595385,0.018078633073630137,0.005716965749512178,0.23765311005095463,0.015565219649256007,0.004922154637245616,8.209300795874029,0.3297142809531651,0.10426481048966744,20.1017056123606,1.3748620987711817,0.43476957007563194,0.9620602445089655,0.0035343451374843693,0.001117658067159156
matched_unweighted_practical,observed_test_parent_weighted,unweighted,Unweighted,10,0.060780020772245105,0.008291661697178898,0.002622053655066266,0.2607588136253138,0.024159687154880396,0.007639963896653522,0.21754081093419259,0.02053049643788621,0.006492313023769404,7.9541376167828135,0.7608498263957651,0.24060184087543177,20.828076099970815,1.5443180791558955,0.4883562561908831,0.943506819413443,0.03404076243096769,0.010764634257054817
matched_unweighted_practical,observed_test_unweighted,unweighted,Unweighted,10,0.04872193197164968,0.02520783280271254,0.007971416653327753,0.22513968788659988,0.06850817260293061,0.02166418637612069,0.18481007754747597,0.05809465733288604,0.018371143705892264,6.025098785412032,1.1074990593755154,0.3502219534120686,16.554238993501567,2.6054848087633307,0.8239266404660363,0.9553295175466762,0.04735543044126797,0.014975101977207932
matched_unweighted_practical,query_primary_boundary_safe,unweighted,Unweighted,10,0.11992055302110356,0.006963379057255021,0.00220201380320419,0.24617006903340588,0.01809070666275094,0.005720783753627654,0.21893645906503298,0.01411898547897725,0.00446481523644115,8.04986820983506,0.2803848472148239,0.08866547385971617,18.755839600310267,0.9003993809626282,0.2847312847647557,0.9530648592319068,0.0340999898491369,0.01078336361118941
matched_raw_operational_structure,observed_test_parent_weighted,unweighted,Unweighted,10,0.05746900289003123,0.00911629508693697,0.0028828256296923533,0.270467705672997,0.028596826760294052,0.009043110641578317,0.225170488445558,0.02433589828623265,0.007695686749068346,8.214477992447312,0.8952450752304774,0.2831013501777099,21.64823091970562,1.7624370985363262,0.5573315464153401,0.9406544453039553,0.039010320875266034,0.012336146621985395
