protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg
matched_raw_operational_structure,observed_test_unweighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270222,0.007783565971800799,0.08096243762985961,0.0658762134598252,1.6227931810511862
matched_raw_operational_structure,observed_test_unweighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270302,0.01696153263262091,0.10482413922797654,0.08615605428295386,2.181505326122524
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261202,0.030044871388402623,0.18262483644802593,0.1495352552414339,4.19626037944318
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261212,0.012316359780510946,0.12470243568819403,0.10124234429427992,3.422048526648786
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261222,0.0339724790371519,0.13705240892343315,0.11187816258721595,3.4749990004528994
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270102,0.03263776060584336,0.1985538439570789,0.16090381943411639,4.029410677369202
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270112,0.013944220322804977,0.1561387515604206,0.12718004942257183,3.7657757039750432
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270122,0.12395295246708643,0.3848632434670926,0.3224393722263981,8.152725011991102
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270202,0.051741927379423625,0.18201302652732954,0.1493771403720046,4.615583043720589
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270212,0.038597089636329004,0.19214713547482792,0.15643700375773006,3.506412173877581
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270222,0.013536343500022197,0.13548747094690938,0.11028970509208322,2.9397507587120835
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270302,0.02981172924302288,0.178360197472385,0.14667031427598892,3.3592818673206537
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261202,0.010314074402905465,0.05329680200245135,0.04528201001219512,1.3762524962630955
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261212,0.011780118006927076,0.03948849855802139,0.034013561601956566,1.177017295207028
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261222,0.009086419624012063,0.04393587512763128,0.03713674071380857,1.5299663866008206
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270102,0.011226351916647392,0.0413257468265224,0.035421231047099544,1.4001440091262385
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270112,0.01188714191573173,0.04197336682788466,0.036059136993895485,1.4438498324511073
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270122,-0.00016729676971620477,0.13784152190230686,0.11586762705382192,3.708475104030736
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270202,0.010991177110883987,0.04545326923242382,0.038815316679194245,1.23667839677187
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270212,0.009663073476379014,0.03769894452588746,0.03226969610840111,0.5073523772465505
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270222,0.010458035536061977,0.04270239607285209,0.03642166782440512,0.9344396008007649
