loss_name,loss_label,n_basis,n_diffusion_modes,n_seeds,weighted_validation_nrmse_radial_mean,weighted_validation_nrmse_radial_std,weighted_validation_nrmse_radial_sem,unweighted_validation_nrmse_radial_mean,unweighted_validation_nrmse_radial_std,unweighted_validation_nrmse_radial_sem,weighted_validation_nrmse_tangential_mean,weighted_validation_nrmse_tangential_std,weighted_validation_nrmse_tangential_sem,weighted_validation_nrmse_3d_mean,weighted_validation_nrmse_3d_std,weighted_validation_nrmse_3d_sem
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",3,0,10,0.9607547024134815,0.0104166670462651,0.0032940393493816264,0.8765568434861842,0.006436433782629455,0.0020353790761962185,0.8480966361968554,0.005955038538142296,0.0018831485334609144,0.8866737086345153,0.0055839960164718394,0.0017658145857358117
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",35,32,10,0.7780022317546145,0.010135177064394629,0.003205024401258607,0.6634793453972099,0.018603361676609413,0.005882899503397451,0.7620979924648931,0.009309474587185455,0.002943914351496181,0.7673711049373506,0.0074273875717935315,0.002348746179169495
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",67,64,10,0.6243218341389981,0.01585096709970295,0.005012515915145461,0.5204864614006018,0.013891621324290225,0.004392916377732165,0.6734167481963224,0.017411444625212234,0.005505982236956745,0.6578782413739148,0.012292013082785337,0.003887075837018952
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",131,128,10,0.5191148555736165,0.014428552495695943,0.004562708922570599,0.43819045842815,0.014808937362927906,0.004682997179361974,0.6123472980565305,0.011785541099669516,0.0037269153332481183,0.5834275574319723,0.009048658895297431,0.002861437187908295
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",259,256,10,0.3603932900268904,0.008264663351327873,0.0026135160284716462,0.3022112136007443,0.006724494473099635,0.002126471864820871,0.6216671741826254,0.010101440182437953,0.0031943558624450735,0.549742809711369,0.008171700970850333,0.0025841187425696263
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",387,384,10,0.2847691481095805,0.011315988583739115,0.003578429790107862,0.24168211847040838,0.006156705189301407,0.0019469211280370572,0.5918912353626399,0.012651259309535149,0.0040006794687540235,0.5118325816427761,0.009807429088556315,0.0031013813910427163
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",514,511,10,0.23692355448059751,0.01019844226069833,0.003225030612952343,0.1964400780366879,0.0071903784421661334,0.0022737973115818278,0.586597387589386,0.018694724676031046,0.0059117910206011514,0.49952121000739036,0.01462939735655514,0.004626221644236066
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",643,640,10,0.19162719042504367,0.00851989451182998,0.002694227208175112,0.15763546565087322,0.0054556659495582785,0.0017252330553629452,0.4758423158080534,0.01798908527031008,0.005688648247716561,0.40512193599057733,0.014390922794302076,0.004550809366162936
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",771,768,10,0.1735697336637031,0.007279481965271141,0.002301974319637554,0.143012845872011,0.005439216578620839,0.0017200313075390163,0.4820129910147866,0.01999305675294688,0.006322359672832247,0.4073325457806988,0.015366128717798805,0.004859196556756694
optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",899,896,10,0.156082726216188,0.006808826901336213,0.0021531401202048994,0.1268253507612393,0.005777103855264117,0.0018268806461974334,0.43320294318701913,0.021392481786399124,0.006764896724868889,0.3660793635240255,0.01590493488066857,0.005029582025957104
