selector,replicate,label_seed,loss_name,loss_label,loss_gamma,loss_cap,loss_ess_train,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,weighted_validation_nrmse_radial,unweighted_validation_nrmse_radial,weighted_validation_nrmse_tangential,weighted_validation_nrmse_3d,candidate_id
raw_hidden_3d_validation_diagnostic,7,20270202,unweighted,Unweighted,0.0,1.0,6945.0,2562,2559,1e-06,2.0,0.0,0.0711169409650366,0.0486676859300117,0.2460128659351606,0.2067477145137399,160
practical_operational_radial_validation,7,20270202,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0702658767925014,0.0493862323802703,0.2526132090174547,0.211995941777865,162
practical_hidden_3d_validation_diagnostic,7,20270202,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0702658767925014,0.0493862323802703,0.2526132090174547,0.211995941777865,162
raw_operational_radial_validation,8,20270212,unweighted,Unweighted,0.0,1.0,6945.0,3330,3327,1e-06,2.0,0.0,0.0545608538092429,0.0417622521975017,0.2864228016418754,0.2350072664288178,163
raw_hidden_3d_validation_diagnostic,8,20270212,unweighted,Unweighted,0.0,1.0,6945.0,2307,2304,1e-06,2.0,0.0,0.0603919039034837,0.0444535717980888,0.2697147747562895,0.2220690250527842,159
practical_operational_radial_validation,8,20270212,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.055643905603547,0.0428022303328484,0.277254026487907,0.2277129928464407,162
practical_hidden_3d_validation_diagnostic,8,20270212,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.055643905603547,0.0428022303328484,0.277254026487907,0.2277129928464407,162
raw_operational_radial_validation,9,20270222,unweighted,Unweighted,0.0,1.0,6945.0,4354,4351,1e-06,2.0,0.0,0.0627028484163234,0.0470079415056387,0.2724450198800641,0.2256184494109043,167
raw_hidden_3d_validation_diagnostic,9,20270222,unweighted,Unweighted,0.0,1.0,6945.0,2818,2815,1e-06,2.0,0.0,0.0671948936468052,0.0466552679427905,0.2510631004719851,0.2088481003495441,161
practical_operational_radial_validation,9,20270222,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0655078577630636,0.0454378804312259,0.26023952399575,0.2160520209328895,162
practical_hidden_3d_validation_diagnostic,9,20270222,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0655078577630636,0.0454378804312259,0.26023952399575,0.2160520209328895,162
raw_operational_radial_validation,10,20270302,unweighted,Unweighted,0.0,1.0,6945.0,4354,4351,1e-06,2.0,0.0,0.0626944391284198,0.0455585093748225,0.2774558656604627,0.2288010877073395,167
raw_hidden_3d_validation_diagnostic,10,20270302,unweighted,Unweighted,0.0,1.0,6945.0,2818,2815,1e-06,2.0,0.0,0.0675071259384456,0.047239578867852,0.2645103457556393,0.2188855822468397,161
practical_operational_radial_validation,10,20270302,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0644413675736379,0.0456572179162849,0.2722697823940401,0.2248003418259018,162
practical_hidden_3d_validation_diagnostic,10,20270302,unweighted,Unweighted,0.0,1.0,6945.0,3074,3071,1e-06,2.0,0.0,0.0644413675736379,0.0456572179162849,0.2722697823940401,0.2248003418259018,162
