loss_name,n_basis,regularization_strength,penalty_power,count
optimized_gamma0p75_cap20,2818,1e-06,2.0,9
optimized_gamma0p75_cap20,2818,0.0001,1.0,1
previous_mock2_gamma1p00_cap50,2818,1e-06,2.0,9
previous_mock2_gamma1p00_cap50,2818,0.0001,1.0,1
unweighted,3074,1e-06,2.0,9
unweighted,3074,0.0001,1.0,1
