protocol,subset,comparison,n_seeds,delta_nrmse_radial_mean,delta_nrmse_radial_std,delta_nrmse_radial_median,delta_nrmse_radial_sem,delta_nrmse_radial_ci_low,delta_nrmse_radial_ci_high,delta_nrmse_radial_probability_mean_below_zero,delta_nrmse_radial_wins,delta_nrmse_radial_ties,delta_nrmse_radial_losses,delta_nrmse_radial_sign_test_pvalue_two_sided,delta_nrmse_tangential_mean,delta_nrmse_tangential_std,delta_nrmse_tangential_median,delta_nrmse_tangential_sem,delta_nrmse_tangential_ci_low,delta_nrmse_tangential_ci_high,delta_nrmse_tangential_probability_mean_below_zero,delta_nrmse_tangential_wins,delta_nrmse_tangential_ties,delta_nrmse_tangential_losses,delta_nrmse_tangential_sign_test_pvalue_two_sided,delta_nrmse_3d_mean,delta_nrmse_3d_std,delta_nrmse_3d_median,delta_nrmse_3d_sem,delta_nrmse_3d_ci_low,delta_nrmse_3d_ci_high,delta_nrmse_3d_probability_mean_below_zero,delta_nrmse_3d_wins,delta_nrmse_3d_ties,delta_nrmse_3d_losses,delta_nrmse_3d_sign_test_pvalue_two_sided,delta_direction_error_median_deg_mean,delta_direction_error_median_deg_std,delta_direction_error_median_deg_median,delta_direction_error_median_deg_sem,delta_direction_error_median_deg_ci_low,delta_direction_error_median_deg_ci_high,delta_direction_error_median_deg_probability_mean_below_zero,delta_direction_error_median_deg_wins,delta_direction_error_median_deg_ties,delta_direction_error_median_deg_losses,delta_direction_error_median_deg_sign_test_pvalue_two_sided
matched_raw_operational_structure,observed_test_parent_weighted,optimized_minus_unweighted,10,0.002431499861581623,0.0019589765952131824,0.0019308197106225299,0.000619482792383536,0.0015358285793706805,0.0037243798974070227,0.0,0,0,10,0.001953125,0.0468967495899118,0.03215401298546315,0.03752019866449552,0.01016799169486941,0.03482626842146488,0.06795864125640755,0.0,0,0,10,0.001953125,0.03849875783339566,0.02658965814545427,0.030808665151051073,0.008408388194488421,0.028485413312934475,0.05586999044946106,0.0,0,0,10,0.001953125,1.242753139413295,0.9340217967733802,0.9139826639853439,0.295363626204679,0.8442176613852932,1.8678991389055362,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_parent_weighted,previous_minus_unweighted,10,0.004191300841164181,0.003076572673333389,0.0033017319921835493,0.0009728977034766684,0.0027161446436323555,0.006241225216021583,0.0,0,0,10,0.001953125,0.07539502222961117,0.03967901015848348,0.06308227432994512,0.012547604740176648,0.05989454338202738,0.10172426112456191,0.0,0,0,10,0.001953125,0.06191596910241787,0.03288909479958759,0.051704274648628756,0.010400444974789586,0.04907669301542462,0.08371188118579881,0.0,0,0,10,0.001953125,1.9143109380568764,1.2741341860710087,1.4812075615964484,0.40291660726691714,1.373684948458001,2.7576453841381183,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_unweighted,optimized_minus_unweighted,10,0.023705282780809255,0.026602799893332054,0.01654912557884656,0.008412543980061369,0.012517956775543791,0.04133119490898974,0.0,0,0,10,0.001953125,0.11303864634618055,0.06471148238544897,0.09957183333661214,0.020463567510388483,0.08603291225487864,0.15600687970474245,0.0,0,0,10,0.001953125,0.09289561292953934,0.054895168854724494,0.08115560405584032,0.017359376612046624,0.07017227592982517,0.12950028232017827,0.0,0,0,10,0.001953125,2.695891952915493,1.2054000578723418,2.3775485876592355,0.38118096745753777,2.170480729312348,3.4960446577491826,0.0,0,0,10,0.001953125
matched_raw_operational_structure,observed_test_unweighted,previous_minus_unweighted,10,0.03805557333605979,0.03264145800083322,0.03134131599712299,0.010322135343135929,0.022642302504080947,0.05984525137746033,0.0,0,0,10,0.001953125,0.1871943350465697,0.07409440944157797,0.18018661199985725,0.023430709572047105,0.1531715742565486,0.23691299575295396,0.0,0,0,10,0.001953125,0.1535953166703823,0.06298706592305862,0.14802372732399677,0.019918259144804128,0.12486474291305014,0.19552744584052123,0.0,0,0,10,0.001953125,4.146224714351112,1.4866975355449668,3.636093938926312,0.4701350404081233,3.4832729332789554,5.14064886949031,0.0,0,0,10,0.001953125
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,10,0.0095525806929882,0.0035265244226379945,0.010386054969483721,0.0011151849399746322,0.007211420784496542,0.011038598396633651,0.0,1,0,9,0.021484375,0.053817734588842446,0.030024673706410723,0.043319135600241684,0.009494635491562755,0.042036916093061615,0.07365119198628753,0.0,0,0,10,0.001953125,0.04573519036859676,0.02504696109209161,0.036779204269106844,0.00792054455166279,0.0358952556182342,0.06223841507636457,0.0,0,0,10,0.001953125,1.4003232936352963,0.8783719231221528,1.3064654465174828,0.2777655909808321,0.9812676355189325,1.9918739148051643,0.0,0,0,10,0.001953125
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,10,0.01153775008434435,0.004050895558426171,0.012584506527915484,0.0012810056528086392,0.008836019400522623,0.013267049977360685,0.0,0,0,10,0.001953125,0.08083721425941112,0.03795647554041373,0.06730493486869507,0.012002891466017785,0.06533900116846908,0.10593674351541744,0.0,0,0,10,0.001953125,0.06832836443539843,0.03181113852828319,0.056946037230259275,0.010059565271251155,0.055348401153065295,0.08949839048077166,0.0,0,0,10,0.001953125,1.9963674875212525,1.1817973105648463,1.6608325240654507,0.37371712340462854,1.4223442391219883,2.769416282190364,0.0,0,0,10,0.001953125
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,10,0.0022737510306153307,0.0023029445364812,0.0017672722344471425,0.0007282550060321322,0.0013084122657326138,0.003805663178171726,0.0,0,0,10,0.001953125,0.04760322900612922,0.035454660400323496,0.03733413601501301,0.011211748053279947,0.03468923187730445,0.07068891407517898,0.0,0,0,10,0.001953125,0.039011715565272435,0.029306504919427653,0.030292480023314902,0.009267530580432077,0.028393586533840755,0.058090935896167026,0.0,0,0,10,0.001953125,1.4228254058509497,1.0440104163438984,1.0877536624328106,0.33014508165873985,1.0127884229386064,2.1146903632394314,0.0,0,0,10,0.001953125
matched_unweighted_practical,observed_test_parent_weighted,previous_minus_unweighted,10,0.0041450687854451326,0.0035019352847757176,0.003466904011000381,0.0011074091718401642,0.0025784369038714776,0.006459274961136458,0.0,0,0,10,0.001953125,0.07879016088533575,0.04409204633994848,0.06559266571660272,0.013943129313192804,0.0616977649396069,0.10786767437567484,0.0,0,0,10,0.001953125,0.06461077778925732,0.036530679329234504,0.05393934160368184,0.011552015115361306,0.05057253255692481,0.08870452650348386,0.0,0,0,10,0.001953125,2.20458297594672,1.3773699262608796,1.7036759588520818,0.4355626147602547,1.6454235311804821,3.1123003130618523,0.0,0,0,10,0.001953125
matched_unweighted_practical,observed_test_unweighted,optimized_minus_unweighted,10,0.024483298810229953,0.02953691841174331,0.016254370470974732,0.009340393724367195,0.012446580451835823,0.04413835656688055,0.0,0,0,10,0.001953125,0.11033176777827106,0.07743259579282248,0.09164035689412378,0.024486336784449055,0.07676213973706818,0.16193714832882877,0.0,0,0,10,0.001953125,0.09075041133297627,0.06542169311835537,0.07523893691918439,0.020688155863856656,0.06273231870265009,0.13414062031899546,0.0,0,0,10,0.001953125,2.6818199558651203,1.5253067806270597,2.195619847466698,0.48234435572803014,2.0240615705494447,3.7061723347749074,0.0,0,0,10,0.001953125
matched_unweighted_practical,observed_test_unweighted,previous_minus_unweighted,10,0.0397940820651022,0.036191846504350575,0.03184066443631464,0.011444866768095087,0.023419181831772298,0.06405446970447445,0.0,0,0,10,0.001953125,0.18777969078717177,0.09170818297055434,0.17154790002490194,0.02900067382624182,0.1448636861892068,0.24894863194099276,0.0,0,0,10,0.001953125,0.15416715108407802,0.07750184660820475,0.14087749857317547,0.024508235815092233,0.11817283641082676,0.20563563370413793,0.0,0,0,10,0.001953125,4.188011660595367,1.9479215881838396,3.5388626559159895,0.6159868922073466,3.320188352664475,5.4887991880823765,0.0,0,0,10,0.001953125
