model_id,model_role,protocol,selector,loss_name,loss_label,subset,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,n,nrmse_radial,nrmse_tangential,nrmse_3d,direction_error_median_deg,direction_error_p90_deg,vector_gain_through_origin,replicate,label_seed
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,2050,2047,1e-06,2.0,0.0,1489,0.08230605946185283,0.26090196935256765,0.2191875344776377,8.559615994436452,23.023849430573808,0.9527479381143609,2,20261212
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,2050,2047,1e-06,2.0,0.0,1489,0.05547510209703463,0.20917910785952137,0.17269757239021052,5.930730835923338,17.013203081909246,0.9753039232056144,2,20261212
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,2050,2047,1e-06,2.0,0.0,266,0.1133323813090105,0.2501890353622757,0.22115725551265603,8.06935835805947,19.472549725114533,0.9687996996957897,2,20261212
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06522081332168292,0.2641167032698684,0.21990000732606352,7.628504147652008,22.39244827902924,0.9529564258461157,2,20261212
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.044181536510195324,0.20912231534244632,0.17153244534271078,5.688549945447946,16.872243187757277,0.9730200748805972,2,20261212
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.1217618446841656,0.24393444792928,0.21729044437035408,7.78289120520156,18.83097282381759,0.9655212617769259,2,20261212
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06522081332168292,0.2641167032698684,0.21990000732606352,7.628504147652008,22.39244827902924,0.9529564258461157,2,20261212
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.044181536510195324,0.20912231534244632,0.17153244534271078,5.688549945447946,16.872243187757277,0.9730200748805972,2,20261212
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.1217618446841656,0.24393444792928,0.21729044437035408,7.78289120520156,18.83097282381759,0.9655212617769259,2,20261212
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06522081332168292,0.2641167032698684,0.21990000732606352,7.628504147652008,22.39244827902924,0.9529564258461157,2,20261212
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.044181536510195324,0.20912231534244632,0.17153244534271078,5.688549945447946,16.872243187757277,0.9730200748805972,2,20261212
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.1217618446841656,0.24393444792928,0.21729044437035408,7.78289120520156,18.83097282381759,0.9655212617769259,2,20261212
