support,n_basis,n_diffusion_modes,n_fit_observations,n_query,numerical_rank,nullity,condition_number,coefficient_relative_error,n,nrmse_radial,nrmse_tangential,nrmse_3d,direction_error_median_deg,direction_error_p90_deg,median_abs_relative_speed_error,mean_residual_x,mean_residual_y,mean_residual_z,mean_residual_magnitude,vector_gain_through_origin,predicted_to_reference_rms_3d,radial_calibration_slope,closure_status
region_primary,3,0,8510,283,3,0,1.3397286821518015,3.134099949159421e-16,283,4.951373795508616e-16,4.2926527239944167e-16,4.4227285446764704e-16,0.0,0.0,2.797179134763882e-16,1.7053025658242478e-13,0.0,5.68434188608083e-14,1.7975467359112789e-13,1.0,1.0000000000000002,1.0000000000000004,pass
common_strict,3,0,8510,32,3,0,1.3397286821518015,3.134099949159421e-16,32,6.277474366857194e-16,3.9660220425047877e-16,4.4227285446764704e-16,0.0,0.0,2.797179134763882e-16,1.7053025658242404e-13,0.0,5.684341886080802e-14,1.797546735911271e-13,1.0000000000000002,1.0000000000000002,1.0000000000000002,pass
region_primary,131,128,8510,283,131,0,141.67799435365285,1.1880544415849816e-14,283,3.4701321952640564e-15,3.932024099347462e-15,3.757219577233501e-15,0.0,1.2074182697257333e-06,2.5844839536640923e-15,-9.466161659008906e-14,-2.085493144490222e-14,5.212399024376184e-14,1.1005753122777367e-13,1.0,0.9999999999999999,1.0,pass
common_strict,131,128,8510,32,131,0,141.67799435365285,1.1880544415849816e-14,32,2.378051246194553e-15,3.921747482342875e-15,3.081918977900788e-15,0.0,6.830189170012757e-07,2.8495794219660518e-15,-5.723199691942682e-14,1.75470749042006e-13,3.128608483393691e-13,3.632456409433947e-13,0.9999999999999996,0.9999999999999996,0.9999999999999992,pass
region_primary,514,511,8510,283,514,0,881.8663852359983,1.905334250594913e-14,283,4.8614167885559576e-15,9.432939686420147e-15,7.885839429506103e-15,0.0,1.2074182697257333e-06,4.084907454149329e-15,5.963427631564301e-15,-8.91363935940393e-14,-8.126028315096969e-14,1.2076461712705492e-13,0.9999999999999993,0.9999999999999996,0.9999999999999984,pass
common_strict,514,511,8510,32,514,0,881.8663852359983,1.905334250594913e-14,32,3.1799115784225446e-15,7.840214017369844e-15,6.751915450574068e-15,0.0,8.537736462515939e-07,2.969183924593566e-15,6.372680161348399e-13,5.172251515972448e-14,2.9243274468626623e-13,7.030666064660057e-13,1.0000000000000007,1.0000000000000004,1.0000000000000002,pass
