working_model,noise_fraction,n_basis,validation_mean,validation_std_between_seeds,validation_observed_nrmse_mean,validation_latent_nrmse_radial_mean,validation_hidden_nrmse_3d_mean,validation_hidden_nrmse_tangential_mean,n_seed_pairs,validation_sem_between_seeds
gls_correct,0.05,3,22.384094427679386,0.20004429051897768,0.9731369980668234,0.9730122277988096,1.040296104971054,1.0870911735855566,5,0.08946252642223015
gls_correct,0.05,6,21.000482642093193,0.21633744936950322,0.9444219708268322,0.9440948453107605,0.9313686592747746,0.9217867985718083,5,0.09674904857382564
gls_correct,0.05,11,20.77074846602613,0.02179791263557859,0.9334724929274933,0.9331357968251497,0.926038037071675,0.9206853201702863,5,0.009748322884151065
gls_correct,0.05,19,14.716226974444064,0.3518823686461615,0.6842666364705557,0.6832127707347286,0.7822884099126326,0.8475945750973788,5,0.15736657927529155
gls_correct,0.05,35,12.376135299616376,0.4299836317174876,0.5884797812194705,0.5871876371048261,0.6812452973663929,0.7426951400384981,5,0.19229452594650737
gls_correct,0.05,67,11.09308522617107,0.3072771488640636,0.5294477390673691,0.5280335235473956,0.6613507187386244,0.7443283329377761,5,0.1374185185584737
gls_correct,0.05,131,9.256021304065944,0.21860373577219627,0.4461890324967361,0.4445498211398776,0.6461199832323892,0.7606946049175022,5,0.09776256266440667
gls_correct,0.05,259,6.736207145297049,0.08585857160099303,0.32030731186876504,0.31704385280088154,0.5663557781013131,0.6945598813402738,5,0.03839712051017067
gls_correct,0.05,387,5.777951890607618,0.1408703551388415,0.27463242783950637,0.2707956772742911,0.5519476420486866,0.6886542582802869,5,0.06299913802099728
gls_correct,0.05,514,5.157927376924723,0.21349814113310936,0.24030409428615496,0.23571785747854873,0.547889303359595,0.6925455502898547,5,0.0954792713286953
gls_correct,0.05,643,4.556188453594516,0.23935688278562292,0.21318489809168867,0.20789465456053402,0.5225720987844846,0.6642793082736453,5,0.10704365215822041
gls_correct,0.05,771,4.125918199434574,0.20428773394453245,0.19202362983502247,0.18590412703752238,0.5198865490833433,0.6655369443468798,5,0.09136025201387316
gls_correct,0.05,899,3.8482946056330114,0.07572981917970424,0.17821647937244617,0.1717701089568266,0.5308901864496078,0.6831771456156578,5,0.03386740472191721
gls_correct,0.05,1027,3.606827650841388,0.06836342305346571,0.1647922657141076,0.1576271631531567,0.5482903022209135,0.7093041240950558,5,0.030573052224425114
gls_correct,0.05,1283,3.357315836954631,0.11738629904602202,0.1514562032239501,0.14346546144782163,0.5305922174788364,0.6879583132708973,5,0.05249674885880479
gls_correct,0.05,1539,3.310871661884909,0.08496638503884213,0.14772581244310218,0.13983649975787038,0.5014207994593207,0.6493551104958449,5,0.03799812254985442
gls_correct,0.05,1795,3.275170825330625,0.117220189358368,0.14666114608774064,0.13854865533431002,0.47834283908235475,0.6188176358123781,5,0.05242246234814166
gls_correct,0.05,2050,3.273649332519748,0.12202311085723659,0.14589941405396406,0.1375955705598891,0.46150036924762877,0.5963150520492524,5,0.05457039414055473
gls_correct,0.1,3,11.228436134765678,0.09709502230733957,0.9734150652491026,0.9730337651468226,1.0402417329461073,1.0869866443550174,5,0.04342221403121395
gls_correct,0.1,6,10.539564014082897,0.10568463130095544,0.9450140832818137,0.9440834124038318,0.9313652610421531,0.9217905777410392,5,0.047263603953187676
gls_correct,0.1,11,10.424768452511426,0.012029595578452075,0.9341178493837893,0.9331109797953889,0.9260808085311144,0.9207805982382583,5,0.005379798691049949
gls_correct,0.1,19,7.410804688740541,0.17240144051105874,0.6870647539693046,0.6831202256393499,0.7824530157022787,0.847907188997236,5,0.07710026808032268
gls_correct,0.1,35,6.248486495000118,0.21335302601980166,0.5925303058893077,0.5872603191224063,0.6811602082582803,0.7425118255739468,5,0.09541437387711157
gls_correct,0.1,67,5.612420152955837,0.15058475442522226,0.5343364797893863,0.528216560504088,0.6610677794207508,0.7437901699341944,5,0.06734354945398184
gls_correct,0.1,131,4.706528169420741,0.10745185885635661,0.4524782554907835,0.44487491439472826,0.646549709852529,0.7611767352639525,5,0.04805393214230524
gls_correct,0.1,259,3.4838272826655965,0.041665808053233416,0.33098032075303985,0.31783662185788897,0.5680090783129261,0.6966324797886203,5,0.018633515828897617
gls_correct,0.1,387,3.0254238572061336,0.06635444881825801,0.28762751739381837,0.27210061246853223,0.5538770966333867,0.6909562537546107,5,0.0296746116334311
gls_correct,0.1,514,2.7368115757254214,0.09909724724890943,0.25615065639824514,0.23811951022323224,0.5317634885251742,0.6697126296994366,5,0.0443176362463331
gls_correct,0.1,643,2.461773655705644,0.10925394355171202,0.23123467994692706,0.21080919362774844,0.5206141490057646,0.6609796093386441,5,0.04885984891831057
gls_correct,0.1,771,2.2769511695212326,0.08376412022720783,0.2132893243572072,0.19018965184448175,0.5263189160146501,0.673366601323468,5,0.037460453380700365
gls_correct,0.1,899,2.158546544671612,0.04114859366699963,0.20186609958492893,0.17749289513207217,0.522644032286958,0.6708942970716063,5,0.018402210523585705
gls_correct,0.1,1027,2.066220553292175,0.035897989123822686,0.19177100874023917,0.16616694608363636,0.517942985887089,0.6665934437274957,5,0.01605406878728313
gls_correct,0.1,1283,1.976843420623614,0.04071804004814179,0.18239379659525615,0.15468161193609714,0.4865364060769449,0.6264509927964339,5,0.01820966109164077
gls_correct,0.1,1539,1.9280288103267758,0.04366982029910156,0.17636362051038038,0.147149895665814,0.4546220750668267,0.585334871188389,5,0.019529737350798257
gls_correct,0.1,1795,1.9022895140740332,0.04859260234930159,0.17361213272955625,0.14374808479125883,0.45014459837300647,0.579933415113529,5,0.021731272411330868
gls_correct,0.1,2050,1.8979885877883411,0.050570689660661174,0.17309161580616192,0.14303490780422118,0.4490250719833435,0.5785447923173173,5,0.02261589995005683
gls_correct,0.2,3,5.683256227696175,0.04528644730440705,0.9743389136179819,0.9730814820471,1.0401382987481316,1.0867830032124841,5,0.020252714926423252
gls_correct,0.2,6,5.343851099552786,0.050182457791437825,0.9469598518613012,0.9440634582328506,0.9313837771714957,0.9218399165669181,5,0.022442277379933786
gls_correct,0.2,11,5.286943749669906,0.00958474034139799,0.9363507857080939,0.9330836344516651,0.9262027754945681,0.9210179808026734,5,0.004286426190010089
gls_correct,0.2,19,3.806825027484561,0.081947481096234,0.6980512301138596,0.6831282419074276,0.7827090570041235,0.8483123386955634,5,0.03664802766321164
gls_correct,0.2,35,3.242266835492231,0.10269127594480872,0.6080754033005652,0.5875781937730464,0.6809653755393466,0.7420072091321684,5,0.04592493474175625
gls_correct,0.2,67,2.936255114234019,0.07040789652732744,0.5530181447710921,0.5287102625240399,0.6614692836483769,0.7441464816160179,5,0.031487368557575106
gls_correct,0.2,131,2.5080335213423757,0.05016318853443578,0.47697282975728916,0.44614720360462484,0.6474880881134932,0.7620022069344066,5,0.02243365990622729
gls_correct,0.2,259,1.956671600555622,0.01923804217177139,0.36952145961820315,0.320936488383031,0.572876848863128,0.7024679160338744,5,0.008603514010017702
gls_correct,0.2,387,1.7608197490511603,0.02782163658206586,0.3333331219283666,0.2769606740274958,0.5574342993989031,0.6945644609265411,5,0.012442214128558834
gls_correct,0.2,514,1.6447574103815832,0.039217596351620636,0.30852855810855156,0.24502656451822807,0.5322153510931213,0.6685702288843055,5,0.017538642271274295
gls_correct,0.2,643,1.5394547073742542,0.04222279586378484,0.2899038516272815,0.21993919332509285,0.5064403990770627,0.6396514370631097,5,0.018882608350303972
gls_correct,0.2,771,1.4769916831113625,0.028626543056353388,0.277816137676023,0.2027291066584343,0.49355821491258717,0.626284630126156,5,0.012802179246966153
gls_correct,0.2,899,1.4359724860875738,0.019716740375303864,0.27014946927453076,0.19168170822607017,0.4808317095751519,0.6116145188167964,5,0.008817594354778831
gls_correct,0.2,1027,1.4056406565031856,0.017722716727151328,0.2632550739936297,0.1814822524718297,0.474200398782241,0.6048844710030409,5,0.007925839869576592
gls_correct,0.2,1283,1.3741461754455584,0.014961939266918954,0.257277819751362,0.17168666785288642,0.46829095490553013,0.5989920621100138,5,0.00669118265521083
gls_correct,0.2,1539,1.3534373156062431,0.013255291368859392,0.2529634713010006,0.16501579706937652,0.4661421673379089,0.5974445867708124,5,0.005927946512467168
gls_correct,0.2,1795,1.345477845195736,0.014669055564191449,0.2514717243533748,0.16271516013704948,0.4634851591780965,0.5942992138024724,5,0.006560201081450722
gls_correct,0.2,2050,1.3447865915506931,0.015290930799221494,0.2513615575466488,0.16235012238754853,0.4621898217864583,0.5926085879794949,5,0.006838312141260889
gls_correct,0.4,3,2.972693875462384,0.01907775132543977,0.9772866736430496,0.9731954802392593,1.039952681610154,1.0863974121390945,5,0.008531829764304007
gls_correct,0.4,6,2.811467279456008,0.022447563511337632,0.9531645242544418,0.9441472060706817,0.9310478791399561,0.9211830547076071,5,0.010038855588118963
gls_correct,0.4,11,2.784302770236919,0.009957920916401452,0.9436208649813451,0.9330981096662597,0.9266037411683492,0.9217136576309161,5,0.004453317616728129
gls_correct,0.4,19,2.092241960834185,0.03600829709729144,0.7351567663597154,0.6836561889653555,0.7839981899522914,0.8500553861274021,5,0.016103400012710403
gls_correct,0.4,35,1.8382790221443575,0.044264130968634435,0.6593531678545853,0.5885996975574554,0.6814808222614019,0.7422141906642282,5,0.01979552116216404
gls_correct,0.4,67,1.7051926517852654,0.02837367973854594,0.6144535073912001,0.5305654423686745,0.664269908495611,0.7474820710352675,5,0.012689095333439435
gls_correct,0.4,131,1.527760809231312,0.020291637247953784,0.5550307321490293,0.4505951099793797,0.6531148163910997,0.7683586720172277,5,0.009074696052238283
gls_correct,0.4,259,1.3233492348739906,0.0094336285166434,0.48020274998383405,0.3323205934261354,0.589506541969253,0.722130162802493,5,0.004218846927539029
gls_correct,0.4,387,1.2594830174422904,0.008611292470767388,0.4582532308597867,0.2944834618411269,0.5777552822223513,0.7178116247960966,5,0.0038510870677536
gls_correct,0.4,514,1.2269812410132417,0.011623816670109314,0.4447505107515875,0.2688924778931933,0.5585376859033032,0.6985279068789365,5,0.0051983288464719345
gls_correct,0.4,643,1.1987662906296088,0.014326796965689169,0.4352976070426721,0.25023153297064404,0.5415549846897554,0.6801620017461903,5,0.00640713838302374
gls_correct,0.4,771,1.1850544109266008,0.011390543656804007,0.4302504001621433,0.23904423680689008,0.5314748804978768,0.6692859530034438,5,0.005094005983458558
gls_correct,0.4,899,1.1760292825603347,0.008094661001374367,0.42728117864391024,0.23292990921717727,0.5279151128432258,0.6660113022027376,5,0.0036200424507779206
gls_correct,0.4,1027,1.1707601767710745,0.0071274845268221075,0.4246533959355765,0.2275008031516371,0.522826223042608,0.6604071077716281,5,0.0031875079821104308
gls_correct,0.4,1283,1.1684376280125712,0.005108178490298533,0.42371873290544915,0.2246821227194759,0.5188975686814292,0.6557340567648821,5,0.002284446869101954
gls_correct,0.4,1539,1.1657914192655643,0.004036588641026887,0.4227244910271882,0.2227917641816684,0.5165798888978572,0.6530125771479838,5,0.001805217319707923
gls_correct,0.4,1795,1.1651186417681085,0.004701692897567217,0.42262716253684757,0.22287133713787238,0.5134343422745011,0.6486596100018447,5,0.0021026609856576507
gls_correct,0.4,2050,1.1660757027914723,0.004639166131557029,0.42308613958385166,0.2234671946643775,0.5115268555194603,0.6458765920811955,5,0.00207469816581525
gls_correct,0.8,3,1.7211878075265605,0.007351955913651999,0.9843734726948534,0.9734976882009262,1.0396665359507717,1.0857131625820116,5,0.0032878946381014887
gls_correct,0.8,6,1.6525595348438995,0.010518247736911731,0.9676568041503785,0.9442598207699447,0.9319649532036758,0.9226921298218865,5,0.004703903388783591
gls_correct,0.8,11,1.6410574911238434,0.010427036199002019,0.9608351574480645,0.933116658360196,0.9285836002603556,0.9251528053309986,5,0.004663112348963908
gls_correct,0.8,19,1.3585081900758122,0.014539715871939175,0.8215866693272277,0.685265548802926,0.787731086498082,0.8550651223311558,5,0.006502358612637724
gls_correct,0.8,35,1.26330195709748,0.014303143401683559,0.7747987253965266,0.5922499074682012,0.6864873553193233,0.7480781487972339,5,0.006396560187618403
gls_correct,0.8,67,1.2174312177195656,0.007647090793082667,0.7490049372159888,0.5374113703714405,0.6745204180880738,0.7596223796516987,5,0.003419882968689124
gls_correct,0.8,131,1.161249794744359,0.007127317025864831,0.7173249095079288,0.4657706004229931,0.6749092609939338,0.7939335987365099,5,0.003187433073405078
gls_correct,0.8,259,1.10830385924311,0.007356844331082169,0.6847565201808845,0.36992806204736883,0.6389707340740958,0.779382178327638,5,0.0032900808048367397
gls_correct,0.8,387,1.0978442925557914,0.0069940484593854005,0.6787892077187442,0.3526292683439264,0.6618839380782877,0.8175968611809044,5,0.0031278335586226863
gls_correct,0.8,514,1.0972078562813001,0.006329757461266922,0.6770370208988855,0.34692525165974447,0.6696685330689801,0.8302206914183647,5,0.0028307535928958657
gls_correct,0.8,643,1.0964915924457757,0.00853719682093853,0.6765371331394407,0.34600846941063723,0.675524507161657,0.8386434443125935,5,0.00381795048578273
gls_correct,0.8,771,1.0999451301388103,0.008237482958636678,0.6781647813031202,0.34826370982570776,0.6803188350064083,0.8446955715260798,5,0.00368391437180154
gls_correct,0.8,899,1.1018468757518438,0.007107049358009965,0.6794827993556959,0.3523285677216486,0.6836432628125462,0.8481578849473547,5,0.003178369096791304
gls_correct,0.8,1027,1.1044807374634769,0.006956803122068202,0.6806280835429436,0.3582731848245994,0.6829463469215156,0.8452263484501209,5,0.0031111769374054534
gls_correct,0.8,1283,1.110835253222214,0.006021822545637862,0.6840582417040257,0.3683607971027791,0.6844031214521479,0.8440824927774898,5,0.0026930409120974174
gls_correct,0.8,1539,1.1135907236768836,0.004781179823573859,0.6859433963051348,0.37468680872185045,0.6816706839779567,0.8381815888113217,5,0.0021382086196323202
gls_correct,0.8,1795,1.1152586540268485,0.005625075849304557,0.6871567646170516,0.37898590116612707,0.6774906151566755,0.830851463226991,5,0.0025156103955274703
gls_correct,0.8,2050,1.1168169412941054,0.005559718717395094,0.6882516997852266,0.3814863972566179,0.6738608572701998,0.8248656509197408,5,0.0024863817975746745
gls_flattened,0.05,3,20.32929850369633,0.19422924864330438,0.968113400665206,0.9679545030737579,1.0679193657069885,1.135857329889537,5,0.08686196063702747
gls_flattened,0.05,6,19.446829694434506,0.17788027431412357,0.9386116672956399,0.9382934031630429,0.943792939259043,0.9477315939684547,5,0.079550477044538
gls_flattened,0.05,11,19.224466494669493,0.12271352280433069,0.9269748924370195,0.9266424953821165,0.9416936726801843,0.9525347397729493,5,0.054879155749790805
gls_flattened,0.05,19,13.82058609367283,0.337718744298343,0.6773067778712489,0.6762780026659407,0.8063879624639583,0.8897786015416568,5,0.15103241390539288
