working_model,noise_fraction,global_scale_factor,measurement_whitened_residual_rms_mean,coverage_observed_radial_68_mean,coverage_observed_radial_95_mean,coverage_latent_radial_68_mean,coverage_latent_radial_95_mean,n_seed_pairs
gls_correct,0.05,0.5,6.328560022152259,0.18315555555555557,0.34588888888888886,0.09788888888888889,0.18955555555555556,5
gls_correct,0.05,1.0,3.1642800110761296,0.35213333333333335,0.619688888888889,0.1933777777777778,0.36666666666666664,5
gls_correct,0.05,2.0,1.5821400055380648,0.6296666666666667,0.8916000000000001,0.37364444444444445,0.6357555555555556,5
gls_correct,0.1,0.5,3.658836255358338,0.2583111111111111,0.4804666666666667,0.1308,0.2524222222222222,5
gls_correct,0.1,1.0,1.829418127679169,0.48848888888888886,0.7888666666666667,0.2571333333333333,0.4699777777777777,5
gls_correct,0.1,2.0,0.9147090638395845,0.797,0.9759111111111111,0.4785111111111111,0.7654888888888889,5
gls_correct,0.2,0.5,2.6155463229071882,0.33168888888888887,0.5985555555555555,0.21575555555555556,0.4112222222222222,5
gls_correct,0.2,1.0,1.3077731614535941,0.6081555555555556,0.9014888888888889,0.41904444444444444,0.7090444444444445,5
gls_correct,0.2,2.0,0.6538865807267971,0.9070222222222222,0.997711111111111,0.7182444444444445,0.9518222222222222,5
gls_correct,0.4,0.5,2.2835670940073722,0.3707333333333333,0.6477999999999999,0.2981111111111111,0.5473333333333332,5
gls_correct,0.4,1.0,1.1417835470036861,0.6576666666666666,0.9371111111111112,0.5562666666666667,0.8616444444444443,5
gls_correct,0.4,2.0,0.5708917735018431,0.942311111111111,0.9997555555555555,0.8691111111111111,0.9948222222222223,5
gls_correct,0.8,0.5,2.1763737831145784,0.36995555555555554,0.6544222222222222,0.27097777777777776,0.4996666666666666,5
gls_correct,0.8,1.0,1.0881868915572892,0.6633333333333333,0.9407333333333334,0.5077333333333334,0.8115777777777777,5
gls_correct,0.8,2.0,0.5440934457786446,0.9457333333333334,0.9998888888888888,0.8194666666666667,0.9850888888888889,5
gls_flattened,0.05,0.5,5.878215669478844,0.1925111111111111,0.3642444444444444,0.10753333333333333,0.21326666666666666,5
gls_flattened,0.05,1.0,2.939107834739422,0.37115555555555557,0.6462444444444444,0.2177111111111111,0.40757777777777776,5
gls_flattened,0.05,2.0,1.469553917369711,0.6559111111111111,0.9140888888888888,0.4144222222222222,0.6931999999999999,5
gls_flattened,0.1,0.5,3.4468831084168214,0.26635555555555557,0.49268888888888895,0.1402222222222222,0.26893333333333336,5
gls_flattened,0.1,1.0,1.7234415542084107,0.501,0.8044666666666668,0.27424444444444446,0.4966666666666667,5
gls_flattened,0.1,2.0,0.8617207771042054,0.8130000000000001,0.9825333333333333,0.5057777777777778,0.7918444444444445,5
gls_flattened,0.2,0.5,2.5163255269353173,0.3410666666666667,0.6110222222222222,0.22728888888888887,0.4286888888888889,5
gls_flattened,0.2,1.0,1.2581627634676587,0.6207777777777779,0.9110888888888888,0.4363555555555555,0.7329111111111112,5
gls_flattened,0.2,2.0,0.6290813817338293,0.917,0.9987333333333334,0.7411111111111112,0.9626444444444445,5
gls_flattened,0.4,0.5,2.226256390926031,0.37893333333333334,0.6602888888888889,0.3084,0.5660000000000001,5
gls_flattened,0.4,1.0,1.1131281954630154,0.6702,0.9425333333333332,0.5744888888888889,0.8757999999999999,5
gls_flattened,0.4,2.0,0.5565640977315077,0.9479555555555554,0.9998222222222223,0.8826444444444445,0.9961555555555556,5
gls_flattened,0.8,0.5,2.127233511263564,0.3798444444444445,0.6680444444444444,0.28277777777777774,0.5176000000000001,5
gls_flattened,0.8,1.0,1.063616755631782,0.6770888888888889,0.9446666666666668,0.5269777777777778,0.8296222222222223,5
gls_flattened,0.8,2.0,0.531808377815891,0.9492222222222223,0.9998222222222223,0.8373333333333333,0.9878444444444444,5
ols,0.05,0.5,5.753047048842138,0.19575555555555554,0.37242222222222227,0.11535555555555557,0.22655555555555557,5
ols,0.05,1.0,2.876523524421069,0.3788888888888889,0.6571777777777777,0.231,0.43048888888888887,5
ols,0.05,2.0,1.4382617622105345,0.6663333333333333,0.9233777777777779,0.4379777777777778,0.7242222222222223,5
ols,0.1,0.5,3.390785339914371,0.2677111111111111,0.49464444444444444,0.14424444444444445,0.2743777777777778,5
ols,0.1,1.0,1.6953926699571855,0.503311111111111,0.8086,0.27959999999999996,0.5035555555555555,5
ols,0.1,2.0,0.8476963349785928,0.8166,0.9845111111111111,0.5120444444444445,0.7991777777777778,5
ols,0.2,0.5,2.5221075613575232,0.3446,0.6136,0.2281111111111111,0.4323555555555555,5
ols,0.2,1.0,1.2610537806787616,0.6226888888888888,0.9085555555555557,0.4398000000000001,0.736311111111111,5
ols,0.2,2.0,0.6305268903393808,0.9145111111111112,0.9986444444444444,0.7452,0.9638888888888889,5
ols,0.4,0.5,2.255794335917767,0.38284444444444443,0.6644222222222222,0.30828888888888895,0.5676888888888889,5
ols,0.4,1.0,1.1278971679588834,0.6732666666666667,0.9376222222222224,0.5768222222222222,0.8745777777777779,5
ols,0.4,2.0,0.5639485839794417,0.9427777777777777,0.9995777777777779,0.8817333333333334,0.9960222222222223,5
ols,0.8,0.5,2.1561348054126404,0.38635555555555556,0.6711777777777778,0.2849111111111111,0.5205777777777778,5
ols,0.8,1.0,1.0780674027063202,0.6804444444444444,0.938577777777778,0.5302444444444444,0.8329333333333334,5
ols,0.8,2.0,0.5390337013531601,0.9438444444444445,0.9995777777777779,0.8402888888888889,0.9880666666666666,5
