seed_pair_index,working_model,noise_fraction,n_basis,validation_selection_score,validation_observed_nrmse,validation_latent_nrmse_radial,validation_hidden_nrmse_3d,validation_hidden_nrmse_tangential
0,gls_correct,0.05,3,22.433195196492548,0.976211862757124,0.9761115201508455,1.0324058590048455,1.068327756245667
0,gls_correct,0.05,6,20.76346986359944,0.9409809206664351,0.9405648797419258,0.9350439059404435,0.9313409375470473
0,gls_correct,0.05,11,20.73849110478298,0.9341552900022544,0.9337187654707217,0.9321050826644356,0.9310265244280117
0,gls_correct,0.05,19,14.606338544237387,0.6829211111332393,0.6816952864972454,0.7713966170807538,0.825860321094316
0,gls_correct,0.05,35,12.72020013499341,0.5996628063308895,0.5982004479028996,0.6907720842407424,0.7461918715273002
0,gls_correct,0.05,67,11.36978724275424,0.539624048701349,0.5381641487857391,0.6473174085967165,0.7109019342005531
0,gls_correct,0.05,131,9.24786002518429,0.44385783563455394,0.4420745837313495,0.6406194649315343,0.7442132423118317
0,gls_correct,0.05,259,6.7345992532065955,0.32418448443698,0.32079132474603567,0.5552653553647676,0.6673922622077438
0,gls_correct,0.05,387,5.952704899576884,0.2882162176445715,0.28459975933628917,0.567921149303303,0.6955121300010235
0,gls_correct,0.05,514,5.280061762001559,0.24805396147879114,0.24387535226398135,0.5569823389146183,0.6910741908635482
0,gls_correct,0.05,643,4.464549519048258,0.21354009437523916,0.20852875725521813,0.5691879715455281,0.7149650112020732
0,gls_correct,0.05,771,4.069919867406344,0.19457214693491476,0.1888110197259629,0.5390966781903895,0.6788201908637786
0,gls_correct,0.05,899,3.8281067100455957,0.18041039024084204,0.1739620780467861,0.5222863297869725,0.6592734423256036
0,gls_correct,0.05,1027,3.55729660137167,0.16651242419709925,0.1595954407063201,0.5190702381561852,0.6574610738960904
0,gls_correct,0.05,1283,3.2738636925501248,0.15172006852092645,0.1435115829405292,0.4917743547891607,0.6240999423764974
0,gls_correct,0.05,1539,3.379283310098694,0.15042830961695272,0.14230969368470078,0.4674698320371111,0.5921708293083513
0,gls_correct,0.05,1795,3.3875772425049533,0.15129302729974903,0.14290435526609982,0.4333344258024665,0.5471728947614652
0,gls_correct,0.05,2050,3.3959078396365627,0.15167269965868999,0.14323669284492271,0.42082679016367047,0.5306564358964794
0,gls_correct,0.1,3,11.251287019153418,0.9764625328000003,0.9761427820800731,1.0322947482867022,1.0681295483727073
0,gls_correct,0.1,6,10.421028167362461,0.9416885962850173,0.940554530451871,0.9349873342718698,0.9312531340440113
0,gls_correct,0.1,11,10.408623510262144,0.9349287049183489,0.9337173182526676,0.9320957175966886,0.9310118004842978
0,gls_correct,0.1,19,7.357118488573167,0.6854323767663913,0.6811505178554086,0.7717152869347359,0.8266552882091371
0,gls_correct,0.1,35,6.419973770253718,0.6038107993221856,0.5982367703646249,0.6908333102881613,0.7462664944135137
0,gls_correct,0.1,67,5.75062450418802,0.5445169352905651,0.5383409942490051,0.6474984093398067,0.7110871797372433
0,gls_correct,0.1,131,4.701590372226654,0.45030226508565435,0.4422915131336473,0.6420394113846556,0.7461605598480957
0,gls_correct,0.1,259,3.4807923566639527,0.3348283371647549,0.3214071820559659,0.5563156682886152,0.6686499150229773
0,gls_correct,0.1,387,3.1076026146901596,0.300762713424225,0.2859813116738361,0.5703700895409335,0.6984671818562348
0,gls_correct,0.1,514,2.7927809060861613,0.2636494587963653,0.24650515484547456,0.5458062352704455,0.6753152667724929
0,gls_correct,0.1,643,2.4206042849448237,0.2322150552040103,0.21246987112439983,0.55808398924067,0.6992803360957577
0,gls_correct,0.1,771,2.248963263428385,0.21609715071189042,0.19370303080490936,0.5470892298222543,0.6884919850824941
0,gls_correct,0.1,899,2.152165374853953,0.20477541474376124,0.18048981174843673,0.5327041607291817,0.6718777540752751
0,gls_correct,0.1,1027,2.0488081982776962,0.19422717538073786,0.16859550775688012,0.532587142088885,0.6737814976167965
0,gls_correct,0.1,1283,1.9706410579756504,0.1852173421852267,0.15752693606586263,0.5083651400382436,0.6436385954227806
0,gls_correct,0.1,1539,1.9563388147364058,0.18140930335260366,0.1520838182846797,0.4240711073617576,0.5333116275494004
0,gls_correct,0.1,1795,1.939865341142826,0.17856670804576136,0.14864191157248993,0.4240088674132041,0.533876826170823
0,gls_correct,0.1,2050,1.9434182910351492,0.17829674837659323,0.1482808439021781,0.4239837263950211,0.5339106888018507
0,gls_correct,0.2,3,5.692547635355865,0.9772964453529399,0.9762111088425623,1.0320790102325088,1.0677397901247743
0,gls_correct,0.2,6,5.284520787377629,0.9439370354717093,0.9405448772245645,0.9348876924320555,0.931092528177765
0,gls_correct,0.2,11,5.278462788054825,0.9374137751189678,0.933730550683708,0.9321057258552536,0.9310194169335083
0,gls_correct,0.2,19,3.780790700521653,0.6967114285237047,0.6809561475241783,0.7719922463645705,0.8271929039747073
0,gls_correct,0.2,35,3.325431815443841,0.619516771424249,0.5986241333600179,0.6904160695235873,0.7454096555790937
0,gls_correct,0.2,67,3.0030272444132162,0.563180601112249,0.5388679475918313,0.6482469370568609,0.7119565381733466
0,gls_correct,0.2,131,2.5034205675074044,0.47581470406380055,0.4439028353008316,0.6431753290026908,0.7471444229405351
0,gls_correct,0.2,259,1.9511179651182247,0.3733175994678198,0.3243054630475383,0.5625544638840407,0.6763519543921395
0,gls_correct,0.2,387,1.7940452452982507,0.34529892132420154,0.29120271077051485,0.560661730532444,0.6836915699023446
