seed_pair_index,protocol,working_model,noise_fraction,test_observed_nrmse_radial,test_latent_nrmse_radial,test_hidden_nrmse_tangential,test_hidden_nrmse_3d,test_hidden_direction_error_median_deg,test_working_measurement_whitened_residual_rms,test_true_measurement_whitened_residual_rms,precision_effective_sample_size_fit,normal_matrix_condition,effective_degrees_of_freedom,coverage_model_observed_radial_68,coverage_model_observed_radial_95,coverage_model_latent_radial_68,coverage_model_latent_radial_95,coverage_model_latent_component_68,coverage_model_latent_component_95,coverage_oracle_observed_radial_68,coverage_oracle_observed_radial_95,coverage_oracle_latent_radial_68,coverage_oracle_latent_radial_95,coverage_oracle_latent_component_68,coverage_oracle_latent_component_95
0,matched_correct_gls_practical,gls_correct,0.05,0.13515303884979338,0.12663964852033746,0.6527579513356387,0.4920950034481049,20.87396642364946,2.9647311316262126,2.9647311316262126,3095.9750130543853,1195760.708615916,1223.0014040919793,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_correct,0.1,0.1642276024662879,0.1337949679931352,0.5962675777101513,0.45166502367131106,19.09556672209865,1.7573311417230097,1.7573311417230097,3095.9750130543853,78274.03727624158,892.8681723846386,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_correct,0.2,0.2419843709473838,0.1493598469586765,0.6084259811241871,0.46266011301876087,20.075123076454645,1.2782194034752619,1.2782194034752619,3095.9750130543853,78274.03727624158,892.8681723846386,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_correct,0.4,0.4128969080951263,0.19924553216685123,0.6567466337596667,0.5055317474753228,23.125950001646515,1.1293211260664573,1.1293211260664573,3095.9750130543853,70106.55235476563,840.7495297267201,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_correct,0.8,0.6780760265638835,0.3302964372846618,0.8295036120460292,0.654408962705806,31.350181108694844,1.0947579707523998,1.0947579707523998,3095.9750130543853,6963.173330123381,411.99071177193696,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_flattened,0.05,0.13382950763993307,0.12521715698223143,0.6496296734199508,0.48961734318748856,20.922607713158502,2.7832772981520475,2.971748407724178,3998.1552476027005,1495385.41502792,1230.1159667639195,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_flattened,0.1,0.16248056034263028,0.1316791587930122,0.6001273650635598,0.45419666293265876,19.571277149949935,1.6728307571042447,1.7625811640594196,3998.1552476027005,103347.12734588601,907.473930813116,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_flattened,0.2,0.24143207817973322,0.14848208403030524,0.6122475780436522,0.46530518556309225,20.52128864136117,1.2399967345183398,1.2817405620880782,3998.1552476027005,103347.12734588601,907.473930813116,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_flattened,0.4,0.4136825920131468,0.20119653495980913,0.6605251582301284,0.50858537651068,23.477501259283216,1.1078964711860306,1.1321249776916191,3998.1552476027005,91818.09340001833,853.2986012174084,,,,,,,,,,,,
0,matched_correct_gls_practical,gls_flattened,0.8,0.677974568668439,0.33090031332897235,0.8508801371346478,0.6695056259654398,32.67022591360865,1.072880909257768,1.099462498416626,3998.1552476027005,4405.877576948866,414.57173555458274,,,,,,,,,,,,
0,matched_correct_gls_practical,ols,0.05,0.13382521531995653,0.12521613110695087,0.6499008479434577,0.48979985634311834,21.29689638944825,2.7278397268058345,3.0303464257539336,4250.0,1829698.227616886,1230.138531354076,,,,,,,,,,,,
0,matched_correct_gls_practical,ols,0.1,0.1626637870380954,0.13197182861762805,0.6097652876634599,0.4612556110995072,20.077215171910513,1.662226975618725,1.8045945753610961,4250.0,131675.4040811239,907.460825575733,,,,,,,,,,,,
0,matched_correct_gls_practical,ols,0.2,0.24198234705619268,0.14949629994142374,0.6215561075960416,0.4722030421973007,21.028958730999836,1.251796077503206,1.297231468826364,4250.0,131675.4040811239,907.460825575733,,,,,,,,,,,,
0,matched_correct_gls_practical,ols,0.4,0.41479814249086816,0.20396361684074582,0.6690070603170772,0.5151516909553032,23.98979654278553,1.128105418318764,1.138003553011883,4250.0,116846.93125841086,852.5662870805169,,,,,,,,,,,,
0,matched_correct_gls_practical,ols,0.8,0.6787659755710393,0.33438661752703563,0.8821414836225618,0.6922161488004871,34.538443384828525,1.0905408735962823,1.109966106892859,4250.0,5165.6327805341125,412.7516284548672,,,,,,,,,,,,
