protocol,comparison,noise_fraction,metric,n_seed_pairs,n_runs,delta_mean,delta_median,delta_ci_low,delta_ci_high,seed_mean_wins_left_lower,seed_mean_losses_left_higher,seed_mean_ties,seed_mean_sign_test_pvalue_two_sided
matched_correct_gls_practical,flattened_minus_correct,0.8,test_working_measurement_whitened_residual_rms,5,60,-0.024495339135348383,-0.02204898313386716,-0.03151780682132626,-0.018450081336129832,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_correct,0.8,test_true_measurement_whitened_residual_rms,5,60,0.002516824028291846,0.0022197514827452247,0.0012961104683999465,0.003887894702604599,0,5,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.05,test_observed_nrmse_radial,5,60,-0.00023006867852082974,1.2432708402676518e-05,-0.0007475769078806766,0.00026848950672071943,2,3,0,1.0
matched_correct_gls_practical,flattened_minus_ols,0.05,test_latent_nrmse_radial,5,60,-0.00026876893751179667,4.425428227911726e-05,-0.000814683283585585,0.00023697500572947795,2,3,0,1.0
matched_correct_gls_practical,flattened_minus_ols,0.05,test_hidden_nrmse_tangential,5,60,-0.003339197785465048,-0.0023562171568238255,-0.0075289829815052235,0.00019102282010375753,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.05,test_hidden_nrmse_3d,5,60,-0.002525630721680183,-0.0016885222234447328,-0.005693776936880928,0.00011899516466177808,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.05,test_working_measurement_whitened_residual_rms,5,60,0.07835249162047773,0.0775214805995128,0.04922486096470955,0.11079098462328535,0,5,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.05,test_true_measurement_whitened_residual_rms,5,60,-0.06451105499553504,-0.048849714623135476,-0.08180847027575178,-0.04651100494107811,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.1,test_observed_nrmse_radial,5,60,-0.0006204184261336139,-0.00034795279346541697,-0.0014510718439692608,0.0001670900639707483,4,1,0,0.375
matched_correct_gls_practical,flattened_minus_ols,0.1,test_latent_nrmse_radial,5,60,-0.0008212032253733839,-0.00045217968233843275,-0.0017892326858122722,0.00011534145795490087,4,1,0,0.375
