seed_pair_index,working_model,noise_fraction,global_scale_factor,measurement_whitened_residual_rms,coverage_observed_radial_68,coverage_observed_radial_95,coverage_latent_radial_68,coverage_latent_radial_95
0,gls_correct,0.05,0.5,5.929462263252425,0.1847777777777778,0.35088888888888886,0.10044444444444445,0.1927777777777778
0,gls_correct,0.05,1.0,2.9647311316262126,0.3567777777777778,0.6302222222222222,0.1967777777777778,0.3692222222222222
0,gls_correct,0.05,2.0,1.4823655658131063,0.6411111111111111,0.8965555555555556,0.3775555555555556,0.653
0,gls_correct,0.1,0.5,3.5146622834460195,0.2654444444444444,0.478,0.12944444444444445,0.2505555555555556
0,gls_correct,0.1,1.0,1.7573311417230097,0.48644444444444446,0.7895555555555557,0.2552222222222222,0.4677777777777778
0,gls_correct,0.1,2.0,0.8786655708615049,0.7971111111111111,0.981,0.4767777777777778,0.7639999999999999
0,gls_correct,0.2,0.5,2.5564388069505237,0.3376666666666666,0.6023333333333333,0.22255555555555553,0.4163333333333333
0,gls_correct,0.2,1.0,1.2782194034752619,0.613,0.9047777777777778,0.4242222222222222,0.7115555555555555
0,gls_correct,0.2,2.0,0.6391097017376309,0.9101111111111111,0.9988888888888888,0.7200000000000001,0.9542222222222222
0,gls_correct,0.4,0.5,2.2586422521329146,0.3744444444444444,0.653,0.31222222222222223,0.5599999999999999
0,gls_correct,0.4,1.0,1.1293211260664573,0.6611111111111111,0.9393333333333334,0.5685555555555556,0.8673333333333333
0,gls_correct,0.4,2.0,0.5646605630332286,0.9451111111111111,0.9996666666666667,0.8741111111111111,0.9957777777777778
0,gls_correct,0.8,0.5,2.1895159415047996,0.36777777777777776,0.6524444444444445,0.2607777777777778,0.49077777777777776
0,gls_correct,0.8,1.0,1.0947579707523998,0.6612222222222223,0.9394444444444444,0.5,0.8001111111111111
0,gls_correct,0.8,2.0,0.5473789853761999,0.9447777777777778,0.9997777777777778,0.8067777777777777,0.9784444444444444
0,gls_flattened,0.05,0.5,5.493008185284896,0.19666666666666666,0.3824444444444444,0.12288888888888888,0.241
0,gls_flattened,0.05,1.0,2.746504092642448,0.3897777777777778,0.6723333333333333,0.24533333333333332,0.4512222222222222
0,gls_flattened,0.05,2.0,1.373252046321224,0.6828888888888889,0.9359999999999999,0.45966666666666667,0.7663333333333333
0,gls_flattened,0.1,0.5,3.3456615142084893,0.269,0.4885555555555556,0.13799999999999998,0.26911111111111113
0,gls_flattened,0.1,1.0,1.6728307571042447,0.49699999999999994,0.8068888888888889,0.2737777777777778,0.4925555555555556
0,gls_flattened,0.1,2.0,0.8364153785521223,0.8163333333333332,0.9872222222222221,0.5032222222222222,0.7928888888888889
0,gls_flattened,0.2,0.5,2.4799934690366796,0.34299999999999997,0.613111111111111,0.2313333333333333,0.4343333333333333
0,gls_flattened,0.2,1.0,1.2399967345183398,0.623,0.9121111111111112,0.44155555555555553,0.7354444444444445
0,gls_flattened,0.2,2.0,0.6199983672591699,0.9182222222222222,0.999,0.7440000000000001,0.967
0,gls_flattened,0.4,0.5,2.2157929423720613,0.38277777777777783,0.6641111111111111,0.32022222222222224,0.5757777777777778
0,gls_flattened,0.4,1.0,1.1078964711860306,0.6721111111111111,0.9444444444444445,0.5845555555555556,0.8801111111111112
0,gls_flattened,0.4,2.0,0.5539482355930153,0.9488888888888889,0.9997777777777778,0.8876666666666667,0.9967777777777779
0,gls_flattened,0.8,0.5,2.1448640929169387,0.37622222222222224,0.6643333333333333,0.2742222222222222,0.5095555555555555
0,gls_flattened,0.8,1.0,1.0724320464584693,0.674111111111111,0.9451111111111111,0.5207777777777778,0.8180000000000001
0,gls_flattened,0.8,2.0,0.5362160232292347,0.9494444444444444,0.9996666666666667,0.8261111111111111,0.9821111111111112
0,ols,0.05,0.5,5.335877616121798,0.20199999999999999,0.3875555555555556,0.129,0.2528888888888889
0,ols,0.05,1.0,2.667938808060899,0.39344444444444443,0.681,0.25766666666666665,0.4726666666666666
0,ols,0.05,2.0,1.3339694040304495,0.6897777777777777,0.9483333333333334,0.4811111111111111,0.7951111111111112
0,ols,0.1,0.5,3.32445395123745,0.26944444444444443,0.4921111111111111,0.14433333333333334,0.2748888888888889
0,ols,0.1,1.0,1.662226975618725,0.4994444444444444,0.8094444444444444,0.2796666666666667,0.5008888888888889
0,ols,0.1,2.0,0.8311134878093625,0.8170000000000001,0.9891111111111112,0.5097777777777778,0.7971111111111111
0,ols,0.2,0.5,2.503592155006412,0.3461111111111111,0.6143333333333333,0.23111111111111113,0.43577777777777776
