protocol,working_model,working_model_label,noise_fraction,n_seed_pairs,test_observed_nrmse_radial_mean_equal_seed_weight,test_observed_nrmse_radial_std_between_seeds,test_observed_nrmse_radial_sem_between_seeds,test_latent_nrmse_radial_mean_equal_seed_weight,test_latent_nrmse_radial_std_between_seeds,test_latent_nrmse_radial_sem_between_seeds,test_hidden_nrmse_tangential_mean_equal_seed_weight,test_hidden_nrmse_tangential_std_between_seeds,test_hidden_nrmse_tangential_sem_between_seeds,test_hidden_nrmse_3d_mean_equal_seed_weight,test_hidden_nrmse_3d_std_between_seeds,test_hidden_nrmse_3d_sem_between_seeds,test_hidden_direction_error_median_deg_mean_equal_seed_weight,test_hidden_direction_error_median_deg_std_between_seeds,test_hidden_direction_error_median_deg_sem_between_seeds,test_working_measurement_whitened_residual_rms_mean_equal_seed_weight,test_working_measurement_whitened_residual_rms_std_between_seeds,test_working_measurement_whitened_residual_rms_sem_between_seeds,test_true_measurement_whitened_residual_rms_mean_equal_seed_weight,test_true_measurement_whitened_residual_rms_std_between_seeds,test_true_measurement_whitened_residual_rms_sem_between_seeds,precision_effective_sample_size_fit_mean_equal_seed_weight,precision_effective_sample_size_fit_std_between_seeds,precision_effective_sample_size_fit_sem_between_seeds,normal_matrix_condition_mean_equal_seed_weight,normal_matrix_condition_std_between_seeds,normal_matrix_condition_sem_between_seeds,effective_degrees_of_freedom_mean_equal_seed_weight,effective_degrees_of_freedom_std_between_seeds,effective_degrees_of_freedom_sem_between_seeds,coverage_model_observed_radial_68_mean_equal_seed_weight,coverage_model_observed_radial_68_std_between_seeds,coverage_model_observed_radial_68_sem_between_seeds,coverage_model_observed_radial_95_mean_equal_seed_weight,coverage_model_observed_radial_95_std_between_seeds,coverage_model_observed_radial_95_sem_between_seeds,coverage_model_latent_radial_68_mean_equal_seed_weight,coverage_model_latent_radial_68_std_between_seeds,coverage_model_latent_radial_68_sem_between_seeds,coverage_model_latent_radial_95_mean_equal_seed_weight,coverage_model_latent_radial_95_std_between_seeds,coverage_model_latent_radial_95_sem_between_seeds,coverage_model_latent_component_68_mean_equal_seed_weight,coverage_model_latent_component_68_std_between_seeds,coverage_model_latent_component_68_sem_between_seeds,coverage_model_latent_component_95_mean_equal_seed_weight,coverage_model_latent_component_95_std_between_seeds,coverage_model_latent_component_95_sem_between_seeds,coverage_oracle_observed_radial_68_mean_equal_seed_weight,coverage_oracle_observed_radial_68_std_between_seeds,coverage_oracle_observed_radial_68_sem_between_seeds,coverage_oracle_observed_radial_95_mean_equal_seed_weight,coverage_oracle_observed_radial_95_std_between_seeds,coverage_oracle_observed_radial_95_sem_between_seeds,coverage_oracle_latent_radial_68_mean_equal_seed_weight,coverage_oracle_latent_radial_68_std_between_seeds,coverage_oracle_latent_radial_68_sem_between_seeds,coverage_oracle_latent_radial_95_mean_equal_seed_weight,coverage_oracle_latent_radial_95_std_between_seeds,coverage_oracle_latent_radial_95_sem_between_seeds,coverage_oracle_latent_component_68_mean_equal_seed_weight,coverage_oracle_latent_component_68_std_between_seeds,coverage_oracle_latent_component_68_sem_between_seeds,coverage_oracle_latent_component_95_mean_equal_seed_weight,coverage_oracle_latent_component_95_std_between_seeds,coverage_oracle_latent_component_95_sem_between_seeds
matched_correct_gls_practical,gls_correct,Correct GLS,0.05,5,0.14458084195844506,0.01249476953813325,0.00558783081009192,0.13604131890591553,0.012731715986141909,0.005693796483046815,0.641231885396033,0.053995896224486244,0.024147698892795097,0.49120611082551735,0.03807427303028098,0.017027332537919035,21.21136565773417,1.1030842147221291,0.493314257805131,3.1642800110761296,0.25653267715803213,0.11472490091507348,3.1642800110761296,0.25653267715803213,0.11472490091507348,3108.895983473714,23.636080136976016,10.570376381582182,1252429.2197826707,712092.2713994953,318457.3450203001,1200.781284797701,214.24940472534925,95.81524662094911,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_correct,Correct GLS,0.1,5,0.17004803584097947,0.010863709889012665,0.004858398759933802,0.13919405386771616,0.011546725353562973,0.00516385256161742,0.5754810708485383,0.02621174852888283,0.011722250303942423,0.4431304573896827,0.018912871159910985,0.008458093112651251,20.017011298380243,1.3771615872277339,0.6158853850085437,1.8294181276791694,0.09891254515310857,0.04423503495797362,1.8294181276791694,0.09891254515310854,0.04423503495797361,3108.895983473714,23.636080136976016,10.570376381582182,81221.62446499456,10851.618799245021,4852.991460205302,891.620144009417,1.6491286310334887,0.73751274452641,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_correct,Correct GLS,0.2,5,0.24784471389730736,0.010013038867828125,0.0044779671139622435,0.15539814120659506,0.011210190763089913,0.005013349717401857,0.587231866438354,0.02699908652529802,0.012074358560192993,0.45407155631631024,0.019400732624880075,0.008676271392505954,20.712619660441344,1.2395032000120458,0.5543226827110905,1.3077731614535941,0.03640372608887985,0.016280241233803578,1.3077731614535941,0.036403726088879824,0.016280241233803568,3108.895983473714,23.636080136976016,10.570376381582182,81221.62446499456,10851.618799245021,4852.991460205302,891.620144009417,1.6491286310334887,0.73751274452641,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_correct,Correct GLS,0.4,5,0.41877682194771665,0.010331034633545321,0.004620179143702393,0.208128664796393,0.011982547985135482,0.005358758367683215,0.6374490483245866,0.027004621360092313,0.012076833813561847,0.49939063578688964,0.019558991891807237,0.008747047088289639,23.420676166471694,1.127652343414578,0.5043014589723868,1.1417835470036861,0.01442427857960558,0.006450733486078437,1.1417835470036861,0.01442427857960558,0.006450733486078437,3108.895983473714,23.636080136976016,10.570376381582182,75065.57837259983,10222.093766829945,4571.459307001728,839.664543926483,1.6506570618072056,0.7381962795481967,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_correct,Correct GLS,0.8,5,0.6768831269480089,0.00828225739115686,0.0037039381067553606,0.3301448376822173,0.015194814170992397,0.006795327478363222,0.8033026345306356,0.03733522544090116,0.01669682040822691,0.6429392580400457,0.026801776057811286,0.011986118636598474,31.154338626585762,1.5144776701643559,0.6772950041786009,1.0881868915572892,0.010239661722849071,0.004579315935778627,1.0881868915572892,0.010239661722849071,0.004579315935778627,3108.895983473714,23.636080136976016,10.570376381582182,8649.460343630082,1557.6491645670342,696.601883413529,413.20081743512964,1.6744416140476077,0.7488330546729834,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_flattened,Flattened-profile GLS,0.05,5,0.14333484164872057,0.012471261239894577,0.005577317579512517,0.1347336423845318,0.012702109485647402,0.005680556053510496,0.6405549232803628,0.051776371172234215,0.023155097113875235,0.4905532713589233,0.03675538041197214,0.016437505828006786,21.43322336403034,1.1292287167312696,0.5050064345511945,2.940573396947276,0.19049962130233047,0.08519402058399558,3.1812772860346215,0.2627944293155493,0.11752524161156636,4002.7385674559678,4.167127601549967,1.8635961175962767,1513514.510905188,865986.9020860406,387281.1161377682,1208.1135494701189,211.04934529555544,94.38413653753747,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_flattened,Flattened-profile GLS,0.1,5,0.16878630391866253,0.010953351520600728,0.004898487716302783,0.13768846983589522,0.011637517356285668,0.005204455979597678,0.5808787840106683,0.02502535690564226,0.011191679840441976,0.44690846522011274,0.017979825491329152,0.008040822404439108,20.426931216408416,1.285563201531797,0.574921341599472,1.7234415542084107,0.08080350558449491,0.036136426261442894,1.8421562099167086,0.1069659742550531,0.04783663794275823,4002.7385674559678,4.167127601549967,1.8635961175962767,100476.07550015053,23949.19094909421,10710.40379365947,906.0261284045157,1.4380895682254053,0.6431332064570655,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_flattened,Flattened-profile GLS,0.2,5,0.24756226068263937,0.010150771776190476,0.0045395631431296365,0.15501724555201185,0.011369508471465777,0.005084598762591441,0.5924549505196205,0.02601710146181867,0.01163520148922714,0.4578483516177695,0.01861721402712007,0.008325871223260617,21.097684034435837,1.1958755040166094,0.5348117839215922,1.2581627634676587,0.02933409596704425,0.013118606528162675,1.3130884482847538,0.03919362862862101,0.017527923579695688,4002.7385674559678,4.167127601549967,1.8635961175962767,100476.07550015053,23949.19094909421,10710.40379365947,906.0261284045157,1.4380895682254053,0.6431332064570655,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_flattened,Flattened-profile GLS,0.4,5,0.41974504427966347,0.010530625518937249,0.004709438901187538,0.21042220663863115,0.012322522136926639,0.005510799430482787,0.6422191063023821,0.026594396171573415,0.011893375532039662,0.5032536732673727,0.019201151600901627,0.00858701604517899,23.761498428134857,1.1876062055415044,0.5311136412182782,1.1131281954630154,0.012165849066449325,0.005440733103316609,1.1445392905523484,0.014978866577353969,0.006698752778572617,4002.7385674559678,4.167127601549967,1.8635961175962767,92659.7108181221,21852.991460599133,9772.954883524415,852.0363134753756,1.4396197697478021,0.6438175333817362,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,gls_flattened,Flattened-profile GLS,0.8,5,0.6769522779706908,0.008209744803981352,0.0036715094919255974,0.3302460052296786,0.015095191507469092,0.006750774868815683,0.825864138204666,0.03797398555794938,0.016982482616834018,0.6589797063753342,0.027150056420774338,0.01214187434996121,32.39843683541744,1.6125753713766855,0.7211656298480474,1.063691552421941,0.009435234241454517,0.004219565029505192,1.0907037155855812,0.011339339932509823,0.005071106981813968,4002.7385674559678,4.167127601549967,1.8635961175962767,5649.564777965005,816.269315436628,365.0467354527037,415.9251618396589,1.6692630146253515,0.7465171146057022,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
